iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
67,0.66,0.176139,0.00373031,0,0.765833,0.00641013,0,1.60021,-0.0589891,0
68,0.67,0.183877,0.00379139,0,0.781672,0.00579862,0,1.56736,-0.0633131,0
69,0.68,0.191771,0.00384614,0,0.797174,0.00514389,0,1.53264,-0.0676319,0
70,0.69,0.199819,0.00389413,0,0.812319,0.00444603,0,1.49612,-0.0719363,0
71,0.7,0.208016,0.00393492,0,0.827091,0.00370524,0,1.45786,-0.0762166,0
72,0.71,0.21636,0.00396809,0,0.841471,0.00292181,0,1.41793,-0.0804635,0
73,0.72,0.224844,0.00399321,0,0.855444,0.00209612,0,1.37639,-0.0846673,0
74,0.73,0.233467,0.00400987,0,0.868994,0.00122864,0,1.33332,-0.0888185,0
75,0.74,0.242223,0.00401765,0,0.882105,0.000319957,0,1.28879,-0.0929075,0
76,0.75,0.251108,0.00401614,0,0.894765,-0.000629269,0,1.24287,-0.0969249,0
77,0.76,0.260117,0.00400493,0,0.906958,-0.00161827,0,1.19564,-0.100861,0
78,0.77,0.269245,0.00398364,0,0.918673,-0.00264619,0,1.14716,-0.104706,0
79,0.78,0.278488,0.00395188,0,0.929898,-0.00371207,0,1.09753,-0.108452,0
80,0.79,0.287841,0.00390928,0,0.94062,-0.00481486,0,1.04682,-0.112088,0
81,0.8,0.297299,0.00385546,0,0.950831,-0.00595343,0,0.995093,-0.115605,0
82,0.81,0.306856,0.00379009,0,0.960519,-0.00712653,0,0.942444,-0.118995,0
83,0.82,0.316508,0.00371282,0,0.969677,-0.00833286,0,0.888947,-0.122247,0
84,0.83,0.326248,0.00362333,0,0.978296,-0.00957099,0,0.834682,-0.125354,0
85,0.84,0.336072,0.0035213,0,0.986368,-0.0108394,0,0.779729,-0.128307,0
86,0.85,0.345974,0.00340644,0,0.993888,-0.0121366,0,0.724166,-0.131096,0
87,0.86,0.355948,0.00327848,0,1.00085,-0.0134608,0,0.668072,-0.133714,0
88,0.87,0.365989,0.00313714,0,1.00725,-0.0148103,0,0.611529,-0.136153,0
89,0.88,0.376091,0.0029822,0,1.01308,-0.0161832,0,0.554612,-0.138404,0
90,0.89,0.386248,0.00281341,0,1.01834,-0.0175777,0,0.497402,-0.14046,0
91,0.9,0.396456,0.00263058,0,1.02303,-0.0189917,0,0.439974,-0.142313,0
92,0.91,0.406707,0.00243352,0,1.02714,-0.0204233,0,0.382407,-0.143955,0
93,0.92,0.416997,0.00222206,0,1.03067,-0.0218701,0,0.324774,-0.145381,0
94,0.93,0.427319,0.00199607,0,1.03363,-0.0233301,0,0.26715,-0.146583,0
95,0.94,0.437667,0.00175542,0,1.03602,-0.024801,0,0.209609,-0.147554,0
96,0.95,0.448037,0.00150002,0,1.03783,-0.0262804,0,0.152222,-0.14829,0
