seq,frame_id,stamp,position_x,position_y,position_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
58061,world,1657661682.801242249,-1.31251,3.33151,0.212521,0.0134358,0.00464359,0.67417,-0.738439
58062,world,1657661682.843057523,-1.31241,3.33152,0.212571,0.0134536,0.00460971,0.674176,-0.738434
58063,world,1657661682.884737616,-1.31245,3.3316,0.212566,0.0136149,0.00459043,0.674199,-0.73841
58064,world,1657661682.926300066,-1.31244,3.33146,0.212513,0.0134407,0.00459595,0.674179,-0.738432
58065,world,1657661682.968260759,-1.31245,3.33161,0.212553,0.013607,0.00456323,0.6742,-0.73841
58066,world,1657661683.009709224,-1.31244,3.33145,0.212513,0.0133584,0.00460885,0.674198,-0.738416
58067,world,1657661683.051349763,-1.31245,3.33162,0.212567,0.0136401,0.00457055,0.674235,-0.738377
58068,world,1657661683.092956739,-1.31241,3.33154,0.21256,0.0135343,0.00458118,0.674211,-0.738401
58069,world,1657661683.134593920,-1.31249,3.33152,0.212518,0.0135068,0.00459199,0.674202,-0.738409
58070,world,1657661683.176342700,-1.31245,3.33145,0.212522,0.013431,0.00463983,0.674226,-0.738388
58071,world,1657661683.218100234,-1.3125,3.33152,0.21252,0.0134786,0.00459892,0.674194,-0.738417
58072,world,1657661683.259606326,-1.3124,3.33153,0.212557,0.0135288,0.00456255,0.674186,-0.738424
58073,world,1657661683.301237811,-1.31251,3.33152,0.212502,0.0134919,0.00459109,0.674228,-0.738386
58074,world,1657661683.342905694,-1.3124,3.33153,0.21255,0.0135129,0.00456893,0.674174,-0.738434
58075,world,1657661683.384662300,-1.31252,3.33152,0.212519,0.0134849,0.00458479,0.674223,-0.73839
58076,world,1657661683.426296535,-1.31241,3.33153,0.212568,0.0135904,0.00456462,0.674198,-0.738411
58077,world,1657661683.468059053,-1.31246,3.3316,0.212561,0.0136343,0.00457827,0.674205,-0.738404
58078,world,1657661683.509572025,-1.31245,3.33145,0.21254,0.0134651,0.00456861,0.674205,-0.738407
58079,world,1657661683.551397812,-1.31251,3.33153,0.212534,0.0135362,0.0045724,0.674228,-0.738385
58080,world,1657661683.593092175,-1.31244,3.33146,0.212538,0.0134657,0.0045497,0.67422,-0.738393
58081,world,1657661683.640782693,-1.31249,3.33152,0.212511,0.0134823,0.00458825,0.674223,-0.73839
58082,world,1657661683.676297833,-1.31244,3.33146,0.212519,0.0134232,0.0045438,0.674226,-0.738389
58083,world,1657661683.723514589,-1.31252,3.33153,0.212501,0.0134306,0.004612,0.674202,-0.73841
58084,world,1657661683.759832995,-1.31241,3.33153,0.21257,0.0136107,0.00456039,0.674214,-0.738397
58085,world,1657661683.801503832,-1.31252,3.33152,0.212526,0.0135492,0.00459592,0.674256,-0.738359
58086,world,1657661683.842969089,-1.31241,3.33153,0.212568,0.0135766,0.00456456,0.67419,-0.738419
58087,world,1657661683.884758710,-1.31252,3.33152,0.212524,0.0135244,0.00455892,0.674246,-0.738369
58088,world,1657661683.926378414,-1.31241,3.33155,0.212582,0.0136274,0.0045526,0.674199,-0.73841
58089,world,1657661683.969116014,-1.31251,3.33153,0.212516,0.0134949,0.00456574,0.674217,-0.738396
58090,world,1657661684.017243982,-1.31241,3.33154,0.212578,0.0136126,0.00459164,0.674211,-0.738399
58091,world,1657661684.056980759,-1.31248,3.33162,0.212575,0.0136944,0.00455113,0.674202,-0.738406
