iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
68,0.67,0.317069,0.00370798,0,1.18824,-0.0102924,0,1.32874,-0.183647,0
69,0.68,0.329017,0.00359577,0,1.20103,-0.0121574,0,1.22882,-0.189307,0
70,0.69,0.341087,0.00346464,0,1.21281,-0.0140774,0,1.12741,-0.194615,0
71,0.7,0.353269,0.00331406,0,1.22357,-0.0160485,0,1.02472,-0.199546,0
72,0.71,0.365554,0.00314352,0,1.2333,-0.0180669,0,0.920962,-0.204078,0
73,0.72,0.377932,0.00295257,0,1.24199,-0.0201286,0,0.816361,-0.208188,0
74,0.73,0.390391,0.00274082,0,1.24962,-0.0222292,0,0.71113,-0.211856,0
75,0.74,0.402921,0.00250787,0,1.25621,-0.0243642,0,0.605481,-0.215061,0
76,0.75,0.415511,0.00225343,0,1.26173,-0.0265288,0,0.499623,-0.217784,0
77,0.76,0.428152,0.00197722,0,1.2662,-0.0287182,0,0.393762,-0.220004,0
78,0.77,0.440832,0.001679,0,1.26961,-0.0309272,0,0.288099,-0.221706,0
79,0.78,0.45354,0.00135862,0,1.27196,-0.0331506,0,0.182832,-0.222872,0
80,0.79,0.466268,0.00101596,0,1.27327,-0.0353828,0,0.0781506,-0.223487,0
81,0.8,0.479002,0.000650956,0,1.27353,-0.0376184,0,-0.0257594,-0.223536,0
82,0.81,0.491735,0.000263601,0,1.27275,-0.0398516,0,-0.12872,-0.223007,0
83,0.82,0.504454,-0.000146049,0,1.27096,-0.0420766,0,-0.230558,-0.221888,0
84,0.83,0.51715,-0.000577883,0,1.26815,-0.0442874,0,-0.331112,-0.220168,0
85,0.84,0.529814,-0.00103173,0,1.26434,-0.0464779,0,-0.430225,-0.217838,0
86,0.85,0.542434,-0.00150735,0,1.25955,-0.0486421,0,-0.527749,-0.214891,0
87,0.86,0.555001,-0.00200446,0,1.25379,-0.0507736,0,-0.623545,-0.211321,0
88,0.87,0.567507,-0.0025227,0,1.24708,-0.0528664,0,-0.71748,-0.207122,0
89,0.88,0.57994,-0.00306164,0,1.23945,-0.054914,0,-0.809429,-0.202291,0
90,0.89,0.592293,-0.0036208,0,1.2309,-0.0569101,0,-0.899275,-0.196827,0
91,0.9,0.604555,-0.00419965,0,1.22147,-0.0588484,0,-0.986908,-0.190726,0
92,0.91,0.616719,-0.00479756,0,1.21117,-0.0607225,0,-1.07223,-0.183991,0
93,0.92,0.628776,-0.00541386,0,1.20003,-0.0625261,0,-1.15513,-0.176621,0
94,0.93,0.640717,-0.00604782,0,1.18808,-0.0642528,0,-1.23553,-0.16862,0
95,0.94,0.652535,-0.00669864,0,1.17533,-0.0658964,0,-1.31335,-0.15999,0
96,0.95,0.664221,-0.00736545,0,1.16182,-0.0674505,0,-1.38851,-0.150737,0
97,0.96,0.675769,-0.00804733,0,1.14757,-0.0689091,0,-1.46094,-0.140866,0
98,0.97,0.68717,-0.0087433,0,1.13261,-0.0702658,0,-1.53059,-0.130384,0
99,0.98,0.698419,-0.00945229,0,1.11697,-0.0715147,0,-1.59738,-0.119299,0
100,0.99,0.709507,-0.0101732,0,1.10067,-0.0726498,0,-1.66127,-0.107618,0
101,1,0.72043,-0.0109049,0,1.08375,-0.0736652,0,-1.72222,-0.0953527,0
102,1.01,0.73118,-0.0116461,0,1.06624,-0.074555,0,-1.78019,-0.0825126,0
