iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
55,0.54,0.0309252,0.0473414,0.0118353,0.193687,0.304356,0.076089,0.776934,1.29594,0.323986
56,0.55,0.0329011,0.0504501,0.0126125,0.201504,0.317426,0.0793565,0.786293,1.31798,0.329494
57,0.56,0.0349556,0.0536906,0.0134227,0.209411,0.330713,0.0826783,0.795025,1.3393,0.334824
58,0.57,0.0370896,0.0570651,0.0142663,0.217402,0.34421,0.0860524,0.803119,1.35989,0.339973
59,0.58,0.0393039,0.0605755,0.0151439,0.225471,0.357909,0.0894771,0.810566,1.37975,0.344936
60,0.59,0.0415993,0.0642239,0.016056,0.233612,0.371802,0.0929505,0.817358,1.39884,0.349709
61,0.6,0.0439763,0.0680122,0.017003,0.241816,0.385883,0.0964707,0.823486,1.41716,0.354289
62,0.61,0.0464358,0.0719421,0.0179855,0.250079,0.400143,0.100036,0.828944,1.43468,0.358671
63,0.62,0.0489781,0.0760156,0.0190039,0.258393,0.414574,0.103643,0.833724,1.45141,0.362853
64,0.63,0.0516038,0.0802342,0.0200585,0.266751,0.429168,0.107292,0.837822,1.46733,0.366832
65,0.64,0.0543132,0.0845995,0.0211499,0.275147,0.443918,0.110979,0.841232,1.48242,0.370604
66,0.65,0.0571068,0.089113,0.0222782,0.283574,0.458814,0.114703,0.843951,1.49667,0.374167
67,0.66,0.0599848,0.0937762,0.023444,0.292024,0.473848,0.118462,0.845974,1.51008,0.37752
68,0.67,0.0629474,0.0985904,0.0246476,0.300491,0.489012,0.122253,0.847299,1.52263,0.380659
69,0.68,0.0659946,0.103557,0.0258892,0.308967,0.504298,0.126074,0.847924,1.53433,0.383582
70,0.69,0.0691267,0.108677,0.0271692,0.317447,0.519696,0.129924,0.847848,1.54516,0.386289
71,0.7,0.0723436,0.113951,0.0284878,0.325922,0.535198,0.1338,0.84707,1.55511,0.388777
72,0.71,0.0756451,0.119381,0.0298452,0.334386,0.550795,0.137699,0.845589,1.56418,0.391046
73,0.72,0.0790312,0.124967,0.0312418,0.342831,0.566479,0.14162,0.843406,1.57237,0.393093
74,0.73,0.0825017,0.130711,0.0326777,0.351252,0.58224,0.14556,0.840523,1.57968,0.394919
75,0.74,0.0860561,0.136612,0.0341531,0.35964,0.598069,0.149517,0.836941,1.58609,0.396522
