timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
139282739,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
141784156,0.0,0.0,129.0,6.0,0.0,0.0,0.0,176,1,0,1,240,1,1
171114005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,1,240,1,1
176147053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
