timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
280247605,280247050,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0003683567,0.0014304239,0.0006015897,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.027050495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280256920,280256116,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0003503412,0.0014555557,0.0005259663,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.027050495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280748319,280747896,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.00093096495,0.0010100994,-0.00031512976,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.019916296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281253573,281252994,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0016812682,0.0007016463,-0.0008225441,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.026086569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281750397,281748946,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0017668754,0.0005827313,-0.00069220364,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,-0.024009109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282241117,282240747,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0014785081,0.00023087393,-0.00035862625,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.014855504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282746333,282745852,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0008352697,8.207839e-05,5.699694e-05,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.010811806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283251615,283251037,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.00041940808,1.4862977e-05,3.2290816e-05,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,-0.054638863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283747471,283746967,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,-0.00013749301,0.0003446387,0.00012864172,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.015646935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284252829,284252111,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,-0.00020647049,0.0010362752,0.00091813505,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.03194368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284753128,284752745,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0005565733,0.0017627813,0.0011955053,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.0065568686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285244740,285244358,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0012741685,0.0019390825,0.000655666,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.024126291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285750044,285749506,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0015078187,0.0015309174,0.000110924244,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.026437283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286251818,286250140,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0020346195,0.00059750583,-0.00014351308,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,-0.054272056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286746722,286746263,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0024852157,-0.00013743713,-0.0004900843,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.005150199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287252513,287251407,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0027944446,-0.0008280929,-0.0005200207,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,0.009258509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287743852,287743321,0.0,0.0,0.0,0.024624616,0.0980946,0.0,0.0,0.0,0.0,0.0028897822,-0.0005537253,-4.6908855e-05,0.0,0.0730896,0.0,0.0,nan,0.0,0.0,-0.050326705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
