timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
130865582,130865467,4259850,4325386,3.8499293e-05,2.1186785e-05,-1.3181187e-05,-0.0012359477,-0.0013931904,-0.04271789,4510,4357,0,2
131366234,131366112,4259850,4325386,5.3961535e-06,-2.4273717e-05,1.6068467e-05,-0.0011723455,-0.0016518855,-0.04454684,4512,4537,0,2
131867000,131866810,4259850,4325386,1.548219e-05,-3.4713197e-05,-1.5734892e-07,-0.00127136,-0.0016066628,-0.04358173,4516,4438,0,2
132367733,132367501,4259850,4325386,-1.574118e-05,7.930438e-07,-1.2607219e-05,-0.0012589247,-0.0016156096,-0.04443249,4508,4530,0,2
132863870,132863765,4259850,4325386,5.4328608e-05,-1.5973568e-05,-4.112607e-05,-0.0011335231,-0.001509259,-0.042646527,4595,4362,0,2
133369113,133369006,4259850,4325386,3.0653722e-05,7.63823e-06,-8.173056e-06,-0.0012306875,-0.0016988863,-0.043802887,4583,4466,0,2
133865194,133865068,4259850,4325386,6.456771e-06,1.9637235e-05,1.9121208e-05,-0.0011633785,-0.0016947994,-0.04266008,4465,4360,0,2
134365866,134365761,4259850,4325386,3.301207e-06,3.3511682e-05,-1.1291373e-05,-0.0010630197,-0.0016039653,-0.040246192,4511,4102,0,2
134866566,134866454,4259850,4325386,1.2694466e-05,-3.795596e-06,-4.0350897e-06,-0.0011807571,-0.0016743885,-0.042771474,4421,4356,0,2
135367394,135367235,4259850,4325386,3.9642884e-05,3.072871e-05,-6.2395425e-06,-0.0011699579,-0.001754885,-0.042986352,4595,4381,0,2
135863463,135863331,4259850,4325386,6.540859e-05,2.5381902e-05,3.5626347e-06,-0.0012763272,-0.0016647048,-0.04451445,4511,4535,0,2
136364562,136364072,4259850,4325386,-4.0393212e-07,-1.334949e-05,-3.018304e-06,-0.0010107156,-0.0015962244,-0.04282987,4557,4357,0,2
136864935,136864718,4259850,4325386,2.8579858e-05,3.602295e-05,8.560915e-06,-0.0011655285,-0.0016259477,-0.044809107,4399,4570,0,2
137365643,137365530,4259850,4325386,1.9115056e-05,1.2508632e-05,-2.8481256e-05,-0.0011552986,-0.0016230595,-0.042781737,4628,4361,0,2
137866227,137866107,4259850,4325386,4.771552e-05,2.5449242e-05,1.6287682e-05,-0.0011776368,-0.0016509476,-0.04402087,4512,4493,0,2
138366944,138366801,4259850,4325386,1.6003196e-05,-1.0718358e-05,-1.0461182e-05,-0.0010504808,-0.0017196294,-0.042644408,4511,4360,0,2
138863090,138862985,4259850,4325386,2.934534e-05,2.3118526e-05,2.7608303e-05,-0.0012164888,-0.0015608935,-0.042805836,4385,4357,0,2
