timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
584986067,584986040,0.50389314,1.2564595e-05,-0.12693821,1.0331584,0.0017329073,1.0234691,1
585075926,585075898,0.5040121,1.2072403e-05,-0.46772683,1.0045277,0.024198037,1.0,1
585186271,585186207,0.50416666,1.15169705e-05,-0.61591727,1.0043074,0.04196967,1.0,1
585286088,585286060,0.5041262,1.10545e-05,0.21602699,1.004145,0.0051638912,1.0,1
585386132,585386103,0.50421304,1.0629668e-05,0.10743302,1.0039747,0.001277351,1.0,1
585486283,585486254,0.50398,1.0236482e-05,0.5040693,1.0038259,0.028124165,1.0,1
585576293,585576262,0.5039698,9.90818e-06,0.16165471,1.0037014,0.0028928749,1.0,1
585686536,585686509,0.50521356,9.529031e-06,-0.8985082,1.0037085,0.08937045,1.0,1
585776367,585776340,0.507256,9.226589e-06,-1.1997395,1.0202527,0.15675582,1.0167435,1
585886242,585886207,0.50941545,8.867746e-06,-0.22312397,1.0224825,0.0054099597,1.0136797,1
585986635,585986596,0.5106825,8.556015e-06,0.3849082,1.0166695,0.016191684,1.0100831,1
586086423,586086367,0.5117593,8.26123e-06,-0.5710039,1.0036045,0.03609716,1.0,1
586186428,586186395,0.51217747,7.989532e-06,0.25354564,1.0034512,0.0071182544,1.0,1
586276624,586276590,0.512761,7.763058e-06,-0.2500794,1.0033076,0.006925948,1.0,1
586386560,586386528,0.5133998,7.5078947e-06,-0.4727916,1.0031272,0.02475945,1.0,1
586486742,586486710,0.5135011,7.297704e-06,-0.21471506,1.0029407,0.0051074866,1.0,1
586586475,586586444,0.5137098,7.104665e-06,0.30634195,1.002817,0.010397974,1.0,1
586686818,586686785,0.5140745,6.9241914e-06,-0.037560135,1.0027117,0.00015632762,1.0,1
586776858,586776829,0.5138855,6.7741094e-06,-0.11321718,1.0025604,0.0014205994,1.0,1
586886566,586886534,0.5135406,6.6075013e-06,1.040577,1.002383,0.12002516,1.0025578,1
586976572,586976544,0.5131328,6.4826627e-06,0.38251698,1.0022761,0.016220773,1.0,1
587086652,587086588,0.5129838,6.339758e-06,0.24659896,1.0021921,0.0067420034,1.0,1
587186904,587186875,0.5127735,6.217122e-06,0.09720592,1.002708,0.0010470524,1.0,1
587286876,587286847,0.5128626,6.1001715e-06,0.12822083,1.0020965,0.0018229093,1.0,1
587386785,587386756,0.5126615,5.9879544e-06,0.09015998,1.002061,0.0009013449,1.0,1
587476861,587476833,0.512584,5.890344e-06,-0.28016764,1.0020363,0.008703821,1.0,1
587586900,587586871,0.51245296,5.7750867e-06,0.3443464,1.0020095,0.013148516,1.0,1
587676919,587676858,0.5123908,5.6835834e-06,-0.12179327,1.0020001,0.001644888,1.0,1
587786823,587786795,0.5124914,5.5748455e-06,0.24667192,1.0019797,0.006747423,1.0,1
587886889,587886862,0.5123756,5.4789343e-06,0.79342425,1.0019614,0.069809966,1.0,1
587977046,587977015,0.5123706,5.3950766e-06,0.81248665,1.0019561,0.07320509,1.0,1
588086951,588086924,0.5123376,5.295474e-06,0.025395248,1.0019298,7.151961e-05,1.0,1
588177139,588177111,0.51239264,5.216471e-06,-0.609452,1.0019208,0.04119107,1.0,1
588287175,588287138,0.5129642,5.1207535e-06,-0.59901166,1.0019647,0.039790154,1.0,1
588377097,588377067,0.51367164,5.0413423e-06,-0.38509697,1.0020202,0.016444521,1.0,1
588487329,588487301,0.514787,4.943433e-06,-1.3251666,1.0020691,0.19471559,1.0010864,1
588577126,588577098,0.51542175,4.863542e-06,-1.0995846,1.0020756,0.13406467,1.0,1
588677193,588677164,0.51540715,4.778652e-06,0.12813157,1.001984,0.0018205768,1.0,1
588787260,588787233,0.5151931,4.69344e-06,-0.09010488,1.0018636,0.0009004208,1.0,1
588877251,588877223,0.51521164,4.6285086e-06,-0.45197785,1.0017931,0.022657592,1.0,1
588987362,588987334,0.5151094,4.5539928e-06,0.26439938,1.0017296,0.007754036,1.0,1
589077422,589077390,0.5152012,4.4970166e-06,0.8259273,1.0016396,0.07567103,1.0,1
589187677,589187648,0.514925,4.437684e-06,-0.22121358,1.0013987,0.005429677,1.0,1
589287388,589287360,0.51457906,4.3928453e-06,0.4147892,1.001231,0.01909317,1.0,1
589377423,589377390,0.5143574,4.3566474e-06,0.9745024,1.0012108,0.105389595,1.0,1
589487598,589487569,0.51439416,4.313511e-06,-0.61719465,1.0012016,0.042274673,1.0,1
589577478,589577446,0.51432246,4.278264e-06,0.4704932,1.0012225,0.02456595,1.0,1
589687707,589687652,0.5143718,4.2355364e-06,0.80288845,1.0012157,0.071538575,1.0,1
589777813,589777780,0.51427585,4.2008387e-06,0.24035954,1.0012285,0.006411314,1.0,1
589877657,589877619,0.514508,4.1616818e-06,-0.88388,1.0012759,0.08669426,1.0,1
589987786,589987759,0.51453304,4.1155404e-06,0.16301721,1.0013896,0.0029486371,1.0,1
590077790,590077760,0.5146589,4.0735013e-06,-0.39145496,1.0015059,0.017000731,1.0,1
590187813,590187761,0.514629,4.018413e-06,-0.15204644,1.0015688,0.0025646565,1.0,1
590277863,590277833,0.5145702,3.974155e-06,-0.38790718,1.0015521,0.016693199,1.0,1
590387748,590387721,0.5144954,3.9217657e-06,0.8644334,1.001511,0.08290198,1.0,1
590477778,590477751,0.51414067,3.881463e-06,0.8890389,1.0014502,0.08769396,1.0,1
590577716,590577688,0.5137058,3.8404182e-06,0.59484875,1.001374,0.039262168,1.0,1
590677931,590677902,0.51337117,3.8022852e-06,0.17027283,1.0013179,0.0032171863,1.0,1
590778214,590778186,0.5132377,3.766408e-06,-0.30236936,1.0012805,0.010145589,1.0,1
590888061,590888032,0.5131544,3.72832e-06,0.44501403,1.0012594,0.021976486,1.0,1
590977907,590977880,0.51331973,3.6977458e-06,-1.0559158,1.001272,0.123726875,1.00156,1
591078007,591077971,0.51313525,3.6643808e-06,1.168459,1.0012527,0.15150982,1.0005825,1
591178108,591178077,0.51272845,3.6330464e-06,-0.36205262,1.003896,0.014508155,1.0,1
591278023,591277991,0.51241904,3.620636e-06,11.647883,34.46122,0.43744242,34.84829,1
591378282,591378250,0.5124406,3.6335077e-06,-0.84802675,65.013885,0.0012290525,64.70095,1
591478009,591477975,0.5124387,3.6460624e-06,1.9973216,62.39114,0.007104452,62.09122,1
591588282,591588253,0.51239157,3.6600666e-06,-2.2580285,63.812325,0.008877931,63.561424,1
591678237,591678205,0.51236236,3.6715082e-06,3.2444048,62.367733,0.018752864,62.06851,1
591778519,591778463,0.5123356,3.6843305e-06,4.0136304,60.002472,0.029830677,59.71087,1
591878151,591878117,0.5123079,3.6970062e-06,3.9688542,57.485035,0.030446192,57.215702,1
591978381,591978349,0.5122859,3.7099805e-06,7.264097,55.765194,0.10513748,55.58243,1
592088207,592088180,0.5122606,3.7241402e-06,7.404195,53.888763,0.11303552,53.70799,1
592178331,592178299,0.51223934,3.7357931e-06,7.5950933,52.285088,0.122587405,52.10275,1
592288307,592288279,0.5122122,3.7499917e-06,5.8766766,50.306328,0.07627785,50.07949,1
592378461,592378429,0.51218873,3.7616478e-06,6.809986,48.63323,0.10595387,48.4175,1
592478554,592478522,0.5121621,3.774577e-06,7.6220474,46.79379,0.1379471,46.60363,1
592578402,0,nan,nan,nan,nan,nan,nan,0
