timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
280247573,280247050,0,nan,nan,0.18254101,0.013660771,-0.20023872,0.046440143,0.0018075481,-1.3912839,0.0031293503,0.0040582395,-0.00049633667,-0.0020772142,-0.00042750384,-0.00024719787,-0.012184761,-0.0014259304,0.011217785,0.0077454364,1.8679467,-0.015269994,nan,0.1,0.047238085,0.032187928,0.06786559,0.04374874,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
280256892,280256116,0,nan,nan,0.18257256,0.013654019,-0.20027134,0.046440143,0.0018075481,-1.3912839,0.0032155213,0.00412039,-0.0008187314,-0.0024037678,-0.00042750384,-0.00024719787,-0.012184761,0.0030924617,-0.0055997046,-0.03622238,1.8679447,-0.015269994,nan,0.1,0.045248676,0.030923046,0.066177115,0.042793807,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
280748272,280747896,0,nan,nan,0.18425137,0.012750929,-0.20199953,0.046440143,0.0018075481,-1.3912839,0.005766953,0.0017524192,-0.0026500793,-0.003972829,-0.00042750384,-0.00024719787,-0.012184761,0.004510775,0.038496166,-0.011208417,1.8676937,-0.015269994,nan,0.10055784,0.04494951,0.030623484,0.0670124,0.043228254,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
281253544,281252994,0,nan,nan,0.18512802,0.01190724,-0.2029087,0.046440143,0.0018075481,-1.3912839,0.0051235547,0.001994884,-0.001975788,-0.0023184416,-0.00042750384,-0.00024719787,-0.012184761,-0.033573337,-0.0015835802,0.030067883,1.8673736,-0.015269994,nan,0.1010899,0.042945486,0.029306449,0.06550867,0.04242475,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
281750334,281748946,0,nan,nan,0.18514371,0.011301877,-0.2025474,0.046440143,0.0018075481,-1.3912839,0.0048725777,0.00045363995,-0.0015494567,-0.0009727273,-0.00042750384,-0.00024719787,-0.012184761,-0.013508408,0.002376017,-0.033683356,1.86689,-0.015269994,nan,0.100833274,0.044491284,0.03029826,0.066670015,0.043151006,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
282241086,282240747,0,nan,nan,0.18427624,0.010809292,-0.20175275,0.046440143,0.0018075481,-1.3912839,0.0033274067,0.00023280724,0.00016526299,0.0011535648,-0.00042750384,-0.00024719787,-0.012184761,0.029537033,0.01259644,0.013911836,1.8666439,-0.015269994,nan,0.100361116,0.044001713,0.029994281,0.06621938,0.042824525,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
282746304,282745852,0,nan,nan,0.18255892,0.010431523,-0.20086907,0.046440143,0.0018075481,-1.3912839,0.0009692563,-0.00012362703,0.00023333605,0.001108405,-0.00042750384,-0.00024719787,-0.012184761,-0.009084113,0.014593464,0.016961804,1.8663697,-0.015269994,nan,0.1,0.044451065,0.030287609,0.06625914,0.042985074,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
283251579,283251037,0,nan,nan,0.18149939,0.010469008,-0.20092772,0.046440143,0.0018075481,-1.3912839,-0.00055907806,0.0006091962,-0.00029728806,0.00014039525,-0.00042750384,-0.00024719787,-0.012184761,-0.019169224,0.0024577149,0.02538739,1.8661472,-0.015269994,nan,0.1,0.04235219,0.028951366,0.06442254,0.041904185,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
283747441,283746967,0,nan,nan,0.180265,0.011213853,-0.2003516,0.046440143,0.0018075481,-1.3912839,-0.0019484822,0.0028675075,0.0023778433,0.0025689576,-0.00042750384,-0.00024719787,-0.012184761,-0.0035858857,-0.01747073,-0.020844998,1.866069,-0.015269994,nan,0.1,0.044322506,0.030208949,0.06617051,0.04290383,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
284252799,284252111,0,nan,nan,0.18050727,0.012949664,-0.19903003,0.046440143,0.0018075481,-1.3912839,0.0010816476,0.005985926,0.0036543058,0.0034248715,-0.00042750384,-0.00024719787,-0.012184761,0.011705177,0.0064075086,-0.013909547,1.8658062,-0.015269994,nan,0.1,0.04232984,0.02894026,0.064495124,0.041922655,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
284753099,284752745,0,nan,nan,0.18215084,0.014381247,-0.19882844,0.046440143,0.0018075481,-1.3912839,0.0037883974,0.0063055446,0.0017877053,0.0007187582,-0.00042750384,-0.00024719787,-0.012184761,0.02164869,0.0066899387,-0.0071200854,1.8658903,-0.015269994,nan,0.1,0.044496074,0.030311672,0.06632686,0.043030083,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
285244711,285244358,0,nan,nan,0.18361866,0.01460557,-0.19989027,0.046440143,0.0018075481,-1.3912839,0.0053003044,0.0051215226,0.0003763736,-0.0012749749,-0.00042750384,-0.00024719787,-0.012184761,-0.017917871,0.035038404,-0.02179268,1.8659791,-0.015269994,nan,0.1,0.043938283,0.029961381,0.0658491,0.04273316,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
285749983,285749506,0,nan,nan,0.18438232,0.013307102,-0.20107411,0.046440143,0.0018075481,-1.3912839,0.005991531,0.0017694649,-0.00019166816,-0.0016971629,-0.00042750384,-0.00024719787,-0.012184761,0.019116286,0.009691179,0.011170383,1.8659276,-0.015269994,nan,0.100083046,0.044490132,0.0303,0.06654773,0.04300215,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
286251786,286250140,0,nan,nan,0.18532017,0.011195475,-0.2018021,0.046440143,0.0018075481,-1.3912839,0.0074451407,-0.0010192064,-0.0018684849,-0.0027867001,-0.00042750384,-0.00024719787,-0.012184761,0.0052616526,5.510829e-05,0.003364813,1.8658867,-0.015269994,nan,0.10060673,0.04435728,0.030224765,0.066145636,0.04291721,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
