timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
85739331,85738621,-0.59226316,-0.022003472,-0.004789812,-0.8054299,-0.00077257835,0.0006292319,-0.0013836306,0.066101745,0.084000714,-0.20051771,3.3922006e-05,4.4097145e-05,-1.25148445e-05,0.0,0.0,-0.00016866036,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,2.3720786e-05,2.6233947e-06,2.640919e-06,1.3747375e-05,0.0024737245,0.0024739401,0.0018361858,0.0010279864,0.0010280041,0.0009202225,1.856702e-11,1.857227e-11,3.3488386e-11,4.0000004e-06,4.0000004e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
85753169,85751870,-0.5922627,-0.02202021,-0.0048074815,-0.80542964,-0.0008021808,0.00054607383,-0.0015499558,0.06609146,0.08400839,-0.20053686,3.3922006e-05,4.4097145e-05,-1.25148445e-05,0.0,0.0,-0.00016866036,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,2.3739127e-05,2.6319933e-06,2.6495513e-06,1.375707e-05,0.0025128468,0.002513065,0.001857957,0.0010524803,0.0010524988,0.0009399127,1.857702e-11,1.8582271e-11,3.3498385e-11,4.0000004e-06,4.0000004e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
86744500,86744008,-0.5920737,-0.023083854,-0.004236358,-0.805542,-0.044295937,-0.006624879,0.0012073921,0.059706673,0.08312597,-0.20179898,3.400021e-05,4.4067052e-05,-1.2610254e-05,1.1969983e-06,6.5999775e-06,-0.00017172121,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,2.3696393e-05,2.6174625e-06,2.636879e-06,1.3646693e-05,0.003917545,0.0039200084,0.0018085298,0.0009881527,0.0009881905,0.0008783451,1.8559576e-11,1.8564289e-11,3.3427046e-11,3.9957963e-06,3.9957954e-06,5.0000178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
87736889,87736406,-0.6392346,-0.017579347,0.0003316346,-0.76881087,0.034645125,-0.011873721,-0.1539564,0.07030142,0.08532469,-0.22946315,3.439621e-05,4.4020817e-05,-1.2398093e-05,0.00017692726,0.0011367342,-0.00015318017,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,2.1584592e-05,3.0933982e-06,3.104765e-06,1.5720487e-05,0.00952181,0.009528329,0.0018039566,0.0016634802,0.0016642817,0.000862065,1.9092165e-11,1.90958e-11,3.339702e-11,1.2255045e-06,1.2254926e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
88742648,88737438,-0.76581395,-0.024959547,0.0010765338,-0.64257675,0.040961936,-0.090958305,-0.30260453,0.12069085,0.007124964,-0.6777513,3.444837e-05,4.407264e-05,-1.1397105e-05,0.0001982446,0.0010978185,-0.00011270915,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,1.5101186e-05,3.9992456e-06,4.023904e-06,2.2131448e-05,0.003682963,0.003683146,0.0017827586,0.001225237,0.0012253682,0.0008588518,2.0072112e-11,2.0074008e-11,3.3358545e-11,3.3255353e-07,3.326546e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
89734965,89734216,-0.7499651,-0.018454751,-0.00041748732,-0.66121984,0.09394917,-0.004896176,-0.13468884,0.17858174,-0.0052835657,-0.78331155,3.4648117e-05,4.4044584e-05,-9.327028e-06,1.2043628e-05,0.0010913406,-0.00022615089,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,1.6123186e-05,4.9279433e-06,4.944902e-06,2.103886e-05,0.0025084794,0.0025078538,0.0017794536,0.0010254029,0.0010252965,0.00085699937,2.10022e-11,2.1002564e-11,3.3324076e-11,2.0634636e-07,2.0642678e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
90740321,90739797,-0.74375606,-0.023345597,-0.0026117065,-0.66803837,0.049200557,-0.056452602,-0.093271494,0.2479316,-0.04020584,-0.9393222,3.4634857e-05,4.420644e-05,-6.3454113e-06,2.6000387e-05,0.0010759337,-0.00020499458,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,1.6636463e-05,5.8465694e-06,5.8742394e-06,2.0447229e-05,0.0021768066,0.0021767714,0.0017814428,0.0009472994,0.0009472623,0.0008575507,2.1824634e-11,2.1824471e-11,3.329336e-11,1.7601165e-07,1.7605544e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
91737067,91736530,-0.73781717,-0.01998181,-0.0021248995,-0.67470145,-0.0437851,0.009454107,-0.08230779,0.23457713,-0.047270216,-1.0500726,3.463473e-05,4.4758446e-05,-3.2789226e-06,1.9116278e-06,0.0010439582,-0.00018238995,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,1.7172473e-05,6.6473945e-06,6.6694156e-06,1.9916894e-05,0.0021039366,0.0021043674,0.0017820717,0.0009234336,0.0009234835,0.0008591444,2.2370387e-11,2.2367932e-11,3.329128e-11,1.7004113e-07,1.7006602e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
92735051,92733414,-0.7401574,-0.013834947,-0.0015341,-0.67228967,-0.027488632,-0.030302301,-0.008960067,0.22798763,-0.042537272,-1.0780451,3.4954446e-05,4.5132463e-05,-1.548864e-07,-5.988732e-06,0.0010498705,-0.00017911052,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,1.7227208e-05,7.2249804e-06,7.2391936e-06,1.9810921e-05,0.002101552,0.0021015012,0.001780487,0.0009194139,0.0009194166,0.0008597796,2.2548257e-11,2.2544041e-11,3.3270844e-11,1.6957074e-07,1.6958384e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
93744853,93743574,-0.7344911,-0.023517715,0.0020461448,-0.67820764,-0.043487355,0.02717483,-0.012663442,0.20438267,-0.056281436,-1.1342806,3.493978e-05,4.54577e-05,2.8978623e-06,-2.819405e-06,0.0010584479,-0.0001478998,0.24835166,3.8754018e-09,0.3067867,0.0,0.0,0.0,0.0,0.0,1.7684923e-05,7.565404e-06,7.5930634e-06,1.9292958e-05,0.0021108924,0.0021105676,0.001782735,0.00092301244,0.000923006,0.0008603038,2.2433243e-11,2.2428665e-11,3.3250725e-11,1.6932108e-07,1.693276e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
