timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
85733445,85732097,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.01113129,0.011131299,0.011001344,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85743134,85742100,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.01113129,0.011131299,0.011001344,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86243246,86242170,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011056267,0.011056274,0.010943678,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090148084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86743162,86742243,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011043803,0.011043814,0.010926741,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87243374,87242317,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011608321,0.011608756,0.010928812,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090147816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87733574,87732392,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011931546,0.011932055,0.010929738,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090147726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88233703,88232467,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.0116357235,0.011635894,0.010928659,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88743575,88742543,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011385699,0.011385658,0.0109303165,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89243583,89242619,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.0112257805,0.011225623,0.010928191,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090147555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89743745,89742693,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011129813,0.011129549,0.010926769,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090147406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90243779,90242769,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011072663,0.011072493,0.01092819,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.0901473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90743955,90742864,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011037091,0.01103706,0.0109297335,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.0901472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91234217,91232925,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011016715,0.011016788,0.010930938,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91734135,91733019,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005502,0.0110055925,0.010930182,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090146996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92234351,92233073,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.010999881,0.01099991,0.010929858,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92744127,92743153,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011000808,0.01100081,0.010930661,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93244421,93243229,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011000581,0.011000571,0.010929302,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090146884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93744399,93743306,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011003982,0.011003971,0.010930231,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94244493,94243383,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011004895,0.011004848,0.010930602,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94734826,94733459,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011004481,0.01100446,0.01093066,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95234758,95233537,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011007028,0.0110070035,0.010930614,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95734995,95733615,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011006167,0.011006144,0.010930565,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96234902,96233693,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011006118,0.011006095,0.010930541,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090146326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96735100,96733772,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.01100802,0.011007993,0.010930516,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97244799,97243852,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011008194,0.011008171,0.010930471,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97744992,97743931,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005852,0.011005821,0.010929547,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090146154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98235325,98234008,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011007639,0.011007634,0.010931286,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090146095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98735272,98734087,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005595,0.011005559,0.010929846,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99235459,99234166,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.0110056,0.011005549,0.010930276,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99735488,99734246,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011006313,0.011006298,0.010930415,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100235700,100234325,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011007072,0.011007014,0.010930427,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100735564,100734406,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011008007,0.011007909,0.010930393,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101245405,101244487,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005776,0.011005836,0.010930391,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101735784,101734612,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005146,0.011005228,0.01093041,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102235783,102234646,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005646,0.011005597,0.010930431,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102736054,102734758,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011006439,0.01100633,0.010931509,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090145595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103235999,103234809,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011007052,0.01100701,0.010931803,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103736243,103734889,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011006066,0.011006085,0.010931837,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.090145506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104236281,104234968,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005311,0.011005368,0.010931829,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104736409,104735049,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011004663,0.011004701,0.010930774,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105236243,105235147,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011005548,0.011005504,0.010930467,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105736514,105735212,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011032987,0.011032877,0.010956948,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106236530,106235294,0.0,0.0,0.0,0.014121266,0.014121391,0.0,0.0,0.0,0.0,0.011008548,0.011008509,0.010935006,0.0,12.538333,0.0,0.0,nan,0.0,0.0,0.09014532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
