timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
2090015208,800000.0,1.0,23681.486,0.0,82891,31276,3553.0723,6074,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2090766886,800000.0,1.0,23621.592,0.0,83174,31276,3548.8774,6108,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2091018286,800000.0,1.0,23621.592,0.0,83281,31276,3548.8774,6120,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2092018185,800000.0,1.0,21676.021,0.0,83697,31276,3546.3506,6166,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2093019566,800000.0,1.0,23657.137,0.0,84115,31276,3590.6106,6212,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2094017368,800000.0,1.0,23618.838,0.0,84531,31276,3543.0747,6258,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2095016282,800000.0,1.0,24150.045,0.0,84947,31276,3544.5583,6304,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2096015397,800000.0,1.0,23580.08,0.0,85359,31276,3549.2388,6350,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2097016207,800000.0,1.0,23689.412,0.0,85781,31276,3429.7432,6396,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2098017912,800000.0,1.0,23697.488,0.0,86195,31276,3551.8765,6442,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2099018688,800000.0,1.0,23664.959,0.0,86613,31276,3555.8435,6488,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2100017973,800000.0,1.0,23701.318,0.0,87029,31276,3552.6,6534,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2101018205,800000.0,1.0,23712.205,0.0,87448,31276,3672.2883,6580,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2102018377,800000.0,1.0,23751.82,0.0,87864,31276,3555.3745,6627,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2103016340,800000.0,1.0,23661.69,0.0,88280,31276,3596.0012,6673,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2104016170,800000.0,1.0,23620.105,0.0,88697,31276,3550.454,6719,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2105018701,800000.0,1.0,23693.602,0.0,89112,31276,3555.04,6765,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2106018354,800000.0,1.0,23644.588,0.0,89527,31276,3553.083,6811,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2107018140,800000.0,1.0,23600.166,0.0,89943,31276,3421.8745,6857,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2108017071,800000.0,1.0,23726.623,0.0,90358,31276,3548.7642,6903,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2109018188,800000.0,1.0,23809.951,0.0,90777,31276,3663.3757,6949,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2110017726,800000.0,1.0,23651.67,0.0,91190,31276,3552.1958,6995,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2111018126,800000.0,1.0,23593.203,0.0,91607,31276,3546.4104,7041,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2112018310,800000.0,1.0,23621.215,0.0,92023,31276,3565.0713,7088,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2113018996,800000.0,1.0,23770.691,0.0,92440,31276,3619.1018,7134,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2114019113,800000.0,1.0,23597.16,0.0,92855,31276,3529.7249,7180,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2115019423,800000.0,1.0,23727.377,0.0,93274,31276,3572.8713,7226,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2116018008,800000.0,1.0,23910.191,0.0,93687,31276,3543.4316,7272,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2117018588,800000.0,1.0,23662.637,0.0,94106,31276,3553.2424,7318,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2118017561,800000.0,1.0,23626.826,0.0,94521,31276,3555.6729,7364,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2119018799,800000.0,1.0,23811.633,0.0,94938,31276,3539.594,7410,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2120019386,800000.0,1.0,23648.613,0.0,95354,31276,3551.4365,7456,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
