timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
438341295,4.9918942,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
438351962,5.0063963,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
438851838,5.0063963,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
439351590,4.9177732,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
439850698,5.014453,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
440350736,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
440850752,4.988672,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
441350799,4.9854493,3.325781,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
441850788,4.9838376,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
442350750,4.9822264,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
442850729,4.9725585,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
443350765,4.988672,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
443850829,4.941943,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
444340726,4.9854493,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
444840701,4.9838376,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
445350886,4.941943,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
445850698,4.920996,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
446350699,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
446850698,4.945166,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
447350709,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
447840974,5.009619,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
448340697,5.0112305,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
448850729,5.016064,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
449350700,4.990283,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
449850699,4.988672,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
450350697,4.988672,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
450850702,5.017676,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
451341144,4.988672,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
451840739,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
452350831,5.016064,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
452850725,4.995117,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
453350705,5.014453,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
453850704,5.0080075,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
454350702,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
454850826,4.9967284,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
455340875,5.0128417,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
455851673,5.0208983,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
456351063,5.016064,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
456850772,4.9918942,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
457350699,5.0063963,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
457850696,4.9918942,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
458350700,4.993506,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
458840699,5.0225096,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
459350703,4.9081054,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
459850764,5.024121,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
460350875,4.993506,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
460850725,4.930664,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
461350706,4.995117,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
461850722,5.0015626,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
462340697,4.9532228,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
462850758,5.0015626,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
463350698,4.990283,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
463850751,4.9967284,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
