timestamp,position,velocity,acceleration,attitude,body_rate
446602093,1,1,1,0,0
446605566,1,1,1,0,0
446702116,1,1,1,0,0
446804578,1,1,1,0,0
446899041,1,1,1,0,0
446947707,1,1,1,0,0
447099830,1,1,1,0,0
447200193,1,1,1,0,0
447300924,1,1,1,0,0
447399155,1,1,1,0,0
447499845,1,1,1,0,0
447601511,1,1,1,0,0
447701556,1,1,1,0,0
447799608,1,1,1,0,0
447901184,1,1,1,0,0
448001105,1,1,1,0,0
448099880,1,1,1,0,0
448198817,1,1,1,0,0
448299724,1,1,1,0,0
448401042,1,1,1,0,0
448500014,1,1,1,0,0
448601559,1,1,1,0,0
448701593,1,1,1,0,0
448799124,1,1,1,0,0
448900780,1,1,1,0,0
449000552,1,1,1,0,0
449052518,1,1,1,0,0
449200087,1,1,1,0,0
449300032,1,1,1,0,0
449400088,1,1,1,0,0
449499372,1,1,1,0,0
449602704,1,1,1,0,0
449702779,1,1,1,0,0
449801404,1,1,1,0,0
449901462,1,1,1,0,0
450002832,1,1,1,0,0
450101172,1,1,1,0,0
450202048,1,1,1,0,0
450302846,1,1,1,0,0
450401046,1,1,1,0,0
450501112,1,1,1,0,0
450602508,1,1,1,0,0
450703030,1,1,1,0,0
450800916,1,1,1,0,0
450900893,1,1,1,0,0
451000917,1,1,1,0,0
451100868,1,1,1,0,0
451200976,1,1,1,0,0
451303199,1,1,1,0,0
451401986,1,1,1,0,0
451501909,1,1,1,0,0
451601365,1,1,1,0,0
451701005,1,1,1,0,0
451801694,1,1,1,0,0
451902356,1,1,1,0,0
452001267,1,1,1,0,0
452101092,1,1,1,0,0
452199874,1,1,1,0,0
452301063,1,1,1,0,0
452401512,1,1,1,0,0
452501578,1,1,1,0,0
452601072,1,1,1,0,0
452699300,1,1,1,0,0
452800483,1,1,1,0,0
452900995,1,1,1,0,0
453002481,1,1,1,0,0
453101608,1,1,1,0,0
453201314,1,1,1,0,0
453302892,1,1,1,0,0
453398821,1,1,1,0,0
453500957,1,1,1,0,0
453602788,1,1,1,0,0
453702656,1,1,1,0,0
453801078,1,1,1,0,0
453899480,1,1,1,0,0
454001801,1,1,1,0,0
454102786,1,1,1,0,0
454198342,1,1,1,0,0
454299113,1,1,1,0,0
454400890,1,1,1,0,0
454500820,1,1,1,0,0
454600922,1,1,1,0,0
454699796,1,1,1,0,0
454801126,1,1,1,0,0
454900896,1,1,1,0,0
455001950,1,1,1,0,0
455102621,1,1,1,0,0
455202142,1,1,1,0,0
455299830,1,1,1,0,0
455403098,1,1,1,0,0
455499660,1,1,1,0,0
455601652,1,1,1,0,0
455698892,1,1,1,0,0
455801209,1,1,1,0,0
455899437,1,1,1,0,0
456000191,1,1,1,0,0
456102397,1,1,1,0,0
456200575,1,1,1,0,0
456303069,1,1,1,0,0
456399730,1,1,1,0,0
456502782,1,1,1,0,0
456600358,1,1,1,0,0
456701366,1,1,1,0,0
456800131,1,1,1,0,0
456902815,1,1,1,0,0
456999032,1,1,1,0,0
457103086,1,1,1,0,0
457198923,1,1,1,0,0
457299652,1,1,1,0,0
457400022,1,1,1,0,0
457500038,1,1,1,0,0
457602919,1,1,1,0,0
457699774,1,1,1,0,0
457802368,1,1,1,0,0
457899523,1,1,1,0,0
458002907,1,1,1,0,0
458103960,1,1,1,0,0
458202048,1,1,1,0,0
458300506,1,1,1,0,0
458399563,1,1,1,0,0
458499660,1,1,1,0,0
458602050,1,1,1,0,0
458699676,1,1,1,0,0
458800480,1,1,1,0,0
458903311,1,1,1,0,0
459000522,1,1,1,0,0
459103393,1,1,1,0,0
459199834,1,1,1,0,0
459300894,1,1,1,0,0
459401501,1,1,1,0,0
459500353,1,1,1,0,0
459600219,1,1,1,0,0
459700598,1,1,1,0,0
459800170,1,1,1,0,0
459898861,1,1,1,0,0
460001484,1,1,1,0,0
