timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
111599056,0.001888053,-0.00084963307,-0.0007615271,5045,0,-0.27127793,-0.30833036,-9.774761,5045,0
111604013,0.0016131935,-0.000983023,6.0858285e-05,4957,0,-0.25025767,-0.32563603,-9.803797,4957,0
111609028,0.0021017112,-0.0011625629,0.00046358354,5015,0,-0.26575404,-0.30326682,-9.79037,5015,0
111614017,0.0005713342,-0.0005151155,0.0002538823,4989,0,-0.2739468,-0.3254755,-9.771754,4989,0
111619020,-0.0008771978,0.00022165729,-0.00094981375,5003,0,-0.27848428,-0.2832178,-9.757614,5003,0
111624021,0.00060068665,-0.00057306455,-0.0029029239,5001,0,-0.274912,-0.30489194,-9.778355,5001,0
111629023,0.0012067624,-0.00057564455,-0.00047323166,5002,0,-0.28682062,-0.2976312,-9.7809105,5002,0
111634027,0.0010598656,-0.0003188104,0.00010223367,5004,0,-0.26343334,-0.2902699,-9.800768,5004,0
111639028,0.0021089725,-0.00088613783,-0.0024537968,5001,0,-0.26377428,-0.32674274,-9.783708,5001,0
111644044,0.001350692,-0.0011143541,-0.0006946812,5016,0,-0.25862986,-0.3241874,-9.78725,5016,0
111649031,0.00088146847,-0.00093525165,-6.430302e-05,4987,0,-0.2586793,-0.3034451,-9.789436,4987,0
111654036,0.0007979234,-0.0023414888,-0.0023980178,5005,0,-0.28330478,-0.30255443,-9.78813,5005,0
111659039,0.0011003426,-0.0006465268,-0.0014610657,5003,0,-0.22399195,-0.3113286,-9.797261,5003,0
111664036,0.0010141846,-0.00073232746,0.0002825705,4997,0,-0.26023492,-0.29307437,-9.778155,4997,0
111669041,0.00024720764,-0.0012399282,-0.0009820935,5005,0,-0.24168123,-0.29426292,-9.768919,5005,0
111674040,0.0016688404,-0.0011311328,0.0006940594,4999,0,-0.2789497,-0.31491584,-9.787293,4999,0
111679048,0.00070500775,0.0002034583,-0.0014118153,5008,0,-0.28681737,-0.30846316,-9.782453,5008,0
111684044,-0.00025504237,-0.001273011,-0.0009784617,4996,0,-0.2545959,-0.29754025,-9.770935,4996,0
111689046,0.0014088982,-0.00051931024,0.00089426903,5002,0,-0.25976223,-0.28670084,-9.761778,5002,0
111694048,-0.00038476253,-0.0006820305,-0.0011631241,5002,0,-0.2715339,-0.30209607,-9.773904,5002,0
111699051,0.0016917799,-0.0018542454,-0.0018873957,5003,0,-0.25122213,-0.29888287,-9.790615,5003,0
111704056,0.0013643086,1.9729598e-05,-0.0018540989,5005,0,-0.26166323,-0.32083052,-9.782704,5005,0
111709054,0.001936704,-0.0010139386,0.0004532859,4998,0,-0.27052456,-0.32635546,-9.794596,4998,0
111714062,4.1827825e-06,-0.00036992773,-0.0017357164,5008,0,-0.2727973,-0.29272136,-9.7958355,5008,0
111719057,0.00059131434,8.626035e-05,-0.0021253356,4995,0,-0.2588598,-0.30784065,-9.79028,4995,0
111724059,0.00056721456,-0.00015932004,-0.00077250256,5002,0,-0.2685451,-0.3070817,-9.785535,5002,0
111729063,0.00079141126,-0.0010087141,-0.0025305687,5004,0,-0.27289,-0.31857896,-9.776805,5004,0
111734066,0.0005603616,-0.0011937694,-0.00028784873,5003,0,-0.25774112,-0.30032685,-9.795985,5003,0
111739067,0.00076058885,-0.00021642687,-9.0860056e-05,5001,0,-0.2522088,-0.29881468,-9.754019,5001,0
111744069,0.00022441136,-0.0005539485,2.0311452e-05,5002,0,-0.26747298,-0.29477242,-9.760323,5002,0
111749072,0.0020631165,-0.00037594172,-0.0005926302,5003,0,-0.25890267,-0.31714663,-9.779898,5003,0
111754071,0.0014589167,-0.002210141,-0.002671274,4999,0,-0.28023782,-0.29445344,-9.777366,4999,0
111759073,0.00073806325,-0.00025625728,-0.0011963506,5002,0,-0.26608428,-0.32809904,-9.786748,5002,0
111764077,0.00035282446,-0.0010004896,0.00081814965,5004,0,-0.25865403,-0.29249713,-9.765144,5004,0
111769076,-0.00053745357,-0.0020520638,0.0008664834,4999,0,-0.2788223,-0.29942966,-9.78023,4999,0
111774081,0.0004949677,-0.0012828588,-0.0011159262,5005,0,-0.26880255,-0.31586888,-9.768996,5005,0
111779080,-0.0010576124,-0.00054533867,-0.0011810046,4999,0,-0.271225,-0.28639272,-9.783288,4999,0
111784085,0.0008231474,-0.0014257473,-0.00021804502,5005,0,-0.2605307,-0.29114452,-9.78186,5005,0
111789084,0.00052411656,-0.0020658583,-0.0010641663,4999,0,-0.25030318,-0.32758766,-9.788766,4999,0
111794102,0.001249186,-0.0010179427,-0.0014768239,5018,0,-0.27690178,-0.31429017,-9.792928,5018,0
111799091,0.0007347388,0.00010262664,-0.0015077082,4989,0,-0.28577605,-0.2880369,-9.792451,4989,0
111804091,0.00089286995,-0.0012299035,-0.0005821245,5000,0,-0.29097342,-0.30975938,-9.794005,5000,0
111809127,0.00087957014,-0.0022047975,-0.00096604193,5036,0,-0.25911057,-0.31599167,-9.79886,5036,0
111814113,0.0007694513,-0.0012885539,-0.00064350915,4986,0,-0.28523833,-0.31509078,-9.771027,4986,0
111819098,-0.00015245838,0.0002340998,0.0002730556,4985,0,-0.2741815,-0.2888244,-9.7924385,4985,0
111824101,-2.8471477e-05,-0.00030702382,-0.00017788477,5003,0,-0.26637387,-0.31233463,-9.784714,5003,0
111829100,0.00033639694,0.00019873372,-0.0008605724,4999,0,-0.28561768,-0.30892265,-9.768623,4999,0
111834101,0.0006601157,-0.0007416126,-0.0005811527,5001,0,-0.2525157,-0.311488,-9.795169,5001,0
111839104,0.0011491431,-0.00065956515,1.9049172e-05,5003,0,-0.2582404,-0.30133078,-9.786694,5003,0
111844107,0.0011802677,-0.0014760823,-0.00068526465,5003,0,-0.2703179,-0.31460017,-9.7719,5003,0
111849107,0.0001894869,-0.0014497123,-0.000105848616,5000,0,-0.28865865,-0.30484968,-9.797931,5000,0
111854112,-0.0013874549,-0.0020575502,-0.0012449746,5005,0,-0.25407255,-0.30721754,-9.766915,5005,0
111859144,0.0019980534,-0.0009025021,-0.0008665174,5032,0,-0.28073296,-0.3253669,-9.773898,5032,0
111864113,0.00020126547,-0.00026991832,4.3803753e-05,4969,0,-0.27612343,-0.31564113,-9.785137,4969,0
111869115,0.00065708626,-0.00021056093,-0.0006750983,5002,0,-0.25150084,-0.32752928,-9.785715,5002,0
111874117,-0.00023700319,-0.00030898405,-0.0015708593,5002,0,-0.26776385,-0.29707956,-9.793209,5002,0
111879119,0.0001650225,1.8642879e-05,-0.0011102476,5002,0,-0.265858,-0.29140234,-9.770431,5002,0
