timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
85739316,85738621,0,nan,nan,0.06576745,0.08199352,-0.20066918,0.046440143,0.0018075481,-1.3912839,-0.00090366934,-0.0015052404,-0.0024009563,-0.003785833,-0.00042750384,-0.00024719787,-0.012184761,0.034789935,-0.015203268,0.0017492146,1.8731865,-0.015269994,nan,0.10015147,0.04534303,0.03033517,0.070339635,0.04285074,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
85752258,85751870,0,nan,nan,0.065788075,0.08197502,-0.20071398,0.046440143,0.0018075481,-1.3912839,-0.0010182002,-0.0012163705,-0.002363336,-0.0037413433,-0.00042750384,-0.00024719787,-0.012184761,-0.051121198,-0.004047597,-0.010538965,1.8730605,-0.015269994,nan,0.10017712,0.04588005,0.030657995,0.07089367,0.043104026,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
86239246,86238900,0,nan,nan,0.065425314,0.08193184,-0.20234834,0.046440143,0.0018075481,-1.3912839,-0.018197116,0.0031206487,-0.0020754628,-0.0028198564,-0.00042750384,-0.00024719787,-0.012184761,-0.04415709,-0.0148294335,-0.43529376,1.8732349,-0.015269994,nan,0.10099692,0.043968234,0.029526614,0.06930453,0.04219894,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
86744477,86744008,0,nan,nan,0.048079148,0.079728395,-0.20286633,0.046440143,0.0018075481,-1.3912839,-0.06858905,-0.0106875505,-0.0022318286,-0.0019635214,-0.00042750384,-0.00024719787,-0.012184761,-0.16273604,-0.0066316556,-0.5933449,1.8726099,-0.015269994,nan,0.101174094,0.044456083,0.029636888,0.08852996,0.04252681,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
87245114,87244610,0,nan,nan,0.020186739,0.07624022,-0.20311746,0.046440143,0.0018075481,-1.3912839,-0.09691148,-0.021979686,-0.0003328388,0.00041020973,-0.00042750384,-0.00024719787,-0.012184761,0.2227922,-0.23103061,-0.048368063,1.8618257,-0.015269994,nan,0.10142522,0.054798666,0.029619643,0.16030009,0.042771965,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
87736872,87736406,0,nan,nan,0.048403796,0.07674347,-0.2668536,0.046440143,0.0018075481,-1.3912839,0.04601816,-0.028277732,-0.37494972,-0.3777439,-0.00042750384,-0.00024719787,-0.012184761,0.7936366,-1.1986336,-1.3804787,1.6289389,-0.015269994,nan,0.16516137,0.057686757,0.029360944,0.13802224,0.04247301,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
88241966,88241496,0,nan,nan,0.11740533,0.03735207,-0.55194616,0.046440143,0.0018075481,-1.3912839,0.06806856,-0.110752605,-0.47699144,-0.50619864,-0.00042750384,-0.00024719787,-0.012184761,0.46195984,0.011427221,0.556024,1.4145664,-0.015269994,nan,0.45025393,0.053578034,0.029367197,0.10458355,0.04233397,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
88742624,88737438,0,nan,nan,0.14553107,-0.015721811,-0.74158674,0.046440143,0.0018075481,-1.3912839,0.042865552,-0.09407611,-0.23595221,-0.25678962,-0.00042750384,-0.00024719787,-0.012184761,-0.6936628,0.33742175,-0.45737007,1.4030133,-0.015269994,nan,0.6398945,0.04950359,0.029306173,0.08582604,0.042222727,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
89244322,89242498,0,nan,nan,0.15844467,-0.02615652,-0.787725,0.046440143,0.0018075481,-1.3912839,0.068001196,-0.029774046,-0.1351119,-0.11668779,-0.00042750384,-0.00024719787,-0.012184761,-0.5925663,0.33226418,-0.093713865,1.4322664,-0.015269994,nan,0.6860327,0.04686669,0.029255962,0.076192856,0.042165153,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
89734950,89734216,0,nan,nan,0.19594683,-0.012045248,-0.81819504,0.046440143,0.0018075481,-1.3912839,0.09422335,-0.018751992,-0.14901775,-0.115578525,-0.00042750384,-0.00024719787,-0.012184761,-0.7705989,0.3370458,0.29091173,1.4529614,-0.015269994,nan,0.7165028,0.045284647,0.029274551,0.070826076,0.04218357,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
