timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
563961705,0,0,1,0,0,0,0,0
564467739,0,0,1,0,0,0,0,0
564969697,0,0,1,0,0,0,0,0
565470124,0,0,1,0,0,0,0,0
565971914,0,0,1,0,0,0,0,0
566475018,0,0,1,0,0,0,0,0
566977030,0,0,1,0,0,0,0,0
567482215,0,0,1,0,0,0,0,0
567987759,0,0,1,0,0,0,0,0
568489701,0,0,1,0,0,0,0,0
568958776,0,0,1,0,0,0,0,0
569469736,0,0,1,0,0,0,0,0
569971981,0,0,1,0,0,0,0,0
570476715,0,0,1,0,0,0,0,0
570978704,0,0,1,0,0,0,0,0
571348890,1,0,1,0,0,0,0,0
571371825,1,0,1,0,0,0,0,0
571874734,1,0,1,0,0,0,0,0
572375747,1,0,1,0,0,0,0,0
572886810,1,0,1,0,0,0,0,0
573389700,1,0,1,0,0,0,0,0
573898871,1,0,1,0,0,0,0,0
574399764,1,0,1,0,0,0,0,0
574907383,1,0,1,0,0,0,0,0
575409838,1,0,1,0,0,0,0,0
575915075,1,0,1,0,0,0,0,0
576416715,1,0,1,0,0,0,0,0
576918697,1,0,1,0,0,0,0,0
577418973,1,0,1,0,0,0,0,0
577926702,1,0,1,0,0,0,0,0
578429702,1,0,1,0,0,0,0,0
578930985,1,0,1,0,0,0,0,0
579441707,1,0,1,0,0,0,0,0
579946577,1,0,1,0,0,0,0,0
580457055,1,0,1,0,0,0,0,0
580967173,1,0,1,0,0,0,0,0
581475871,1,0,1,0,0,0,0,0
581987075,1,0,1,0,0,0,0,0
582491715,1,0,1,0,0,0,0,0
582993701,1,0,1,0,0,0,0,0
583501018,1,0,1,0,0,0,0,0
584002709,1,0,1,0,0,0,0,0
584504119,1,0,1,0,0,0,0,0
585014885,1,0,1,0,0,0,0,0
585517474,1,0,1,0,0,0,0,0
586028894,1,0,1,0,0,0,0,0
586529752,1,0,1,0,0,0,0,0
587039958,1,0,1,0,0,0,0,0
587540861,1,0,1,0,0,0,0,0
588045004,1,0,1,0,0,0,0,0
588555720,1,0,1,0,0,0,0,0
589023287,1,0,1,0,0,0,0,0
589524720,1,0,1,0,0,0,0,0
590001362,1,0,1,0,0,0,0,0
590510781,1,0,1,0,0,0,0,0
591018847,1,0,1,0,0,0,0,0
591519205,1,0,1,0,0,0,0,0
592020812,1,0,1,0,0,0,0,0
592520926,1,0,1,0,0,0,0,0
593024708,1,0,1,0,0,0,0,0
593524834,1,0,1,0,0,0,0,0
594033887,1,0,1,0,0,0,0,0
594056488,0,0,1,0,0,0,0,0
594560033,0,0,1,0,0,0,0,0
595066864,0,0,1,0,0,0,0,0
595571208,0,0,1,0,0,0,0,0
596080091,0,0,1,0,0,0,0,0
596583733,0,0,1,0,0,0,0,0
597087398,0,0,1,0,0,0,0,0
597592478,0,0,1,0,0,0,0,0
598095564,0,0,1,0,0,0,0,0
598598755,0,0,1,0,0,0,0,0
