timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
2090546686,4.980615,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2090557091,4.9725585,3.3112793,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2091046689,4.914551,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2091546946,4.975781,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2092047092,5.0080075,3.3209472,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2092556686,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2093056684,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2093546778,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2094046680,4.9129395,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2094546819,4.9773927,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2095046684,5.004785,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2095546733,4.911328,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2096056682,4.979004,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2096556683,4.964502,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2097046787,4.9967284,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2097546711,4.9822264,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2098046684,5.009619,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2098546901,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2099046684,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2099556858,4.9741697,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2100056740,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2100547006,4.9983397,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2101047363,4.975781,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2101547254,4.9129395,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2102047860,4.9918942,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2102546683,4.9741697,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2103056684,4.9129395,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2103556685,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2104046716,5.004785,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2104546684,4.911328,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2105046685,5.0015626,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2105546683,4.9838376,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2106046941,4.929053,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2106556691,4.9773927,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2107056699,5.004785,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2107546814,4.930664,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2108046685,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2108556684,4.9822264,3.3112793,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2109046736,4.911328,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2109556690,4.993506,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2110057069,5.0063963,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2110556978,4.979004,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2111046819,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2111547024,4.9773927,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2112047688,4.9129395,3.3209472,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2112547695,4.979004,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2113046712,4.993506,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2113556682,4.9354978,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2114056683,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2114546707,4.9773927,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2115046700,4.9773927,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2115546687,4.990283,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2116046687,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2116546690,4.979004,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2117046688,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2117556743,5.003174,3.325781,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2118046817,4.9773927,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2118546716,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2119046684,5.004785,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2119546682,4.9773927,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2120046689,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2120556950,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2121057072,5.004785,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2121546971,4.9081054,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2122047738,5.0015626,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2122547120,4.975781,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2123047565,4.9983397,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2123546751,5.0015626,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2124056683,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2124556683,4.9854493,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2125046860,4.9725585,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2125546727,4.979004,3.3273926,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2126046698,4.9709473,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2126546681,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2127046688,4.9822264,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2127556689,5.004785,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2128056760,5.0080075,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2128546685,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2129046684,4.9129395,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2129546683,4.9773927,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2130046739,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2130546684,4.941943,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2131056918,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2131556850,4.9822264,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2132046799,4.979004,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2132546963,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2133047297,5.0063963,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2133547466,4.9967284,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2134046716,5.004785,3.3128905,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2134556685,4.9838376,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2135056795,4.916162,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2135546713,4.9741697,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2136046724,4.975781,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2136546692,4.9338865,3.319336,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2137046737,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2137546841,4.9822264,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2138057068,4.979004,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2138556732,4.975781,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2139046860,5.0080075,3.3177245,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2139546682,4.9081054,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2140046699,4.980615,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2140546761,4.9773927,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2141056960,5.0063963,3.3161132,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2141556968,4.999951,3.314502,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
