timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
563961695,0,0,1,0,1,0,1,1,0,1,1,1,1,0
564467730,0,0,1,0,1,0,1,1,0,1,1,1,1,0
564969687,0,0,1,0,1,0,1,1,0,1,1,1,1,0
565470114,0,0,1,0,1,0,1,1,0,1,1,1,1,0
565971905,0,0,1,0,1,0,1,1,0,1,1,1,1,0
566475008,0,0,1,0,1,0,1,1,0,1,1,1,1,0
566977021,0,0,1,0,1,0,1,1,0,1,1,1,1,0
567482067,0,0,1,0,1,0,1,1,0,1,1,1,1,0
567987749,0,0,1,0,1,0,1,1,0,1,1,1,1,0
568489692,0,0,1,0,1,0,1,1,0,1,1,1,1,0
568958767,0,0,1,0,1,0,1,1,0,1,1,1,1,0
569469697,0,0,1,0,1,0,1,1,0,1,1,1,1,0
569971974,0,0,1,0,1,0,1,1,0,1,1,1,1,0
570476705,0,0,1,0,1,0,1,1,0,1,1,1,1,0
570978694,0,0,1,0,1,0,1,1,0,1,1,1,1,0
571348881,1,0,1,0,1,0,1,1,0,1,1,1,1,0
571371671,1,0,1,0,0,1,1,1,1,1,1,1,1,0
571874725,1,0,1,0,0,1,1,1,1,1,1,1,1,0
572375732,1,0,1,0,0,1,1,1,1,1,1,1,1,0
572886800,1,0,1,0,0,1,1,1,1,1,1,1,1,0
573389689,1,0,1,0,0,1,1,1,1,1,1,1,1,0
573898860,1,0,1,0,0,1,1,1,1,1,1,1,1,0
574399755,1,0,1,0,0,1,1,1,1,1,1,1,1,0
574907374,1,0,1,0,0,1,1,1,1,1,1,1,1,0
575409829,1,0,1,0,0,1,1,1,1,1,1,1,1,0
575915066,1,0,1,0,0,1,1,1,1,1,1,1,1,0
576416706,1,0,1,0,0,1,1,1,1,1,1,1,1,0
576918688,1,0,1,0,0,1,1,1,1,1,1,1,1,0
577418963,1,0,1,0,0,1,1,1,1,1,1,1,1,0
577926692,1,0,1,0,0,1,1,1,1,1,1,1,1,0
578429692,1,0,1,0,0,1,1,1,1,1,1,1,1,0
578930976,1,0,1,0,0,1,1,1,1,1,1,1,1,0
579441697,1,0,1,0,0,1,1,1,1,1,1,1,1,0
579946571,1,0,1,0,0,1,1,1,1,1,1,1,1,0
580457045,1,0,1,0,0,1,1,1,1,1,1,1,1,0
580967161,1,0,1,0,0,1,1,1,1,1,1,1,1,0
581475867,1,0,1,0,0,1,1,1,1,1,1,1,1,0
581987066,1,0,1,0,0,1,1,1,1,1,1,1,1,0
582491705,1,0,1,0,0,1,1,1,1,1,1,1,1,0
582993692,1,0,1,0,0,1,1,1,1,1,1,1,1,0
583501009,1,0,1,0,0,1,1,1,1,1,1,1,1,0
584002699,1,0,1,0,0,1,1,1,1,1,1,1,1,0
584504111,1,0,1,0,0,1,1,1,1,1,1,1,1,0
585014876,1,0,1,0,0,1,1,1,1,1,1,1,1,0
585517367,1,0,1,0,0,1,1,1,1,1,1,1,1,0
586028884,1,0,1,0,0,1,1,1,1,1,1,1,1,0
586529742,1,0,1,0,0,1,1,1,1,1,1,1,1,0
587039948,1,0,1,0,0,1,1,1,1,1,1,1,1,0
587540851,1,0,1,0,0,1,1,1,1,1,1,1,1,0
588044994,1,0,1,0,0,1,1,1,1,1,1,1,1,0
588555711,1,0,1,0,0,1,1,1,1,1,1,1,1,0
589023279,1,0,1,0,1,0,1,1,0,1,1,1,1,0
589524708,1,0,1,0,1,0,1,1,0,1,1,1,1,0
590001352,1,0,1,0,1,0,1,1,0,1,1,1,1,0
590510774,1,0,1,0,1,0,1,1,0,1,1,1,1,0
591018837,1,0,1,0,1,0,1,1,0,1,1,1,1,0
591519195,1,0,1,0,1,0,1,1,0,1,1,1,1,0
592020802,1,0,1,0,1,0,1,1,0,1,1,1,1,0
592520917,1,0,1,0,1,0,1,1,0,1,1,1,1,0
593024699,1,0,1,0,1,0,1,1,0,1,1,1,1,0
593524825,1,0,1,0,1,0,1,1,0,1,1,1,1,0
594033878,1,0,1,0,1,0,1,1,0,1,1,1,1,0
594056479,0,0,1,0,1,0,1,1,0,1,1,1,1,0
594560026,0,0,1,0,1,0,1,1,0,1,1,1,1,0
595066855,0,0,1,0,1,0,1,1,0,1,1,1,1,0
595571198,0,0,1,0,1,0,1,1,0,1,1,1,1,0
596080084,0,0,1,0,1,0,1,1,0,1,1,1,1,0
596583723,0,0,1,0,1,0,1,1,0,1,1,1,1,0
597087389,0,0,1,0,1,0,1,1,0,1,1,1,1,0
597592465,0,0,1,0,1,0,1,1,0,1,1,1,1,0
598095554,0,0,1,0,1,0,1,1,0,1,1,1,1,0
598598745,0,0,1,0,1,0,1,1,0,1,1,1,1,0
