timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
2093353426,2093352598,9.2960206e-10,4.782993e-05,0.003253897,8.699245e-05,0.0011074141,0.0008050012,20499,0,0.045135967,0.030182198,0.002035306,nan,0.0055747423,0.0004675524,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2093551653,2093551230,8.6663277e-10,4.4541597e-05,0.0032146613,0.0001383269,0.0016357866,0.0014881082,20499,0,0.044633016,0.029877692,0.08117601,nan,0.0058312826,0.00014508932,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2093754381,2093754026,9.7616e-10,4.827697e-05,0.00350014,0.00012869806,0.0019957372,0.002032139,20499,0,0.044285405,0.0296641,0.011750201,nan,0.006252159,2.4867903e-05,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2093953953,2093952681,9.486055e-10,4.7227386e-05,0.004030056,0.00012407395,0.0023151394,0.0024496636,20499,0,0.0439309,0.029443689,0.023892853,nan,0.0069145877,0.00026154864,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2094151874,2094150993,1.0970578e-09,5.0307706e-05,0.0039381483,0.00013262911,0.0026241099,0.0028046935,20499,0,0.04347216,0.02916657,0.0056351162,nan,0.0074171443,0.00054458866,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2094354668,2094354119,1.0832514e-09,4.9525217e-05,0.0037218572,0.00011256002,0.002290663,0.0025870104,20499,0,0.0451671,0.0301894,0.05104053,nan,0.007090887,0.0007602078,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2094553782,2094552470,1.1631377e-09,5.0233637e-05,0.0035985159,0.00023075499,0.0021182075,0.0024780682,20499,0,0.04478361,0.029956283,0.014275704,nan,0.0056493958,0.0007846279,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2094746951,2094746442,1.165674e-09,5.1605402e-05,0.0035684602,0.00014029615,0.0015967265,0.0019060549,20499,0,0.043827526,0.029377094,0.016673686,nan,0.002150821,0.00075503904,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2094954609,2094953996,1.1666079e-09,5.131807e-05,0.003490888,7.557357e-05,0.0015352461,0.0016872198,20499,0,0.043919127,0.029433468,0.010141407,nan,0.0025261783,0.00081127073,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2095153067,2095147937,1.2474805e-09,5.211846e-05,0.0036920109,0.0001166593,0.0023659002,0.0024444326,20499,0,0.043064747,0.028918505,0.0037096085,nan,0.0049413745,0.0005462441,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2095356051,2095355426,1.1278244e-09,5.1077826e-05,0.0036755058,0.0001253798,0.0027080507,0.002974958,20499,0,0.0453591,0.030289045,0.02368518,nan,0.0059505445,0.0002798126,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2095554777,2095553911,1.0834e-09,5.010079e-05,0.0036272823,0.0006525737,0.0029743582,0.0034325514,20499,0,0.044905428,0.030022029,0.06584817,nan,0.005462989,8.548725e-05,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2095754829,2095752393,9.843223e-10,4.8721973e-05,0.0035694821,0.000620482,0.0027628222,0.0033215699,20499,0,0.04407014,0.029518494,0.09601901,nan,0.0036730412,0.0006508242,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2095946803,2095946413,9.282815e-10,4.8367972e-05,0.0033048727,0.00013704566,0.0019899847,0.00261443,20499,0,0.046073455,0.03073396,0.01635683,nan,0.0020509544,0.00097283215,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2096149807,2096149409,1.0199525e-09,5.0314324e-05,0.0032994384,6.083335e-05,0.001322878,0.0018541678,20499,0,0.045127545,0.0301966,0.026262738,nan,0.00091971003,0.0012744688,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2096353111,2096352581,9.63472e-10,4.884769e-05,0.0033805093,0.000106115214,0.00061228906,0.0009998208,20499,0,0.044425357,0.02978524,0.0076627852,nan,0.001883797,0.0014783002,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2096547212,2096546437,9.500544e-10,4.7143552e-05,0.0037651677,0.00020363313,0.0006683697,0.0005789752,20499,0,0.043471605,0.02919875,0.10208629,nan,0.003280077,0.0016004771,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2096755853,2096754030,9.428086e-10,4.8642778e-05,0.0038663023,0.0001874338,0.0010434154,0.0009563046,20499,0,0.0435206,0.029213207,0.005949392,nan,0.0037865413,0.0013843274,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2096952893,2096952315,9.216557e-10,4.648168e-05,0.0036648398,0.00013348431,0.0011496176,0.0011967783,20499,0,0.045189615,0.030213218,0.007843597,nan,0.0045128246,0.0010774416,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2097155856,2097155468,9.523752e-10,4.7351103e-05,0.003572155,0.00010059297,0.0014093835,0.0015484551,20499,0,0.044796817,0.029965699,0.020249672,nan,0.005237238,0.0005154067,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2097345375,2097344826,1.0005051e-09,4.7453177e-05,0.003318718,0.00027701692,0.0016931864,0.0018712544,20499,0,0.043872576,0.029405095,0.01114181,nan,0.005547393,2.024438e-05,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2097548487,2097547812,1.0291794e-09,4.750182e-05,0.0035879088,0.000107112675,0.0017542125,0.001975511,20499,0,0.043860137,0.029405037,0.02800287,nan,0.0058950125,0.0004339368,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2097756224,2097755270,1.0464983e-09,4.8371345e-05,0.004225018,0.00010473442,0.0017414007,0.0019928615,20499,0,0.04336513,0.029114949,0.018515352,nan,0.0052963644,0.0010080138,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2097954304,2097949243,9.583707e-10,4.5363937e-05,0.004748914,0.00012608933,0.001006281,0.001335091,20499,0,0.044649683,0.029879484,0.031925518,nan,0.0015137069,0.0015810434,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2098157391,2098156802,9.964948e-10,4.6468907e-05,0.0046958313,6.5428285e-05,0.0005720338,0.00060615793,20499,0,0.044764217,0.029941946,0.035871983,nan,0.002195017,0.0016264259,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2098351221,2098350720,9.833292e-10,4.5766046e-05,0.004957379,7.2545605e-05,0.0016459508,0.0014922096,20499,0,0.043856278,0.029394083,0.0145473685,nan,0.0052989516,0.0014656616,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2098546757,2098544959,9.475107e-10,4.5132336e-05,0.004644511,0.00019315664,0.0027001074,0.002690986,20499,0,0.043507583,0.02918053,0.011737372,nan,0.00739548,0.00142341,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2098753094,2098752197,9.547522e-10,4.589763e-05,0.0040267594,0.00024369158,0.0031748852,0.0033978187,20499,0,0.043616243,0.02924483,0.014127425,nan,0.0073553235,0.0016085348,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2098946734,2098946341,9.314015e-10,4.7382866e-05,0.0039094593,0.0002852524,0.0029617967,0.0033383502,20499,0,0.044703476,0.029907443,0.0067321765,nan,0.006022223,0.0015327163,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
2099149563,2099149210,9.019194e-10,4.624738e-05,0.0038093936,0.00027353538,0.0024465907,0.0029901122,20499,0,0.044767767,0.02995075,0.02672242,nan,0.0043474734,0.0016900419,0.0,0.0,0.0,0.004508,4259850,4325386,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
