timestamp,main_state_changes,main_state
280131270,3,11
280640555,3,11
281143721,3,11
281646077,3,11
282150388,3,11
282653739,3,11
283157785,3,11
283665290,3,11
284166753,3,11
284669708,3,11
285173778,3,11
285678788,3,11
286182141,3,11
286688322,3,11
287191651,3,11
287519728,3,11
288026320,3,11
288530064,3,11
289034729,3,11
289540957,3,11
289914365,3,11
289935793,4,7
290436839,4,7
290938790,4,7
291443328,4,7
291952963,4,7
292462857,4,7
292963732,4,7
293466709,4,7
293968938,4,7
294475213,4,7
294978720,4,7
295479731,4,7
295989702,4,7
296489738,4,7
296998903,4,7
297501808,4,7
298012708,4,7
298522804,4,7
299031236,4,7
299536732,4,7
300040851,4,7
300548287,4,7
301057758,4,7
301566873,4,7
302071907,4,7
302581704,4,7
303081740,4,7
303590052,4,7
304099732,4,7
304600479,4,7
305101764,4,7
305610846,4,7
306121185,4,7
306621344,4,7
307131780,4,7
307634842,4,7
308137218,4,7
308638006,4,7
309138825,4,7
309648965,4,7
310158739,4,7
310659831,4,7
311169796,4,7
311679828,4,7
312179888,4,7
312685837,4,7
313195732,4,7
313698618,4,7
314208838,4,7
314712357,4,7
315213164,4,7
315715808,4,7
316224711,4,7
316732123,4,7
317242740,4,7
317744006,4,7
318246709,4,7
318754028,4,7
319261743,4,7
319765702,4,7
320267193,4,7
320770222,4,7
321270341,4,7
321772966,4,7
322277010,4,7
322778839,4,7
323290781,4,7
323591267,5,11
324091751,5,11
324559731,5,11
325071815,5,11
325575715,5,11
326078120,5,11
326588988,5,11
327093062,5,11
327596626,5,11
328103847,5,11
328606703,5,11
328618023,5,11
329119734,5,11
329622737,5,11
330126023,5,11
330632323,5,11
331144071,5,11
331649829,5,11
332151810,5,11
332655927,5,11
333157746,5,11
