timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
280240455,280240400,4259850,0.6512229,0.10215261,-9.870496,35.5,0,0,0,0,3
280241913,280241858,4259850,0.7022992,0.089383535,-9.844957,35.5,0,0,0,0,3
281243577,281243523,4259850,0.7278373,0.038307227,-9.81942,35.5,0,0,0,0,3
282239892,282239834,4259850,0.6384538,0.0,-9.81942,35.5,0,0,0,0,3
283240589,283240534,4259850,0.6384538,0.051076304,-9.81942,35.5,0,0,0,0,3
284242725,284242671,4259850,0.67676103,0.012769076,-9.883265,35.5,0,0,0,0,3
285240502,285240449,4259850,0.7022992,0.051076304,-9.857727,35.5,0,0,0,0,3
286241239,286241189,4259850,0.7406064,0.10215261,-9.844957,35.5,0,0,0,0,3
287242391,287242333,4259850,0.6639919,0.051076304,-9.857727,35.5,0,0,0,0,3
288242990,288242936,4259850,0.7278373,0.0,-9.857727,35.5,0,0,0,0,3
289240263,289240203,4259850,0.68953013,0.076614454,-9.883265,35.5,0,0,0,0,3
290242376,290242321,4259850,0.81722087,0.12769076,-9.359733,35.5,0,0,0,0,3
291242981,291242928,4259850,0.98321885,0.7150683,-10.381259,35.5,0,0,0,0,3
292243592,292243538,4259850,0.7916827,-0.3192269,-9.500193,35.5,0,0,0,0,3
293241278,293241224,4259850,0.7789136,2.502739,-10.08757,35.5,0,0,0,0,3
294241942,294241885,4259850,1.1875241,-0.21707429,-10.113109,35.5,0,0,0,0,3
295242729,295242669,4259850,1.1364478,-0.17876707,-9.66619,35.5,0,0,0,0,3
296239761,296239707,4259850,0.12769076,-1.4301366,-8.3765135,35.5,0,0,0,0,3
297241970,297241917,4259850,-0.10215261,-0.19153614,-10.777101,35.5,0,0,0,0,3
298242331,298242275,4259850,2.1324358,0.0,-9.155428,35.5,0,0,0,0,3
299243402,299243346,4259850,1.4429055,-0.4852249,-10.010956,35.5,0,0,0,0,3
300241030,300240977,4259850,0.5363012,0.28091967,-9.066044,35.5,0,0,0,0,3
301241737,301241677,4259850,0.076614454,-0.025538152,-9.2703495,35.5,0,0,0,0,3
302242224,302242173,4259850,2.3112028,1.0342952,-9.551269,36.0,0,0,0,0,3
303239961,303239907,4259850,0.67676103,0.88106626,-10.317413,35.5,0,0,0,0,3
304241583,304241532,4259850,-0.6639919,1.1236787,-10.074801,35.5,0,0,0,0,3
305242167,305242105,4259850,0.8938353,-0.9449116,-9.027737,35.5,0,0,0,0,3
306242977,306242921,4259850,1.5322891,-0.61291564,-10.08757,35.5,0,0,0,0,3
307240893,307240843,4259850,0.5490703,0.3703032,-9.066044,36.0,0,0,0,0,3
308241484,308241428,4259850,0.99598795,0.5363012,-9.998186,35.5,0,0,0,0,3
309242058,309242005,4259850,0.45968673,0.17876707,-9.985417,36.0,0,0,0,0,3
310239609,310239554,4259850,0.61291564,-0.91937345,-9.870496,36.0,0,0,0,0,3
311241787,311241735,4259850,0.56183934,0.51076305,-10.062032,35.5,0,0,0,0,3
312241536,312241480,4259850,1.506751,-0.012769076,-10.240799,35.5,0,0,0,0,3
313243525,313243473,4259850,1.3279839,-0.43414858,-9.359733,35.5,0,0,0,0,3
314241253,314241200,4259850,0.67676103,0.67676103,-10.866484,35.5,0,0,0,0,3
315241753,315241699,4259850,1.6599799,-0.39584136,-8.976661,35.5,0,0,0,0,3
316242329,316242271,4259850,0.8938353,-0.25538152,-9.998186,35.5,0,0,0,0,3
317240002,317239947,4259850,0.14045984,-0.3830723,-9.67896,35.5,0,0,0,0,3
318241079,318241018,4259850,0.57460845,0.7661446,-9.896034,35.5,0,0,0,0,3
319241669,319241612,4259850,0.99598795,-0.16599798,-10.674948,35.5,0,0,0,0,3
320243289,320243235,4259850,1.2896767,1.7876706,-10.381259,35.5,0,0,0,0,3
321241004,321240950,4259850,-0.21707429,0.45968673,-10.483412,35.5,0,0,0,0,3
322241651,322241594,4259850,1.2641386,-0.15322891,-9.040505,35.5,0,0,0,0,3
323241009,323240956,4259850,1.0598333,0.34476507,-10.764331,35.5,0,0,0,0,3
324240080,324240029,4259850,1.5322891,-2.6559677,-8.491436,35.5,0,0,0,0,3
325242007,325241951,4259850,0.5490703,1.2641386,-10.049263,35.5,0,0,0,0,3
326242555,326242498,4259850,-0.33199596,-0.2681506,-9.985417,35.5,0,0,0,0,3
327243268,327243216,4259850,0.7916827,-0.40861043,-10.253568,35.5,0,0,0,0,3
328241698,328241641,4259850,0.5363012,-0.076614454,-9.525731,35.5,0,0,0,0,3
329242514,329242462,4259850,0.7278373,0.012769076,-9.768343,35.5,0,0,0,0,3
330241932,330241877,4259850,0.62568474,0.038307227,-9.832189,35.5,0,0,0,0,3
331239618,331239559,4259850,0.6384538,0.076614454,-9.80665,35.5,0,0,0,0,3
332241693,332241635,4259850,0.68953013,0.076614454,-9.832189,35.5,0,0,0,0,3
333242271,333242217,4259850,0.6512229,0.076614454,-9.883265,35.5,0,0,0,0,3
