timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
438349198,438348851,-0.2829125,-0.3168476,-9.800327
438354167,438353855,-0.27132815,-0.31095314,-9.798575
438399192,438398904,-0.2786305,-0.33850768,-9.804977
438449171,438448879,-0.27950424,-0.31157616,-9.806583
438499195,438498897,-0.26867157,-0.32434544,-9.795923
438549241,438548947,-0.28610405,-0.3069484,-9.797891
438599229,438598925,-0.28598195,-0.3200224,-9.802523
438649280,438648938,-0.27694392,-0.30579826,-9.791649
438699298,438698953,-0.2792541,-0.31992918,-9.799542
438749258,438748968,-0.27651474,-0.32309863,-9.804949
438799278,438798987,-0.26782876,-0.32442203,-9.803059
438849292,438848998,-0.25627258,-0.31935996,-9.795274
438899376,438899014,-0.271423,-0.29833204,-9.793423
438949334,438949029,-0.26885962,-0.32647645,-9.793793
438999334,438999042,-0.27607137,-0.32547957,-9.810178
439049432,439049060,-0.27178228,-0.31036133,-9.7975445
439099418,439099072,-0.27217558,-0.31467354,-9.808403
439149391,439149092,-0.27445626,-0.3079167,-9.79219
439199445,439199101,-0.2707595,-0.3295539,-9.802191
439249401,439249116,-0.28023714,-0.30483165,-9.791145
439299506,439299177,-0.25871295,-0.31294775,-9.794797
439349474,439349144,-0.28413203,-0.30566627,-9.779597
439399446,439399160,-0.27483472,-0.32309186,-9.794863
439449493,439449174,-0.27192727,-0.31519803,-9.8102
439499527,439499234,-0.2809956,-0.31014,-9.795186
439549489,439549204,-0.26340076,-0.30970597,-9.797787
439599506,439599219,-0.28459385,-0.30707094,-9.799722
439649576,439649234,-0.27152398,-0.3005294,-9.781206
439699537,439699251,-0.28221595,-0.31231165,-9.796545
439749591,439749263,-0.26659626,-0.30699506,-9.783316
439799567,439799279,-0.26485458,-0.32008305,-9.783175
439849649,439849294,-0.2789787,-0.3120189,-9.803726
439899597,439899314,-0.26764718,-0.3134407,-9.7999115
439949618,439949323,-0.28210515,-0.31380954,-9.782927
439999663,439999340,-0.28380844,-0.31192333,-9.792652
440049700,440049399,-0.27591476,-0.31353506,-9.798745
440099663,440099367,-0.27669483,-0.30488423,-9.7906065
440149729,440149382,-0.26805416,-0.31018916,-9.796412
440199757,440199397,-0.27678648,-0.32975227,-9.799877
440249719,440249419,-0.28365543,-0.3132672,-9.794848
440299719,440299427,-0.26836875,-0.30338153,-9.800345
440349747,440349442,-0.28265464,-0.31321794,-9.792301
440399813,440399456,-0.28134277,-0.3093282,-9.8037615
440449758,440449471,-0.28355783,-0.30397755,-9.798738
440499775,440499486,-0.2829213,-0.31204104,-9.80384
440549791,440549501,-0.27747038,-0.32440004,-9.785528
440599895,440599566,-0.27412686,-0.3091217,-9.800651
440649820,440649530,-0.27248505,-0.31128213,-9.795922
440699834,440699546,-0.26435184,-0.3121734,-9.799789
440749844,440749560,-0.2690085,-0.30355543,-9.801072
440799907,440799575,-0.2761103,-0.31370974,-9.786864
440849921,440849590,-0.2727078,-0.31529838,-9.802499
440899902,440899611,-0.2775129,-0.32330897,-9.787272
440949917,440949622,-0.284837,-0.31108636,-9.790034
440999933,440999648,-0.2776933,-0.30208737,-9.820584
441049948,441049652,-0.28133202,-0.30572715,-9.799896
441100003,441099666,-0.27014428,-0.30120566,-9.807661
441150012,441149679,-0.27500927,-0.31122285,-9.806762
441199989,441199699,-0.27459604,-0.30760607,-9.795098
441250037,441249710,-0.27514672,-0.31207135,-9.800339
441300014,441299725,-0.25719672,-0.30981064,-9.79825
441350077,441349740,-0.26159573,-0.3318552,-9.781613
441400049,441399756,-0.2745664,-0.30459723,-9.797268
441450061,441449770,-0.27623814,-0.31516063,-9.794159
441500116,441499784,-0.27293965,-0.31181377,-9.805165
