timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
110384572,inf,0,1,1,1,0,0,1,0,0,1
111384899,inf,0,1,1,1,0,0,1,0,0,1
112385396,inf,0,1,1,1,0,0,1,0,0,1
113385646,inf,0,1,1,1,0,0,1,0,0,1
114385982,inf,0,1,1,1,0,0,1,0,0,1
115386467,inf,0,1,1,1,0,0,1,0,0,1
116386761,inf,0,1,1,1,0,0,1,0,0,1
117387060,inf,0,1,1,1,0,0,1,0,0,1
118387499,inf,0,1,1,1,0,0,1,0,0,1
119388046,inf,0,1,1,1,0,0,1,0,0,1
120388388,inf,0,1,1,1,0,0,1,0,0,1
121388836,inf,0,1,1,1,0,0,1,0,0,1
122389193,inf,0,1,1,1,0,0,1,0,0,1
123389532,inf,0,1,1,1,0,0,1,0,0,1
124390026,inf,0,1,1,1,0,0,1,0,0,1
125390365,inf,0,1,1,1,0,0,1,0,0,1
126390829,inf,0,1,1,1,0,0,1,0,0,1
127391133,inf,0,1,1,1,0,0,1,0,0,1
128391633,inf,0,1,1,1,0,0,1,0,0,1
129392008,inf,0,1,1,1,0,0,1,0,0,1
130392393,inf,0,1,1,1,0,0,1,0,0,1
131392898,inf,0,1,1,1,0,0,1,0,0,1
132393239,inf,0,1,1,1,0,0,1,0,0,1
133393748,inf,0,1,1,1,0,0,1,0,0,1
134394137,inf,0,1,1,1,0,0,1,0,0,1
135394518,inf,0,1,1,1,0,0,1,0,0,1
136394748,inf,0,1,1,1,0,0,1,0,0,1
137395128,inf,0,1,1,1,0,0,1,0,0,1
138395693,inf,0,1,1,1,0,0,1,0,0,1
139295725,inf,0,1,1,1,1,0,1,0,0,1
140296034,inf,0,1,1,1,1,0,1,0,0,1
141296492,inf,0,1,1,1,1,0,1,0,0,1
141797072,inf,0,1,1,1,0,0,1,0,0,1
141806876,inf,0,1,1,1,1,0,1,0,0,1
142616972,inf,0,1,0,0,1,0,1,0,0,1
142627186,inf,0,0,0,0,1,0,1,0,0,1
143627559,inf,0,0,0,0,1,0,0,0,0,1
144627921,inf,0,0,0,0,1,0,0,0,0,1
145628347,inf,0,0,0,0,1,0,0,0,0,1
146628570,inf,0,0,0,0,1,0,0,0,0,1
147619141,inf,0,0,0,0,0,0,0,0,0,1
148619403,inf,0,0,0,0,0,0,0,0,0,1
149619873,inf,0,0,0,0,0,0,0,0,0,1
150620270,inf,0,0,0,0,0,0,0,0,0,1
151620663,inf,0,0,0,0,0,0,0,0,0,1
152620989,inf,0,0,0,0,0,0,0,0,0,1
153621399,inf,0,0,0,0,0,0,0,0,0,1
154621667,inf,0,0,0,0,0,0,0,0,0,1
155622157,inf,0,0,0,0,0,0,0,0,0,1
156622634,inf,0,0,0,0,0,0,0,0,0,1
157622836,inf,0,0,0,0,0,0,0,0,0,1
158623400,inf,0,0,0,0,0,0,0,0,0,1
159623841,inf,0,0,0,0,0,0,0,0,0,1
160624198,inf,0,0,0,0,0,0,0,0,0,1
161624681,inf,0,0,0,0,0,0,0,0,0,1
162625065,inf,0,0,0,0,0,0,0,0,0,1
163625398,inf,0,0,0,0,0,0,0,0,0,1
164625728,inf,0,0,0,0,0,0,0,0,0,1
165626089,inf,0,0,0,0,0,0,0,0,0,1
166626422,inf,0,0,0,0,0,0,0,0,0,1
167626827,inf,0,0,0,0,0,0,0,0,0,1
168627169,inf,0,0,0,0,0,0,0,0,0,1
169627564,inf,0,0,0,0,0,0,0,0,0,1
170628136,inf,0,0,0,0,0,0,0,0,0,1
171628573,inf,0,0,0,0,0,0,0,1,0,1
171788644,inf,0,0,0,0,1,1,0,1,0,1
172788915,inf,0,0,0,0,1,1,0,1,0,1
173789267,inf,0,0,0,0,1,1,1,0,0,1
173879185,inf,0,1,0,0,1,1,1,0,0,1
174239599,inf,0,1,1,0,1,1,1,0,0,1
174579774,inf,0,1,1,1,1,1,1,0,0,1
175580072,inf,0,1,1,1,1,1,1,0,0,1
176170321,inf,0,1,1,1,0,0,1,0,0,1
176370275,inf,0,1,1,1,1,1,1,0,0,1
176390170,inf,0,1,1,1,0,0,1,0,0,1
176730340,inf,0,1,1,1,1,1,1,0,0,1
176750371,inf,0,1,1,1,0,0,1,0,0,1
176970588,inf,0,1,1,1,1,1,1,0,0,1
177010497,inf,0,1,1,1,0,0,1,0,0,1
177390538,inf,0,1,1,1,1,1,1,0,0,1
177490964,inf,0,1,1,1,0,0,1,0,0,1
177531038,inf,0,1,1,1,1,1,1,0,0,1
177590623,inf,0,1,1,1,0,0,1,0,0,1
177630709,inf,0,1,1,1,1,1,1,0,0,1
177670709,inf,0,1,1,1,0,0,1,0,0,1
177750895,inf,0,1,1,1,1,1,1,0,0,1
177830884,inf,0,1,1,1,0,0,1,0,0,1
177870935,inf,0,1,1,1,1,1,1,0,0,1
177950980,inf,0,1,1,1,0,0,1,0,0,1
177991072,inf,0,1,1,1,1,1,1,0,0,1
178050794,inf,0,1,1,1,0,0,1,0,0,1
178111270,inf,0,1,1,1,1,1,1,0,0,1
178170979,inf,0,1,1,1,0,0,1,0,0,1
178210908,inf,0,1,1,1,1,1,1,0,0,1
178290839,inf,0,1,1,1,0,0,1,0,0,1
178351005,inf,0,1,1,1,1,1,1,0,0,1
178411338,inf,0,1,1,1,0,0,1,0,0,1
178451398,inf,0,1,1,1,1,1,1,0,0,1
178511186,inf,0,1,1,1,0,0,1,0,0,1
178550989,inf,0,1,1,1,1,1,1,0,0,1
178630993,inf,0,1,1,1,0,0,1,0,0,1
178671110,inf,0,1,1,1,1,1,1,0,0,1
178751176,inf,0,1,1,1,0,0,1,0,0,1
178811282,inf,0,1,1,1,1,1,1,0,0,1
179111596,inf,0,1,1,1,0,0,1,0,0,1
179151492,inf,0,1,1,1,1,1,1,0,0,1
179311325,inf,0,1,1,1,0,0,1,0,0,1
179351494,inf,0,1,1,1,1,1,1,0,0,1
179551536,inf,0,1,1,1,0,0,1,0,0,1
179691645,inf,0,1,1,1,1,1,1,0,0,1
179791539,inf,0,1,1,1,0,0,1,0,0,1
179831586,inf,0,1,1,1,1,1,1,0,0,1
179891670,inf,0,1,1,1,0,0,1,0,0,1
179931577,inf,0,1,1,1,1,1,1,0,0,1
180032013,inf,0,1,1,1,0,0,1,0,0,1
180091788,inf,0,1,1,1,1,1,1,0,0,1
180372044,inf,0,1,1,1,0,0,1,0,0,1
180412155,inf,0,1,1,1,1,1,1,0,0,1
180831885,inf,0,1,1,1,0,0,1,0,0,1
180871949,inf,0,1,1,1,1,1,1,0,0,1
