timestamp,safety_switch_available,safety_off,override_available,override_enabled
2089883888,1,1,0,0
2090889326,1,1,0,0
2091896004,1,1,0,0
2092911795,1,1,0,0
2093924057,1,1,0,0
2094932669,1,1,0,0
2095936813,1,1,0,0
2096953489,1,1,0,0
2097957744,1,1,0,0
2098977057,1,1,0,0
2099987511,1,1,0,0
2101005498,1,1,0,0
2102013402,1,1,0,0
2103023878,1,1,0,0
2104041917,1,1,0,0
2105055025,1,1,0,0
2106070423,1,1,0,0
2107083436,1,1,0,0
2108085760,1,1,0,0
2109107054,1,1,0,0
2110114794,1,1,0,0
2111117914,1,1,0,0
2112128459,1,1,0,0
2113132852,1,1,0,0
2114133316,1,1,0,0
2115133829,1,1,0,0
2116137743,1,1,0,0
2117147052,1,1,0,0
2118150373,1,1,0,0
2119156801,1,1,0,0
2120158396,1,1,0,0
2121173071,1,1,0,0
2122185646,1,1,0,0
2123203578,1,1,0,0
2124211588,1,1,0,0
2125219572,1,1,0,0
2126239152,1,1,0,0
2127256782,1,1,0,0
2128267390,1,1,0,0
2129280572,1,1,0,0
2130294458,1,1,0,0
2131302494,1,1,0,0
2132305760,1,1,0,0
2133316048,1,1,0,0
2134330193,1,1,0,0
2135349407,1,1,0,0
2136351100,1,1,0,0
2137352793,1,1,0,0
2138353428,1,1,0,0
2139363807,1,1,0,0
2140374280,1,1,0,0
2141384752,1,1,0,0
2142392800,1,1,0,0
2143392961,1,1,0,0
2144401156,1,1,0,0
2145418146,1,1,0,0
2146418639,1,1,0,0
2147435096,1,1,0,0
2148446934,1,1,0,0
2149453565,1,1,0,0
2150459045,1,1,0,0
2151467044,1,1,0,0
2152478724,1,1,0,0
2153489714,1,1,0,0
2154501029,1,1,0,0
2155519430,1,1,0,0
2156525659,1,1,0,0
2157528912,1,1,0,0
2158536611,1,1,0,0
2159539857,1,1,0,0
2160546286,1,1,0,0
2161556252,1,1,0,0
2162567103,1,1,0,0
2163568389,1,1,0,0
2164578526,1,1,0,0
2165594933,1,1,0,0
2166613196,1,1,0,0
2167627128,1,1,0,0
2168637565,1,1,0,0
2169652051,1,1,0,0
2170666100,1,1,0,0
2171677779,1,1,0,0
2172679455,1,1,0,0
2173688789,1,1,0,0
2174694150,1,1,0,0
2175704605,1,1,0,0
2176708824,1,1,0,0
2177711761,1,1,0,0
2178712308,1,1,0,0
2179732709,1,1,0,0
2180735987,1,1,0,0
