timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
111364443,0.0,-0.0,2.1933606,0.0,0.45655218,0.0,0.0,0.88969666,0.0,0.0,-0.0,0,0,0,0,0
111369456,0.0,-0.0,2.193349,0.0,0.45655736,0.0,0.0,0.889694,0.0,0.0,-0.0,0,0,0,0,0
111414473,0.0,-0.0,2.1932817,0.0,0.45658728,0.0,0.0,0.8896786,0.0,0.0,-0.0,0,0,0,0,0
111464433,0.0,-0.0,2.193231,0.0,0.45660976,0.0,0.0,0.8896671,0.0,0.0,-0.0,0,0,0,0,0
111514544,0.0,-0.0,2.1931462,0.0,0.45664752,0.0,0.0,0.8896477,0.0,0.0,-0.0,0,0,0,0,0
111564578,0.0,-0.0,2.1931214,0.0,0.45665854,0.0,0.0,0.88964206,0.0,0.0,-0.0,0,0,0,0,0
111619559,0.0,-0.0,2.1930623,0.0,0.45668486,0.0,0.0,0.8896285,0.0,0.0,-0.0,0,0,0,0,0
111664576,0.0,-0.0,2.192979,0.0,0.45672187,0.0,0.0,0.8896095,0.0,0.0,-0.0,0,0,0,0,0
111714607,0.0,-0.0,2.1929193,0.0,0.4567485,0.0,0.0,0.88959587,0.0,0.0,-0.0,0,0,0,0,0
111764593,0.0,-0.0,2.1928477,0.0,0.45678028,0.0,0.0,0.88957953,0.0,0.0,-0.0,0,0,0,0,0
111814592,0.0,-0.0,2.1927888,0.0,0.45680648,0.0,0.0,0.88956606,0.0,0.0,-0.0,0,0,0,0,0
111864615,0.0,-0.0,2.1927428,0.0,0.45682696,0.0,0.0,0.8895556,0.0,0.0,-0.0,0,0,0,0,0
111914717,0.0,-0.0,2.192682,0.0,0.456854,0.0,0.0,0.8895417,0.0,0.0,-0.0,0,0,0,0,0
111969716,0.0,-0.0,2.1926491,0.0,0.45686862,0.0,0.0,0.8895342,0.0,0.0,-0.0,0,0,0,0,0
112014766,0.0,-0.0,2.1925855,0.0,0.45689693,0.0,0.0,0.88951963,0.0,0.0,-0.0,0,0,0,0,0
112064753,0.0,-0.0,2.1925442,0.0,0.4569153,0.0,0.0,0.8895102,0.0,0.0,-0.0,0,0,0,0,0
112114772,0.0,-0.0,2.1924646,0.0,0.4569507,0.0,0.0,0.88949203,0.0,0.0,-0.0,0,0,0,0,0
112164795,0.0,-0.0,2.1924057,0.0,0.4569769,0.0,0.0,0.88947856,0.0,0.0,-0.0,0,0,0,0,0
112214811,0.0,-0.0,2.192349,0.0,0.45700213,0.0,0.0,0.88946563,0.0,0.0,-0.0,0,0,0,0,0
112264908,0.0,-0.0,2.1922908,0.0,0.457028,0.0,0.0,0.8894523,0.0,0.0,-0.0,0,0,0,0,0
112319808,0.0,-0.0,2.1922216,0.0,0.45705876,0.0,0.0,0.8894365,0.0,0.0,-0.0,0,0,0,0,0
112364823,0.0,-0.0,2.1921837,0.0,0.4570756,0.0,0.0,0.88942784,0.0,0.0,-0.0,0,0,0,0,0
112414796,0.0,-0.0,2.192143,0.0,0.45709375,0.0,0.0,0.88941854,0.0,0.0,-0.0,0,0,0,0,0
112464869,0.0,-0.0,2.1921117,0.0,0.45710763,0.0,0.0,0.8894114,0.0,0.0,-0.0,0,0,0,0,0
112514873,0.0,-0.0,2.1920671,0.0,0.45712745,0.0,0.0,0.8894012,0.0,0.0,-0.0,0,0,0,0,0
112564849,0.0,-0.0,2.1920142,0.0,0.457151,0.0,0.0,0.8893891,0.0,0.0,-0.0,0,0,0,0,0
112614939,0.0,-0.0,2.1919787,0.0,0.4571668,0.0,0.0,0.889381,0.0,0.0,-0.0,0,0,0,0,0
112664980,0.0,-0.0,2.1919188,0.0,0.4571934,0.0,0.0,0.8893673,0.0,0.0,-0.0,0,0,0,0,0
112714908,0.0,-0.0,2.191845,0.0,0.45722628,0.0,0.0,0.8893504,0.0,0.0,-0.0,0,0,0,0,0
112764988,0.0,-0.0,2.1917622,0.0,0.45726305,0.0,0.0,0.8893315,0.0,0.0,-0.0,0,0,0,0,0
112814944,0.0,-0.0,2.1916747,0.0,0.45730197,0.0,0.0,0.8893115,0.0,0.0,-0.0,0,0,0,0,0
112864998,0.0,-0.0,2.191636,0.0,0.45731914,0.0,0.0,0.8893027,0.0,0.0,-0.0,0,0,0,0,0
112915010,0.0,-0.0,2.1915765,0.0,0.45734563,0.0,0.0,0.889289,0.0,0.0,-0.0,0,0,0,0,0
112964999,0.0,-0.0,2.191512,0.0,0.45737427,0.0,0.0,0.8892743,0.0,0.0,-0.0,0,0,0,0,0
113015130,0.0,-0.0,2.1914442,0.0,0.45740446,0.0,0.0,0.88925874,0.0,0.0,-0.0,0,0,0,0,0
113065091,0.0,-0.0,2.191395,0.0,0.4574263,0.0,0.0,0.88924754,0.0,0.0,-0.0,0,0,0,0,0
113115117,0.0,-0.0,2.1913576,0.0,0.45744294,0.0,0.0,0.88923895,0.0,0.0,-0.0,0,0,0,0,0
113165082,0.0,-0.0,2.1913095,0.0,0.45746437,0.0,0.0,0.8892279,0.0,0.0,-0.0,0,0,0,0,0
