timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
2090347739,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2090854719,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2091355332,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2091865681,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2092370892,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2092880709,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2093380742,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2093882161,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2094384708,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2094885905,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2095396919,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2095899952,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2096400675,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2096910710,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2097411693,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2097918672,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2098420707,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2098924680,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2099424773,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2099926514,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2100433710,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2100939676,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2101443685,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2101948016,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2102448685,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2102951685,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2103452971,0,0,0,1,0,0,1,1,0,0,0,0,0,0
