timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
113315114,113314668,0.45725805,0.019346196,0.007589189,0.88909125,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113365177,113364693,0.45729387,0.019342138,0.00758328,0.889073,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113415207,113414708,0.45732057,0.019331958,0.0075753834,0.8890595,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113465186,113464729,0.4573644,0.019325204,0.007578904,0.8890371,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113515183,113514745,0.45739788,0.019327555,0.0075770128,0.8890199,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113565222,113564771,0.4574271,0.019320656,0.007575072,0.8890049,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113615295,113614783,0.4574359,0.01931749,0.007562907,0.8890006,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113665260,113664803,0.45743915,0.019311745,0.0075572613,0.8889991,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113715317,113714822,0.4574454,0.019316506,0.007553563,0.88899577,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113765380,113764840,0.45744547,0.01930798,0.007546914,0.8889961,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113815338,113814895,0.45745876,0.019308537,0.007555197,0.88898915,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113865370,113864879,0.45746058,0.019311605,0.00755186,0.88898814,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113915344,113914899,0.45747146,0.019306269,0.00755798,0.8889826,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
113965407,113964917,0.45749024,0.019303443,0.0075540794,0.888973,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114015422,114014978,0.45751426,0.01930686,0.0075636487,0.88896054,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114065406,114064955,0.4575361,0.0193032,0.0075612855,0.88894933,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114115470,114114975,0.45754218,0.019304063,0.0075544147,0.8889463,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114165481,114164994,0.4575575,0.019308493,0.007566236,0.8889382,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114215504,114215013,0.45757848,0.019321274,0.0075685596,0.88892716,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114265479,114265034,0.45760912,0.019322818,0.007570785,0.88891125,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114315495,114315052,0.45763072,0.019331671,0.0075758575,0.8888999,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114365597,114365071,0.45764455,0.019337969,0.0075880014,0.8888926,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114415537,114415094,0.4576759,0.019337513,0.0075774486,0.8888766,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114465608,114465110,0.45770013,0.019346217,0.0075908084,0.8888638,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114515624,114515129,0.4577374,0.019346332,0.0075933393,0.88884455,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114565663,114565171,0.4577664,0.019360479,0.0075990707,0.8888293,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114615620,114615166,0.45780706,0.019358877,0.0075913975,0.8888084,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114665662,114665187,0.45784655,0.019360583,0.007586454,0.8887881,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114715738,114715207,0.45786002,0.01936296,0.007581474,0.8887811,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114765693,114765224,0.4578584,0.019370077,0.0075919516,0.8887817,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114815787,114815243,0.457873,0.01936841,0.0075913044,0.88877416,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114865701,114865262,0.45789465,0.019370323,0.0075907037,0.88876295,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114915777,114915281,0.45790514,0.019367047,0.0075961533,0.8887577,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
114965808,114965304,0.45790765,0.019367443,0.0076053906,0.8887562,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115015769,115015321,0.45793352,0.019364834,0.007604549,0.8887431,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115065786,115065340,0.4579604,0.019358288,0.007597793,0.8887293,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115115854,115115356,0.4579906,0.019353928,0.007582725,0.88871396,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115165819,115165378,0.45802754,0.019340806,0.0075801658,0.8886953,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115215899,115215397,0.4580526,0.01933655,0.007593023,0.8886823,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115265920,115265418,0.4580857,0.019336732,0.007588768,0.8886654,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115315967,115315463,0.45811024,0.019333445,0.00760086,0.8886527,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115365980,115365455,0.45815256,0.019334404,0.00760293,0.8886308,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115415907,115415474,0.45815527,0.019337831,0.007600289,0.8886294,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115466033,115465538,0.45817223,0.01933348,0.0076009743,0.8886206,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115515955,115515513,0.4581852,0.019329056,0.0076008555,0.8886141,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115566024,115565532,0.4582015,0.019327044,0.007595668,0.8886057,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115615983,115615551,0.45820373,0.019325992,0.00760367,0.8886045,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115666111,115665570,0.4582123,0.01932887,0.007608073,0.88860005,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
115716016,115715589,0.45821747,0.019323388,0.0076160133,0.8885975,0.99991363,-3.3795662e-09,-1.2054308e-10,-0.013142514,2
