timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
111357925,111357671,3932170,0.06354302,-0.02396845,-0.006711166,46.982864,0,10
111359168,111358921,3932170,0.062531024,-0.022690132,-0.0073503247,46.982864,0,10
112359548,112359302,3932170,0.06562029,-0.02002697,-0.008788432,47.12974,0,10
113361187,113360936,3932170,0.06354302,-0.02130529,-0.008788432,47.080784,0,10
114357826,114357569,3932170,0.063010395,-0.021678131,-0.008309063,47.178703,0,10
115359454,115359202,3932170,0.06471481,-0.022370553,-0.010013485,46.982864,0,10
116359835,116359588,3932170,0.062211443,-0.019760655,-0.011984225,47.178703,0,10
117357726,117357472,3932170,0.06663229,-0.02098571,-0.0092678005,47.374542,0,10
118358112,118357861,3932170,0.06492787,-0.021358551,-0.008948221,47.276623,0,10
119359734,119359493,3932170,0.065567024,-0.021944448,-0.008415589,47.178703,0,10
120360130,120359879,3932170,0.06775082,-0.023222765,-0.009161274,47.12974,0,10
121358020,121357772,3932170,0.06609966,-0.025406556,-0.008575379,47.276623,0,10
122359671,122359406,3932170,0.065833345,-0.023702133,-0.012836437,46.982864,0,10
123361283,123361042,3932170,0.06732471,-0.022583606,-0.014168017,47.276623,0,10
124357931,124357675,3932170,0.064075656,-0.023755398,-0.006711166,47.276623,0,10
125358321,125358066,3932170,0.06396913,-0.019707393,-0.0056991647,47.276623,0,10
126359951,126359703,3932170,0.06764429,-0.024873925,-0.0073503247,47.276623,0,10
127360346,127360091,3932170,0.062424496,-0.025033714,-0.010386328,47.47246,0,10
128358222,128357979,3932170,0.06402239,-0.022743396,-0.010279802,47.178703,0,10
129359868,129359620,3932170,0.062264707,-0.023861924,-0.009800433,47.276623,0,10
130360260,130360009,3932170,0.06663229,-0.024074977,-0.0066579026,47.374542,0,10
131358159,131357898,3932170,0.06775082,-0.02412824,-0.0070307455,47.276623,0,10
132359785,132359539,3932170,0.06540724,-0.019920446,-0.00628506,47.276623,0,10
133360166,133359927,3932170,0.065833345,-0.02130529,-0.008309063,47.276623,0,10
134360571,134360328,3932170,0.06562029,-0.025939189,-0.0080960095,47.47246,0,10
135358450,135358211,3932170,0.06615292,-0.023276027,-0.0046339002,47.178703,0,10
136358859,136358604,3932170,0.06434197,-0.023915187,-0.0075633777,47.32558,0,10
137360488,137360247,3932170,0.06578008,-0.024074977,-0.008362326,47.080784,0,10
138358384,138358140,3932170,0.065567024,-0.02231729,-0.011877699,47.71726,0,10
139358826,139358586,3932170,0.061146177,-0.024234766,-0.008042746,47.52142,0,10
140357921,140357677,3932170,0.07435546,0.002876214,0.04974785,47.276623,0,10
141358321,141358071,3932170,0.097897805,-0.033662356,-0.014434333,47.47246,0,10
142358717,142358470,3932170,-0.058056913,-0.011984225,-0.064182185,47.374542,0,10
143359100,143358861,3932170,0.052038167,-0.06684534,-0.5815278,47.32558,0,10
144360745,144360506,3932170,-0.31883365,-0.0080960095,-0.17235978,47.276623,0,10
145357392,145357150,3932170,-0.003621899,0.06860303,0.061146177,47.32558,0,10
146359042,146358796,3932170,-0.23595607,0.052304484,-0.00063915865,47.52142,0,10
147359443,147359194,3932170,-0.12474246,0.19467707,-0.10428939,47.52142,0,10
148361088,148360839,3932170,0.060720075,0.023542345,0.07542072,47.374542,0,10
149357732,149357482,3932170,0.7212373,-0.07307714,0.0572047,47.47246,0,10
150359372,150359128,3932170,-0.14258565,-0.06796387,0.0012250541,47.276623,0,10
151359764,151359522,3932170,-0.1510545,-0.022423817,0.02396845,47.47246,0,10
152357664,152357416,3932170,0.0029827405,-0.061785337,0.028176244,47.276623,0,10
153358060,153357812,3932170,0.0700944,-0.039894152,0.08522116,47.374542,0,10
154359705,154359458,3932170,0.07515441,0.05091964,-0.029134983,47.61934,0,10
155360092,155359850,3932170,0.009108011,0.030892668,0.014966966,47.32558,0,10
156357992,156357745,3932170,-0.023702133,0.07659251,0.033928674,47.276623,0,10
157359639,157359386,3932170,0.38125813,-0.052411012,0.052837115,47.47246,0,10
158360024,158359780,3932170,-0.45726475,-0.031105721,-0.020240024,47.276623,0,10
159357923,159357671,3932170,0.028708877,-0.02530003,0.018216021,47.32558,0,10
160358322,160358063,3932170,-0.07142598,-0.10524812,0.03536678,47.374542,0,10
161359957,161359704,3932170,0.102371916,-0.01603223,-0.0031957934,47.32558,0,10
162360398,162360150,3932170,0.11728562,-0.014913702,0.036485307,47.276623,0,10
163358225,163357984,3932170,0.044421528,-0.033129726,0.015180019,47.374542,0,10
164358624,164358374,3932170,0.20282635,-0.103064336,0.055606805,47.52142,0,10
165357778,165357511,3932170,0.043356262,-0.07041398,0.011291803,47.276623,0,10
166358141,166357899,3932170,0.31941953,0.17235978,-0.0058589545,47.32558,0,10
167358530,167358287,3932170,-0.061785337,-0.035473306,-0.021784658,47.276623,0,10
168360176,168359925,3932170,-0.11403656,0.11909656,-0.025353294,47.276623,0,10
169360557,169360311,3932170,-0.051345747,-0.044528052,-0.0360592,47.276623,0,10
170359702,170359444,3932170,0.016085492,-0.19568908,-0.06775082,47.178703,0,10
171360075,171359829,3932170,-0.1510545,-0.020240024,-0.03717773,47.12974,0,10
172361710,172361462,3932170,-0.16042882,-0.07131945,-0.02530003,47.12974,0,10
173357101,173356845,3932170,0.27803403,0.1917476,0.20730045,47.178703,0,10
174358719,174358474,3932170,-0.0145408595,-0.05539375,-0.04063984,47.080784,0,10
175359094,175358855,3932170,0.05773733,-0.0065513765,-0.01720402,47.080784,0,10
176361976,176361735,3932170,0.06764429,-0.01587244,-0.013848438,46.835987,0,10
177358614,177358363,3932170,0.070999876,-0.037550572,-0.014061491,47.080784,0,10
178360239,178359992,3932170,0.06716492,-0.020772656,-0.00644485,46.933907,0,10
179360607,179360367,3932170,0.061732076,-0.022530343,-0.009800433,46.64015,0,10
180358489,180358241,3932170,0.06689861,-0.023116238,-0.008522116,46.787025,0,10
181358864,181358619,3932170,0.0654605,-0.02396845,-0.00942759,46.738068,0,10
182359237,182358992,3932170,0.070999876,-0.021252025,-0.01123854,46.738068,0,10
