timestamp,saturation_status
2090552977,1533
2090572911,1533
2091543082,1533
2092540510,1533
2093550235,1533
2094536839,1533
2095539232,1533
2096535579,1533
2097542055,1533
2098552521,1533
2099543095,1533
2100540687,1533
2101554880,1533
2102538665,1533
2103555134,1533
2104540615,1533
2105551949,1533
2106555678,1533
2107547995,1533
2108538340,1533
2109551459,1533
2110555513,1533
2111544682,1533
2112536443,1533
2113551899,1533
2114543885,1533
2115536607,1533
2116538904,1533
2117557313,1533
2118546347,1533
2119536741,1533
2120534239,1533
2121552804,1533
2122541981,1533
2123539184,1533
2124545903,1533
2125540560,1533
2126538686,1533
2127551356,1533
2128545919,1533
2129533333,1533
2130543796,1533
2131538978,1533
2132537998,1533
2133551484,1533
2134541927,1533
2135537475,1533
2136541716,1533
2137540502,1533
2138545641,1533
2139552654,1533
2140543602,1533
2141533997,1533
2142539405,1533
2143537977,1533
2144553906,1533
2145547918,1533
2146551301,1533
2147539725,1533
2148551664,1533
2149538390,1533
2150544488,1533
2151552735,1533
2152540449,1533
2153554710,1533
2154545216,1533
2155543956,1533
2156547982,1533
2157550798,1533
2158538249,1533
2159541685,1533
2160548142,1533
2161537983,1533
2162548604,1533
2163549345,1533
2164539803,1533
2165552264,1533
2166550467,1533
2167543955,1533
2168555870,1533
2169552094,1533
2170549768,1533
2171535585,1533
2172533667,1533
2173543040,1533
2174549488,1533
2175554948,1533
2176543494,1533
2177544211,1533
2178550371,1533
2179549824,1533
2180552278,1533
2181539068,1533
2182555009,1533
2183542379,1533
2184544189,1533
2185540100,1533
2186543732,1533
2187545285,1533
2188535986,1533
2189551499,1533
2190546729,1533
2191536240,1533
2192542784,1533
2193549498,1533
2194554041,1533
2195551022,1533
2196550878,1533
2197539347,1533
2198537877,1533
2199551044,1533
2200552765,1533
2201543191,1533
2202552323,1533
2203548264,1533
2204542463,1533
2205543050,1533
2206545464,1533
2207553914,1533
2208550265,1533
2209551500,1533
2210535584,1533
2211545669,1533
2212535001,1533
2213541355,1533
2214547819,1533
2215539516,1533
2216539936,1533
2217544113,1533
2218542293,1533
2219550001,1533
2220549656,1533
2221541121,1533
2222551816,1533
2223536809,1533
2224552207,1533
2225539612,1533
2226539392,1533
2227548173,1533
2228553321,1533
2229540685,1533
2230537916,1533
2231543600,1533
2232552768,1533
2233546206,1533
2234546535,1533
2235553292,1533
2236537708,1533
2237552014,1533
2238535768,1533
2239548881,1533
2240540480,1533
2241535889,1533
2242550047,1533
2243555505,1533
2244552176,1533
2245553124,1533
2246543009,1533
2247545677,1533
2248542616,1533
2249553286,1533
2250541359,1533
2251539408,1533
2252550560,1533
2253548080,1533
2254538994,1533
2255539155,1533
2256542241,1533
2257556421,1533
2258541848,1533
2259552260,1533
2260549977,1533
2261549342,1533
2262542745,1533
2263552205,1533
2264540536,1533
2265554770,1533
2266547369,1533
2267549995,1533
2268530953,1533
2269533860,1533
2270551055,1533
2271539985,1533
2272536134,1533
2273547706,1533
2274544750,1533
2275553923,1533
2276546823,1533
2277539731,1533
2278539342,1533
2279540812,1533
2280548746,1533
2281550464,1533
2282548048,1533
2283536746,1533
2284542638,1533
2285556378,1533
2286538692,1533
2287547389,1533
2288537535,1533
2289533938,1533
2290547707,1533
2291535767,1533
2292542847,1533
2293553267,1533
2294553056,1533
2295538425,1533
2296553132,1533
2297553487,1533
2298542450,1533
2299556978,1533
2300544465,1533
2301554609,1533
2302555021,1533
2303535335,1533
2304549149,1533
2305554606,1533
2306552176,1533
2307539176,1533
2308546174,1533
2309556456,1533
2310543720,1533
2311553967,1533
2312544109,1533
2313553356,1533
2314547983,1533
2315553428,1533
2316554026,1533
2317541410,1533
2318551165,1533
2319548767,1533
2320548751,1533
2321538034,1533
2322543264,1533
2323554866,1533
2324537395,1533
2325548961,1533
2326542726,1533
2327550787,1533
2328536949,1533
2329548129,1533
2330527730,1533
2331535132,1533
2332547829,1533
2333553218,1533
2334556389,1533
2335539797,1533
2336536937,1533
2337547596,1533
2338544738,1533
2339549404,1533
2340545332,1533
2341556185,1533
2342551312,1533
2343541689,1533
2344550925,1533
2345549367,1533
2346539953,1533
2347551297,1533
2348538386,1533
2349548970,1533
2350546930,1533
2351555530,1533
2352543537,1533
2353546086,1533
2354545461,1533
2355537937,1533
2356551077,1533
2357542707,1533
2358546150,1533
2359536745,1533
2360543684,1533
2361539614,1533
2362540806,1533
2363547963,1533
2364555575,1533
2365539076,1533
2366541373,1533
2367547848,1533
2368536946,1533
2369536946,1533
2370539506,1533
2371533271,1533
2372543838,1533
2373539219,1533
2374551169,1533
2375540987,1533
2376555214,1533
2377541815,1533
2378552882,1533
2379541668,1533
2380551929,1533
2381553453,1533
2382547235,1533
2383556342,1533
2384540240,1533
2385548434,1533
2386542806,1533
2387553907,1533
2388554440,1533
2389549361,1533
2390557262,1533
2391540624,1533
2392537521,1533
2393552232,1533
2394548866,1533
2395553243,1533
2396529662,1533
2397547145,1533
2398550487,1533
2399551950,1533
2400555116,1533
2401541777,1533
2402537255,1533
2403539642,1533
2404543065,1533
2405546900,1533
2406546319,1533
2407556035,1533
2408542668,1533
2409537073,1533
2410553793,1533
2411534725,1533
2412545149,1533
2413555546,1533
2414545235,1533
2415541326,1533
2416541814,1533
2417554906,1533
2418542575,1533
2419547986,1533
2420549604,1533
2421533823,1533
2422543308,1533
2423535947,1533
2424546274,1533
2425537787,1533
2426545204,1533
2427540698,1533
