timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
2085125077,2085124654,4325386,0.0017148069,0.0033794355,-0.0007551616,0.34906584,1.8561755e-09,1.8577959e-09,3.3190026e-09,4259850,0.0,0.0,-0.011186081,0.4,0.00040033256,0.00040033256,5.0041835e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2130347755,2130347052,4325386,0.0018212062,0.0033907357,-0.00058654445,0.34906584,1.8564803e-09,1.8581058e-09,3.3165604e-09,4259850,0.0,0.0,-0.01016764,0.4,0.00040015607,0.00040015607,5.0019867e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2135977417,2135976730,4325386,0.0017893746,0.0034031733,-0.0005364668,0.34906584,1.8607618e-09,1.8624187e-09,3.3314986e-09,4259850,0.0,0.0,-0.011174113,0.4,0.00040195882,0.00040195882,5.024485e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2141336790,2141335748,4325386,0.0017795218,0.0033752252,-0.00046399594,0.34906584,1.8427364e-09,1.844373e-09,3.2922576e-09,4259850,0.0,0.0,-0.010162116,0.4,0.00039738495,0.00039738495,4.9673386e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2149365949,2149365418,4325386,0.0018649277,0.0033938983,-0.00047459514,0.34906584,1.8587298e-09,1.8603467e-09,3.3248744e-09,4259850,0.0,0.0,-0.011174158,0.4,0.00040117183,0.00040117183,5.0146564e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2154373017,2154372407,4325386,0.0018974678,0.0034032688,-0.00045593787,0.34906584,1.8568295e-09,1.858471e-09,3.3197491e-09,4259850,0.0,0.0,-0.012183757,0.4,0.00040057022,0.00040057022,5.007146e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2158365186,2158364654,4325386,0.0018972439,0.0033814635,-0.00048020837,0.34906584,1.8513298e-09,1.8530548e-09,3.312044e-09,4259850,0.0,0.0,-0.0111609185,0.4,0.0003996106,0.0003996106,4.995141e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2181497252,2181496713,4325386,0.0019473531,0.0034191601,-0.00056847435,0.34906584,1.8480903e-09,1.8494691e-09,3.3056928e-09,4259850,0.0,0.0,-0.010143529,0.4,0.00039889707,0.00039889707,4.9862224e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2183131005,2183129631,4325386,0.0021289655,0.0034318138,-0.000578262,0.34906584,1.8587988e-09,1.8598725e-09,3.3260836e-09,4259850,0.0,0.0,-0.009138873,0.4,0.00040109444,0.00040109444,5.01368e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2184145004,2184144583,4325386,0.0021721793,0.0033995833,-0.00059050653,0.34906584,1.8443274e-09,1.8453495e-09,3.2956615e-09,4259850,0.0,0.0,-0.008137725,0.4,0.00039757922,0.00039757922,4.9697665e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2189892170,2189891537,4325386,0.0021862735,0.0034119554,-0.0006658847,0.34906584,1.8413866e-09,1.842586e-09,3.2914689e-09,4259850,0.0,0.0,-0.0071249465,0.4,0.00039717378,0.00039717378,4.9646897e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2197123387,2197122676,4325386,0.0019611265,0.0034908513,-0.00063709536,0.34906584,1.8584663e-09,1.8599877e-09,3.3259178e-09,4259850,0.0,0.0,-0.008149157,0.4,0.00040137602,0.00040137602,5.0172e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2198788195,2198787189,4325386,0.001788727,0.0034910738,-0.0006006218,0.34906584,1.8477064e-09,1.8494482e-09,3.305631e-09,4259850,0.0,0.0,-0.009157673,0.4,0.00039900362,0.00039900362,4.987545e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2201241343,2201240934,4325386,0.0017003885,0.0035183039,-0.00053850736,0.34906584,1.8594967e-09,1.8611443e-09,3.3248737e-09,4259850,0.0,0.0,-0.010160499,0.4,0.00040107043,0.00040107043,5.0134067e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2207353830,2207353171,4325386,0.001711468,0.0035563575,-0.00044600715,0.34906584,1.8640187e-09,1.8653956e-09,3.3347982e-09,4259850,0.0,0.0,-0.011163003,0.4,0.0004022264,0.0004022264,5.027838e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2220715053,2220714510,4325386,0.0018371884,0.0035264743,-0.00042605,0.34906584,1.8622938e-09,1.8638953e-09,3.3295815e-09,4259850,0.0,0.0,-0.012168485,0.4,0.00040172815,0.00040172815,5.0216195e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2223949219,2223948645,4325386,0.0021402005,0.0034936643,-0.000556379,0.34906584,1.8604223e-09,1.8614403e-09,3.3308294e-09,4259850,0.0,0.0,-0.011155456,0.4,0.0004017091,0.0004017091,5.0213725e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2225703896,2225703416,4325386,0.0021896223,0.0034646965,-0.00061574206,0.34906584,1.8477516e-09,1.8487838e-09,3.3055358e-09,4259850,0.0,0.0,-0.01013721,0.4,0.00039877457,0.00039877457,4.984691e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2231563723,2231563037,4325386,0.0022082266,0.0035193413,-0.00070566026,0.34906584,1.8527264e-09,1.8537795e-09,3.3168832e-09,4259850,0.0,0.0,-0.0091367215,0.4,0.00040021617,0.00040021617,5.0027015e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
2241703837,2241703290,4325386,0.0017234395,0.0035478948,-0.00085161754,0.34906584,1.863257e-09,1.8648456e-09,3.3327654e-09,4259850,0.0,0.0,-0.01014645,0.4,0.0004020775,0.0004020775,5.0259773e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
