timestamp,safety_switch_available,safety_off,override_available,override_enabled
437348131,1,1,0,0
438362257,1,1,0,0
439366723,1,1,0,0
440376804,1,1,0,0
441387174,1,1,0,0
442404656,1,1,0,0
443424977,1,1,0,0
444438075,1,1,0,0
445444367,1,1,0,0
446452250,1,1,0,0
447464904,1,1,0,0
448481523,1,1,0,0
449496782,1,1,0,0
450509911,1,1,0,0
451511177,1,1,0,0
452526197,1,1,0,0
453538267,1,1,0,0
454538331,1,1,0,0
455541351,1,1,0,0
456553954,1,1,0,0
457567986,1,1,0,0
458585810,1,1,0,0
459600657,1,1,0,0
460618541,1,1,0,0
461635524,1,1,0,0
462644465,1,1,0,0
463655140,1,1,0,0
464675220,1,1,0,0
465684690,1,1,0,0
466700852,1,1,0,0
467701311,1,1,0,0
468721484,1,1,0,0
469725914,1,1,0,0
470743233,1,1,0,0
471760192,1,1,0,0
472773967,1,1,0,0
473784204,1,1,0,0
474791233,1,1,0,0
475802625,1,1,0,0
476821488,1,1,0,0
477825388,1,1,0,0
478835673,1,1,0,0
479847503,1,1,0,0
480861510,1,1,0,0
481875112,1,1,0,0
