timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
280181887,280180934,396825,-0.21666665,-0.071969695,0.16287878,nan,0,0
280203130,280202207,396825,-0.20454545,-0.0810606,0.18787879,nan,0,0
281184829,281183909,396825,-0.20530303,-0.08333333,0.19393939,nan,0,0
282187132,282186212,396825,-0.20530303,-0.08333333,0.19924241,nan,0,0
283167915,283166996,396825,-0.22727272,-0.07424242,0.17878787,nan,0,0
284170090,284169171,396825,-0.20227273,-0.08181818,0.19393939,nan,0,0
285171918,285170996,396825,-0.20454545,-0.08333333,0.19015151,nan,0,0
286173663,286172743,396825,-0.2121212,-0.07121212,0.16969696,nan,0,0
287175857,287174938,396825,-0.20530303,-0.0810606,0.19393939,nan,0,0
288178194,288177244,396825,-0.20530303,-0.08257575,0.19621211,nan,0,0
289181189,289180234,396825,-0.23181817,-0.07121212,0.17727272,nan,0,0
290183132,290182206,396825,-0.20075756,-0.08257575,0.18863636,nan,0,0
291185183,291184236,396825,-0.20681818,-0.0780303,0.18787879,nan,0,0
292187931,292186979,396825,-0.23333332,-0.095454544,0.19621211,nan,0,0
293168500,293167570,396825,-0.0530303,-0.13484848,0.21439393,nan,0,0
294170344,294169409,396825,0.032575756,-0.095454544,0.3371212,nan,0,0
295172789,295171869,396825,0.009848485,-0.10151515,0.33484846,nan,0,0
296174860,296173939,396825,0.012878788,-0.090909086,0.34318182,nan,0,0
297177344,297176425,396825,0.03333333,-0.06515151,0.3962121,nan,0,0
298179421,298178477,396825,-0.008333333,-0.08712121,0.36363634,nan,0,0
299181853,299180932,396825,0.006818182,-0.09015151,0.35757574,nan,0,0
300184923,300183996,396825,0.0075757573,-0.086363636,0.36893937,nan,0,0
301186766,301185847,396825,-0.024999999,-0.0780303,0.35378787,nan,0,0
302189282,302188342,396825,-0.009090909,-0.09015151,0.37575758,nan,0,0
303169774,303168854,396825,0.012121212,-0.074999996,0.3590909,nan,0,0
304171456,304170534,396825,0.003030303,-0.07575757,0.36136362,nan,0,0
305174059,305173138,396825,0.01060606,-0.06515151,0.35757574,nan,0,0
306176480,306175510,396825,-0.0075757573,-0.053787876,0.33181816,nan,0,0
307179222,307178275,396825,0.012121212,-0.05681818,0.3651515,nan,0,0
308181350,308180426,396825,0.006818182,-0.06060606,0.36666664,nan,0,0
309183443,309182521,396825,-0.0075757573,-0.06742424,0.3651515,nan,0,0
310185888,310184969,396825,-0.018939393,-0.07727273,0.35757574,nan,0,0
311188085,311187165,396825,-0.01969697,-0.071969695,0.3590909,nan,0,0
312168865,312167945,396825,-0.043181818,-0.06515151,0.305303,nan,0,0
313171351,313170427,396825,-0.03181818,-0.06969697,0.3409091,nan,0,0
314173465,314172543,396825,-0.028787877,-0.073484845,0.34242424,nan,0,0
315175727,315174808,396825,-0.070454545,-0.068939395,0.31666666,nan,0,0
316178388,316177467,396825,-0.044696968,-0.08257575,0.33863634,nan,0,0
317180372,317179452,396825,-0.05681818,-0.07954545,0.35530302,nan,0,0
318182716,318181755,396825,-0.08712121,-0.073484845,0.3310606,nan,0,0
319185064,319184144,396825,-0.06742424,-0.0840909,0.35757574,nan,0,0
320186928,320186008,396825,-0.073484845,-0.08030303,0.37272727,nan,0,0
321168659,321167721,396825,-0.068939395,-0.08257575,0.35530302,nan,0,0
322170771,322169849,396825,-0.068939395,-0.08863636,0.34848484,nan,0,0
323172611,323171689,396825,-0.06590909,-0.086363636,0.34848484,nan,0,0
324175059,324174139,396825,-0.06515151,-0.0840909,0.36136362,nan,0,0
325177155,325176217,396825,-0.11363636,-0.11666666,0.28863636,nan,0,0
326179790,326178867,396825,-0.13863637,-0.12196969,0.19393939,nan,0,0
327182078,327181149,396825,-0.17954545,-0.11818182,0.15530303,nan,0,0
328184133,328183214,396825,-0.14545454,-0.13181818,0.18787879,nan,0,0
329186935,329185991,396825,-0.15151514,-0.13257575,0.18787879,nan,0,0
330188725,330187806,396825,-0.18030302,-0.12348484,0.16969696,nan,0,0
331169546,331168625,396825,-0.15530303,-0.1310606,0.17727272,nan,0,0
332172140,332171222,396825,-0.17954545,-0.12272727,0.15530303,nan,0,0
333174905,333173982,396825,-0.1590909,-0.1310606,0.17727272,nan,0,0
