timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
111356194,111355219,396825,-0.10893163,-0.16361605,0.48464474,3
111377433,111376465,396825,-0.1066484,-0.16411734,0.4883767,3
111847100,111846107,396825,-0.10218705,-0.16380706,0.4809981,3
112358501,112357515,396825,-0.10696817,-0.1636192,0.48430714,3
112849271,112848306,396825,-0.12932025,-0.15987682,0.47335106,3
113361057,113360088,396825,-0.127037,-0.16037813,0.477083,3
113851485,113850521,396825,-0.10855076,-0.16656803,0.4878136,3
114363572,114362602,396825,-0.105004735,-0.16362236,0.48396957,3
114854123,114853154,396825,-0.108878165,-0.16387354,0.49207607,3
115365920,115364956,396825,-0.106247105,-0.16368042,0.48335418,3
115855999,115855033,396825,-0.12822962,-0.16228947,0.4838588,3
116367777,116366813,396825,-0.10926635,-0.16411313,0.48882684,3
116858374,116857410,396825,-0.10658,-0.16337961,0.48755637,3
117348460,117347459,396825,-0.13357058,-0.16096815,0.46991652,3
117860241,117859248,396825,-0.10493997,-0.16448042,0.48310903,3
118350797,118349830,396825,-0.108933456,-0.16441394,0.48462465,3
118862160,118861195,396825,-0.106646575,-0.16331944,0.48839682,3
119352794,119351825,396825,-0.10908155,-0.16528882,0.49455717,3
119865109,119864145,396825,-0.111871175,-0.1639116,0.48100525,3
120355222,120354259,396825,-0.10580731,-0.1644962,0.49401462,3
120845788,120844824,396825,-0.10710133,-0.16349888,0.48598802,3
121357565,121356581,396825,-0.11136296,-0.16398963,0.49084532,3
121847738,121846734,396825,-0.12799814,-0.15968162,0.46485427,3
122359818,122358852,396825,-0.10166753,-0.16448568,0.48254636,3
122850377,122849352,396825,-0.10807741,-0.16379759,0.48201093,3
123362066,123361094,396825,-0.12965862,-0.1619697,0.47749296,3
123852277,123851311,396825,-0.10842707,-0.16528986,0.49444464,3
124364063,124363096,396825,-0.11103188,-0.16508834,0.48662302,3
124854572,124853593,396825,-0.12821467,-0.16129422,0.4756071,3
125365972,125365009,396825,-0.10822733,-0.16547036,0.49192333,3
125856530,125855561,396825,-0.110708475,-0.16399068,0.4907328,3
126368545,126367567,396825,-0.13443792,-0.16098395,0.48082215,3
126858721,126857725,396825,-0.10428366,-0.16368358,0.48301658,3
127349249,127348284,396825,-0.10762266,-0.16361816,0.4844197,3
127861338,127860315,396825,-0.1206494,-0.16525304,0.48578972,3
128351805,128350806,396825,-0.109606534,-0.1670039,0.49294865,3
128863890,128862927,396825,-0.1130048,-0.16368671,0.49527255,3
129354448,129353466,396825,-0.13296095,-0.16395487,0.49455893,3
129866519,129865527,396825,-0.11053679,-0.16536373,0.5047349,3
130356694,130355690,396825,-0.105803676,-0.1629004,0.49405482,3
130868462,130867495,396825,-0.106966354,-0.16282131,0.48432726,3
131358900,131357929,396825,-0.106247105,-0.16368042,0.48335418,3
131849120,131848146,396825,-0.1079479,-0.16551372,0.48028985,3
132360925,132359959,396825,-0.12938866,-0.16061454,0.47417143,3
132851422,132850453,396825,-0.10611213,-0.16300285,0.48169342,3
133363154,133362190,396825,-0.10664476,-0.16252154,0.4884169,3
133853669,133852691,396825,-0.10954577,-0.16406982,0.5004603,3
134365684,134364715,396825,-0.10580549,-0.1636983,0.4940347,3
134855960,134854925,396825,-0.10678338,-0.1647949,0.4900375,3
135346470,135345505,396825,-0.10886687,-0.16447411,0.48378423,3
135858222,135857258,396825,-0.10676844,-0.16379969,0.48178586,3
136348350,136347384,396825,-0.10559444,-0.16447937,0.48322156,3
136860148,136859184,396825,-0.13163887,-0.1637597,0.4860621,3
137350731,137349706,396825,-0.10920158,-0.16497117,0.4879663,3
137862780,137861785,396825,-0.10677609,-0.16160332,0.49011788,3
138352917,138351952,396825,-0.11215424,-0.16546406,0.49259853,3
138864704,138863738,396825,-0.110906385,-0.16301231,0.49327418,3
139355229,139354266,396825,-0.108288445,-0.16301653,0.49282405,3
139866567,139865594,396825,-0.137714,-0.16257448,0.4813446,3
140357176,140356203,396825,-0.10827532,-0.1628192,0.48455235,3
140847662,140846691,396825,-0.108933456,-0.16441394,0.48462465,3
141359074,141358104,396825,-0.12169024,-0.16469368,0.48267314,3
141849598,141848631,396825,-0.12284199,-0.15982719,0.47306618,3
142361411,142360411,396825,-0.10809783,-0.16718648,0.49020225,3
142851608,142850601,396825,-0.115792744,-0.17413217,0.505414,3
143363236,143362272,396825,-0.11139874,-0.1907235,0.47361845,3
143853803,143852839,396825,-0.0059698806,-0.229913,0.44456312,3
144365662,144364689,396825,0.05176057,-0.22748342,0.39250126,3
144855784,144854805,396825,0.09707741,-0.24070027,0.39016527,3
145346308,145345342,396825,0.09411381,-0.24598052,0.3946769,3
145858088,145857121,396825,0.101185806,-0.24886602,0.3867678,3
146348250,146347282,396825,0.08924838,-0.2464788,0.36653966,3
146860282,146859285,396825,0.10324278,-0.25931063,0.3522214,3
147350901,147349911,396825,0.09284883,-0.24483742,0.41064525,3
147862478,147861511,396825,0.10099701,-0.24389818,0.3894097,3
148353409,148352413,396825,0.09999687,-0.2491816,0.39358371,3
148865193,148864228,396825,0.09542712,-0.25516278,0.3776672,3
149355408,149354444,396825,0.0710253,-0.26552185,0.3592556,3
149846503,149845525,396825,0.08755838,-0.25614533,0.38726923,3
150358393,150357429,396825,0.086036906,-0.26154804,0.38987494,3
150848541,150847443,396825,0.07411623,-0.25736773,0.36141527,3
151360323,151359324,396825,0.08000426,-0.26540768,0.39246812,3
151851053,151850068,396825,0.081958234,-0.26401237,0.40044242,3
152362955,152361931,396825,0.06428534,-0.26478183,0.40346074,3
152853006,152852044,396825,0.05691582,-0.25721136,0.3991291,3
153364790,153363826,396825,0.09180869,-0.255054,0.3907038,3
153855369,153854388,396825,0.073806904,-0.25931478,0.38955206,3
154367041,154366054,396825,0.06968244,-0.26371807,0.38435623,3
154857552,154856579,396825,0.057942063,-0.2641539,0.40208486,3
155369337,155368373,396825,0.05692712,-0.25781196,0.39083722,3
155859514,155858551,396825,0.09835824,-0.2696326,0.36438134,3
156349989,156349024,396825,0.061740316,-0.2605994,0.36263257,3
156861802,156860838,396825,0.029873768,-0.24112394,0.3504047,3
157351967,157350968,396825,0.058339156,-0.24191627,0.3901737,3
157863764,157862795,396825,0.068688564,-0.19127919,0.416996,3
158354325,158353357,396825,0.076525025,-0.22805525,0.41388065,3
158866047,158865077,396825,0.07254242,-0.25093907,0.3734346,3
159356192,159355204,396825,0.07212471,-0.25855708,0.37827626,3
159846752,159845787,396825,0.054215543,-0.24447484,0.34447974,3
160358562,160357593,396825,0.08689822,-0.2405294,0.3720606,3
160848667,160847689,396825,0.0843286,-0.24856433,0.37146932,3
161360370,161359407,396825,0.054194774,-0.24247578,0.36108348,3
161850929,161849960,396825,0.04999025,-0.24162826,0.37341225,3
162362343,162361375,396825,0.06057587,-0.23358053,0.39496717,3
162852907,162851924,396825,0.04293468,-0.23156166,0.3815023,3
163364682,163363687,396825,0.056987327,-0.23148134,0.39150047,3
163854820,163853808,396825,0.061282337,-0.24002494,0.39385343,3
164366667,164365692,396825,0.04555115,-0.23775174,0.37261963,3
164857394,164856427,396825,0.049823202,-0.2397062,0.39996865,3
165347582,165346600,396825,0.049923677,-0.2415681,0.3742527,3
165859376,165858414,396825,0.028414521,-0.23740669,0.36895463,3
166349892,166348925,396825,-0.00041997773,-0.24254237,0.39032903,3
166861895,166860898,396825,0.027207348,-0.2457012,0.37556958,3
167352112,167351119,396825,0.041724555,-0.25222787,0.37125218,3
167863894,167862931,396825,0.033753857,-0.2575344,0.39813766,3
168354706,168353737,396825,0.011013095,-0.2612643,0.41601813,3
168866446,168865451,396825,0.010399575,-0.30023164,0.37292656,3
169357009,169356046,396825,0.004048711,-0.26966965,0.421965,3
169847819,169846803,396825,0.001811099,-0.24922098,0.4187355,3
170359195,170358231,396825,-0.005666449,-0.2527093,0.38269624,3
170849983,170849019,396825,-2.5792315e-05,-0.2633056,0.40048698,3
171361839,171360869,396825,-0.0125901485,-0.26695743,0.39593375,3
171851884,171850915,396825,-0.055140596,-0.25825787,0.37947464,3
172363718,172362746,396825,-0.033317335,-0.24730255,0.3735211,3
172854262,172853295,396825,-0.057487376,-0.21758704,0.43553042,3
173366036,173365073,396825,-0.094143584,-0.1669429,0.43650764,3
173856197,173855190,396825,-0.10127578,-0.13202116,0.44690156,3
174367977,174367009,396825,-0.09733755,-0.13262804,0.43793452,3
174858696,174857696,396825,-0.12062757,-0.12504911,0.4470967,3
175349286,175348271,396825,-0.12354665,-0.121955775,0.43526584,3
175861048,175860078,396825,-0.10617328,-0.12991984,0.44365996,3
176351498,176350533,396825,-0.12402583,-0.12173196,0.44942066,3
176863254,176862270,396825,-0.102655314,-0.12816672,0.4563393,3
177353810,177352846,396825,-0.10391448,-0.1300179,0.46395546,3
177865931,177864913,396825,-0.12439506,-0.1247685,0.42954755,3
178356321,178355342,396825,-0.10082867,-0.12964535,0.45764238,3
178868371,178867367,396825,-0.10180475,-0.12994404,0.45366526,3
179359216,179358253,396825,-0.12242978,-0.123973764,0.42923003,3
179849378,179848407,396825,-0.12714617,-0.12464396,0.43167856,3
180361179,180360174,396825,-0.10069187,-0.12816988,0.45600173,3
180851668,180850692,396825,-0.13014549,-0.12892039,0.46104562,3
181363712,181362692,396825,-0.10017418,-0.1296464,0.45752984,3
181853890,181852926,396825,-0.10567637,-0.12939733,0.46179187,3
182365742,182364742,396825,-0.12308426,-0.12397271,0.42934257,3
182856767,182855765,396825,-0.10265714,-0.12896462,0.4563192,3
