timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
438325418,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00019985304,8.625061e-06,7.878489e-11,-0.2796911,-0.29703975,-9.778984,-0.0022081023,7.8655234e-05,-0.00031549108,43.947334,43.947334
438425453,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.0001908804,8.46026e-06,7.553668e-11,-0.2794767,-0.3044622,-9.782081,-0.0021069609,0.00033181385,-1.5631336e-05,43.947334,43.947334
439345748,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.0001995687,8.672475e-06,7.759541e-11,-0.28014445,-0.30001613,-9.779561,-0.0021407912,0.0003558031,-0.00016148847,44.14324,44.14324
440266071,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.0002373253,9.14056e-06,8.604644e-11,-0.27902701,-0.3053582,-9.7833605,-0.002377257,0.0003399614,0.00020153866,44.241158,44.241158
441286336,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00022867517,8.396283e-06,7.7658546e-11,-0.27160034,-0.29792824,-9.781118,-0.0026277304,0.00022726225,-0.000271583,44.241154,44.241154
442301649,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00020268752,8.554588e-06,7.8713695e-11,-0.28551766,-0.30426216,-9.778882,-0.0022292966,-0.00021193882,-0.00035110014,44.143246,44.143246
443321957,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00020791557,9.033696e-06,8.388236e-11,-0.28000388,-0.30103293,-9.7765875,-0.0020793807,0.0002661659,-7.614021e-05,44.387993,44.387993
444337221,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00021237541,9.06076e-06,7.785858e-11,-0.28406033,-0.29954058,-9.782448,-0.0017700207,0.00014285608,-0.00012730657,44.387993,44.387993
445352504,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00022016428,8.9276755e-06,7.592061e-11,-0.28245202,-0.30213055,-9.782264,-0.002210974,-0.00022270829,0.00014166394,44.143246,44.143246
446277846,3932170,3932170,0,0,0,0,0,799.7867,799.7867,3998.9336,7997.867,0.00019931443,8.179319e-06,7.5209776e-11,-0.28238922,-0.2994529,-9.776347,-0.0022085821,7.582298e-05,-4.8471375e-05,44.387993,44.387993
