timestamp,speed_xy,speed_up,speed_down,want_takeoff
280239730,5.0,3.0,1.0,0
280260085,5.0,3.0,1.0,0
281240026,5.0,3.0,1.0,0
282240251,5.0,3.0,1.0,0
283240465,5.0,3.0,1.0,0
284240772,5.0,3.0,1.0,0
285240977,5.0,3.0,1.0,0
286241022,5.0,3.0,1.0,0
287241360,5.0,3.0,1.0,0
288241647,5.0,3.0,1.0,0
289241812,5.0,3.0,1.0,0
289922276,5.0,3.0,1.0,0
323601298,5.0,3.0,1.0,0
323620409,5.0,3.0,1.0,0
324600927,5.0,3.0,1.0,0
325601231,5.0,3.0,1.0,0
326601406,5.0,3.0,1.0,0
327601665,5.0,3.0,1.0,0
328602082,5.0,3.0,1.0,0
329602255,5.0,3.0,1.0,0
330602572,5.0,3.0,1.0,0
331602829,5.0,3.0,1.0,0
332602912,5.0,3.0,1.0,0
333603087,5.0,3.0,1.0,0
