timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
563139661,563110928,1,1,3,0,0,3,3,0,0,0,0,0,0,0
564155020,564126281,1,1,3,0,0,3,3,0,0,0,0,0,0,0
565170806,565141521,1,1,3,0,0,3,3,0,0,0,0,0,0,0
566186013,566158197,1,1,3,0,0,3,3,0,0,0,0,0,0,0
567209137,567182262,1,1,3,0,0,3,3,0,0,0,0,0,0,0
568224356,568196499,1,1,3,0,0,3,3,0,0,0,0,0,0,0
569240068,569210957,1,1,3,0,0,3,3,0,0,0,0,0,0,0
570263534,570236250,1,1,3,0,0,3,3,0,0,0,0,0,0,0
571283942,571254931,1,1,3,0,0,3,3,0,0,0,0,0,0,0
572284358,572263762,1,1,3,0,0,3,3,0,0,0,0,0,0,0
573292933,573272808,1,1,3,0,0,3,3,0,0,0,0,0,0,0
574299909,574278863,1,1,3,0,0,3,3,0,0,0,0,0,0,0
575304036,575283690,1,1,3,0,0,3,3,0,0,0,0,0,0,0
576323867,576303359,1,1,3,0,0,3,3,0,0,0,0,0,0,0
577330925,577310455,1,1,3,0,0,3,3,0,0,0,0,0,0,0
578347811,578325795,1,1,3,0,0,3,3,0,0,0,0,0,0,0
579351581,579330353,1,1,3,0,0,3,3,0,0,0,0,0,0,0
580368390,580346017,1,1,3,0,0,3,3,0,0,0,0,0,0,0
581372231,581349648,1,1,3,0,0,3,3,0,0,0,0,0,0,0
582379357,582357123,1,1,3,0,0,3,3,0,0,0,0,0,0,0
583381944,583361636,1,1,3,0,0,3,3,0,0,0,0,0,0,0
584398228,584377736,1,1,3,0,0,3,3,0,0,0,0,0,0,0
585407343,585383232,1,1,3,0,0,3,3,0,0,0,0,0,0,0
586412221,586391096,1,1,3,0,0,3,3,0,0,0,0,0,0,0
587420949,587398714,1,1,3,0,0,3,3,0,0,0,0,0,0,0
588425768,588404209,1,1,3,0,0,3,3,0,0,0,0,0,0,0
589432705,589412087,1,1,3,0,0,3,3,0,0,0,0,0,0,0
590445288,590423737,1,1,3,0,0,3,3,0,0,0,0,0,0,0
591453199,591432751,1,1,3,0,0,3,3,0,0,0,0,0,0,0
592465821,592445922,1,1,3,0,0,3,3,0,0,0,0,0,0,0
593486130,593464729,1,1,3,0,0,3,3,0,0,0,0,0,0,0
594497777,594475295,1,1,3,0,0,3,3,0,0,0,0,0,0,0
595520805,595496375,1,1,3,0,0,3,3,0,0,0,0,0,0,0
596538494,596518020,1,1,3,0,0,3,3,0,0,0,0,0,0,0
597544288,597522232,1,1,3,0,0,3,3,0,0,0,0,0,0,0
598550927,598530587,1,1,3,0,0,3,3,0,0,0,0,0,0,0
