timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
86563259,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.009906009,0.00021895244,0.961093,0.051365625,-0.014109306,6.622569,0.0,0.0,0.0,0.0008511846,-0.00023380664,-0.16234295
86573396,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.009897487,0.0002080664,0.94264996,0.04088154,0.004970762,6.5447855,0.0,0.0,0.0,0.00069345324,8.431657e-05,-0.16630882
86663200,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.00969377,0.00021000579,0.77947795,0.020006785,0.016830258,6.04949,0.0,0.0,0.0,0.00039204842,0.0003298019,-0.19156186
86763104,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.009475441,0.00026442183,0.5979174,0.010907264,0.037353292,5.477846,0.0,0.0,0.0,0.0002463313,0.00084359234,-0.22070758
86863494,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.009249035,0.00029344895,0.41548663,0.045021955,0.016661424,4.866246,0.0,0.0,0.0,0.0011563713,0.00042794214,-0.2518905
86963101,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.009030093,0.000376885,0.23447877,0.05624786,-0.012854973,4.197684,0.0,0.0,0.0,0.00164204,-0.00037527434,-0.2859777
87063436,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.008602267,0.00014155394,0.052157182,0.05310118,-0.010262732,3.5107427,0.0,0.0,0.0,0.0017376993,-0.0003358408,-0.32100195
87163227,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.007745717,-0.00011624992,-0.12919219,0.011627519,-0.05718595,2.7826502,0.0,0.0,0.0,0.00042459395,-0.0020882192,-0.35812432
87273551,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.0062587033,-0.00046597645,-0.3296933,0.008714994,0.021322802,1.9277437,0.0,0.0,0.0,0.00035974797,0.00088018813,-0.40171242
87363469,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,0.0040459344,-0.0008788675,-0.49294502,-0.051181354,-0.034510028,1.2942891,0.0,0.0,0.0,-0.0022638738,-0.0015264611,-0.4340096
87463349,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,-0.00035388133,-0.001620803,-0.6745454,-0.004224796,0.03230575,0.6439917,0.0,0.0,0.0,-0.00020170318,0.001542364,-0.46716556
87563661,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,-0.0062647336,-0.003322579,-0.85680217,-0.13051242,0.10422987,0.08716297,0.0,0.0,0.0,-0.006595327,0.005267162,-0.49555594
87663290,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,-0.014245584,-0.003420695,-0.95845395,-0.082533926,0.034736473,0.024075508,0.0,0.0,0.0,-0.0041995896,0.0017675027,-0.4987725
87763456,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,-0.023282642,-0.0025243233,-0.9214611,-0.16092625,0.16743545,0.6560006,0.0,0.0,0.0,-0.007655842,0.007965509,-0.46655327
87863700,0.06695725,0.08370211,-1.2006017,1.5179343,0.0,-0.03252974,0.0008123055,-0.8705604,-0.31693405,0.14949115,1.1016557,0.0,0.0,0.0,-0.014343381,0.006765472,-0.4438312
