timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
111364452,-0.2020988,0.17865327,-0.001181014,0.0,0.0,-0.0
111369466,-0.20210128,0.178644,-0.0011635773,0.0,0.0,-0.0
111384411,-0.20211965,0.17862344,-0.0011823889,0.0,0.0,-0.0
111409473,-0.2021676,0.17865124,-0.0011925935,0.0,0.0,-0.0
111424533,-0.20220535,0.17864506,-0.0011903583,0.0,0.0,-0.0
111444449,-0.20221914,0.1786622,-0.0011860648,0.0,0.0,-0.0
111464443,-0.20226637,0.17861035,-0.0011809494,0.0,0.0,-0.0
111484598,-0.20225862,0.17852885,-0.001184354,0.0,0.0,-0.0
111504518,-0.20217305,0.17852625,-0.0011541155,0.0,0.0,-0.0
111524491,-0.20210777,0.17853278,-0.0011968185,0.0,0.0,-0.0
111549499,-0.20202447,0.17848016,-0.0011771441,0.0,0.0,-0.0
111564587,-0.20204653,0.17864993,-0.001190798,0.0,0.0,-0.0
111584567,-0.20198794,0.17863853,-0.0011700629,0.0,0.0,-0.0
111604514,-0.20210063,0.17859341,-0.0011868759,0.0,0.0,-0.0
111624563,-0.202113,0.17856768,-0.0011447592,0.0,0.0,-0.0
111644583,-0.20223564,0.17856872,-0.0011752001,0.0,0.0,-0.0
111664586,-0.20229432,0.17862698,-0.0011939027,0.0,0.0,-0.0
111684585,-0.20230609,0.1786473,-0.001179412,0.0,0.0,-0.0
111704557,-0.20237413,0.17865327,-0.0011674112,0.0,0.0,-0.0
111724547,-0.20241143,0.17860736,-0.001179948,0.0,0.0,-0.0
111749563,-0.20247291,0.17860168,-0.0011867359,0.0,0.0,-0.0
111764602,-0.20250838,0.17864448,-0.0012068127,0.0,0.0,-0.0
111784582,-0.2024335,0.1787268,-0.0011907218,0.0,0.0,-0.0
111804675,-0.202481,0.17877053,-0.0011858963,0.0,0.0,-0.0
111824720,-0.20246316,0.17879665,-0.0011901192,0.0,0.0,-0.0
111844678,-0.20250605,0.17879319,-0.0011828196,0.0,0.0,-0.0
111864624,-0.20247412,0.17885457,-0.0011931863,0.0,0.0,-0.0
111884687,-0.20247835,0.17881459,-0.0011828785,0.0,0.0,-0.0
111904685,-0.20245028,0.17888406,-0.001200767,0.0,0.0,-0.0
111924703,-0.20246702,0.1788735,-0.0011912325,0.0,0.0,-0.0
111944704,-0.20254427,0.17884237,-0.001178983,0.0,0.0,-0.0
111969724,-0.20261095,0.17872842,-0.0011929404,0.0,0.0,-0.0
111984676,-0.20269985,0.17869693,-0.0011635118,0.0,0.0,-0.0
112004778,-0.2026858,0.17866498,-0.0011938649,0.0,0.0,-0.0
112024682,-0.20268807,0.17869969,-0.0011817795,0.0,0.0,-0.0
