timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
328248293,328247329,396825,-0.018613756,-0.30679095,0.20977314,3
328739075,328738109,396825,-0.020187212,-0.30575025,0.21338007,3
329250705,329249733,396825,-0.024766773,-0.304945,0.21418789,3
329741207,329740243,396825,-0.04724619,-0.30407655,0.19656056,3
330252926,330251959,396825,-0.030211512,-0.30874556,0.21750897,3
330742993,330742020,396825,-0.027129356,-0.30996883,0.2111557,3
331233712,331232732,396825,-0.029374067,-0.3107202,0.22310668,3
331745753,331744776,396825,-0.027782014,-0.3091699,0.21128832,3
332235924,332234947,396825,-0.027210878,-0.31090388,0.22024778,3
332747934,332746965,396825,-0.025751974,-0.3092332,0.21011028,3
333239041,333238073,396825,-0.05194214,-0.30135784,0.19081773,3
