timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
2090119383,1,0,165,177,100,39,39
2091152814,1,0,166,176,100,42,29
2092193518,1,0,166,177,100,37,32
2093119660,1,0,166,177,100,38,36
2094152663,1,0,166,177,97,34,45
2095218828,1,0,166,177,92,41,41
2096135301,1,0,166,177,96,37,35
2097172662,1,0,166,177,97,35,37
2098210072,1,0,165,177,100,37,36
2099133119,1,0,165,177,96,37,37
2100160235,1,0,165,177,96,36,36
2101221725,1,0,165,177,97,38,33
2102129660,1,0,165,176,100,36,33
2103172685,1,0,165,176,100,37,39
2104208060,1,0,165,177,97,38,34
2105132666,1,0,165,177,100,38,45
2106166765,1,0,165,176,97,40,36
2107212654,1,0,165,177,100,36,38
2108171676,1,0,165,177,100,39,32
2109178126,1,0,165,177,93,40,55
2110120865,1,0,165,177,100,37,36
2111149342,1,0,164,176,96,40,36
2112180709,1,0,164,176,100,38,34
2113120702,1,0,164,176,96,38,34
2114139694,1,0,165,176,100,38,50
2115177693,1,0,164,176,97,36,33
2116228769,1,0,164,176,95,36,36
2117148671,1,0,164,176,97,37,33
2118199819,1,0,164,176,100,41,39
2119129659,1,0,164,176,100,39,39
2120167035,1,0,165,176,100,38,38
2121197488,1,0,164,176,97,36,52
2122117513,1,0,164,176,100,40,32
2123165825,1,0,164,176,97,36,33
2124195683,1,0,163,174,98,39,38
2125125658,1,0,164,176,100,34,45
2126162661,1,0,165,177,97,39,45
2127196846,1,0,165,176,100,39,34
2128116263,1,0,164,176,100,38,46
2129177664,1,0,164,176,97,34,49
2130199660,1,0,165,176,100,37,39
2131116931,1,0,164,177,98,36,33
2132165662,1,0,164,177,100,39,42
2133201918,1,0,165,177,96,37,43
2134125848,1,0,164,175,100,39,35
2135163391,1,0,164,176,100,38,38
2136211784,1,0,164,175,100,37,36
2137142660,1,0,164,176,100,36,51
2138174912,1,0,164,176,97,42,44
2139212682,1,0,164,176,100,36,41
2140130661,1,0,164,174,98,34,35
2141184690,1,0,164,176,95,39,38
2142220664,1,0,164,175,100,37,36
2143127654,1,0,165,174,100,41,33
2144178663,1,0,164,176,98,36,44
2145211352,1,0,164,176,95,36,36
2146131769,1,0,163,175,97,34,42
2147177073,1,0,163,176,100,40,40
2148131698,1,0,163,175,97,36,29
2149134997,1,0,165,175,99,33,32
2150179957,1,0,165,176,100,37,35
2151118928,1,0,163,177,98,39,38
2152150793,1,0,164,175,100,34,41
2153183657,1,0,164,175,97,39,31
2154137499,1,0,164,175,100,36,37
2155147649,1,0,165,177,100,39,39
2156183724,1,0,164,176,97,36,35
2157126747,1,0,163,175,100,39,37
2158239698,1,0,164,175,96,41,35
2159189661,1,0,165,175,96,37,31
2160121781,1,0,164,175,97,38,33
2161170034,1,0,164,176,100,42,40
2162202752,1,0,164,176,100,39,33
2163119809,1,0,164,175,99,38,33
2164154652,1,0,163,176,100,36,36
2165202657,1,0,164,176,96,39,36
2166118052,1,0,165,176,97,38,36
2167157346,1,0,165,177,100,35,31
2168202660,1,0,164,177,97,40,44
2169118914,1,0,163,175,100,36,37
2170152750,1,0,164,174,100,41,38
2171215360,1,0,164,174,97,36,41
2172122659,1,0,164,175,100,38,39
2173156972,1,0,164,175,97,39,40
2174208659,1,0,164,175,100,37,41
2175142979,1,0,164,175,97,35,35
2176163680,1,0,164,175,100,38,41
2177108429,1,0,164,175,100,37,35
2178134714,1,0,164,176,97,37,40
2179181658,1,0,164,176,100,41,46
2180206888,1,0,163,175,98,38,34
2181126762,1,0,163,175,95,39,31
2182173659,1,0,163,175,100,36,38
2183227070,1,0,164,175,97,38,32
2184136445,1,0,164,176,96,42,51
2185166749,1,0,164,176,99,37,32
2186125661,1,0,164,176,100,41,32
2187139659,1,0,164,176,100,40,35
2188169659,1,0,164,176,97,40,32
2189211662,1,0,164,176,100,41,36
2190145860,1,0,164,176,97,39,32
2191175688,1,0,164,176,99,39,35
2192215665,1,0,164,176,100,38,34
2193151821,1,0,164,175,97,38,36
2194184656,1,0,164,176,93,35,36
2195221653,1,0,164,176,97,43,36
2196162718,1,0,164,176,100,37,47
2197188314,1,0,164,175,100,36,36
2198139691,1,0,163,175,100,35,33
2199165670,1,0,164,175,100,42,41
2200198657,1,0,164,176,97,34,42
2201117716,1,0,165,176,97,35,30
2202154731,1,0,165,176,97,40,34
2203207020,1,0,165,176,100,39,35
2204116157,1,0,165,177,100,38,37
2205158271,1,0,165,177,97,39,39
2206194673,1,0,165,177,100,38,33
2207114752,1,0,165,177,100,39,39
2208158687,1,0,165,177,100,40,35
2209202900,1,0,166,177,100,40,33
2210117041,1,0,166,176,99,43,34
2211158716,1,0,166,176,100,37,31
2212192657,1,0,165,175,100,36,51
2213111767,1,0,165,176,97,42,34
2214162657,1,0,165,176,100,40,36
2215196740,1,0,165,176,97,34,34
2216140660,1,0,165,176,100,40,33
2217198062,1,0,165,176,100,40,39
2218204708,1,0,165,176,100,42,31
2219128661,1,0,165,176,94,37,42
2220179989,1,0,165,176,100,36,42
2221227875,1,0,165,176,100,40,43
2222140659,1,0,165,176,98,43,34
2223182656,1,0,165,176,95,38,33
2224222660,1,0,165,176,97,39,34
2225138663,1,0,165,177,97,40,31
2226172698,1,0,165,177,96,38,35
2227209662,1,0,165,176,98,35,34
2228140660,1,0,165,176,97,38,33
2229182658,1,0,165,176,100,38,36
2230217659,1,0,165,176,100,37,33
2231147933,1,0,165,176,100,41,42
2232201653,1,0,165,176,95,39,37
2233215664,1,0,165,177,96,40,30
2234139666,1,0,165,177,100,38,32
2235189689,1,0,165,177,100,38,32
2236134891,1,0,165,177,100,40,39
2237146949,1,0,165,177,99,41,32
2238201658,1,0,165,177,100,41,32
2239124692,1,0,165,177,100,38,35
2240161652,1,0,165,177,95,39,36
2241210657,1,0,165,177,100,42,32
2242117715,1,0,165,177,99,39,32
2243154709,1,0,165,177,100,38,32
2244198891,1,0,165,176,96,35,49
2245125662,1,0,165,176,100,42,37
2246151698,1,0,165,177,100,36,39
2247204544,1,0,166,177,95,42,38
2248118091,1,0,166,177,100,39,37
2249156101,1,0,165,176,100,39,43
2250200659,1,0,165,176,100,40,30
2251142753,1,0,165,176,96,42,37
2252157664,1,0,165,177,98,36,46
2253200659,1,0,165,177,100,41,33
2254135715,1,0,165,177,100,37,45
2255161677,1,0,164,176,100,37,40
2256203660,1,0,164,176,100,38,32
2257144794,1,0,164,176,97,41,36
2258169091,1,0,165,176,96,37,32
2259227659,1,0,165,176,97,36,39
2260153657,1,0,165,176,100,39,33
2261187656,1,0,164,176,100,39,35
2262224655,1,0,164,176,99,39,36
2263144681,1,0,164,176,100,41,37
2264183678,1,0,164,176,96,41,53
2265220713,1,0,165,176,95,44,34
2266148382,1,0,165,176,100,36,35
2267188797,1,0,165,176,100,36,31
2268226870,1,0,165,176,97,41,35
2269145923,1,0,164,176,100,41,36
2270188658,1,0,166,176,100,40,34
2271230661,1,0,165,178,97,39,39
2272146992,1,0,164,177,100,38,30
2273178704,1,0,164,176,100,36,31
2274126745,1,0,164,175,97,43,32
2275144659,1,0,164,176,100,40,34
2276181690,1,0,166,177,100,37,32
2277123660,1,0,165,176,100,35,32
2278168676,1,0,164,176,100,40,39
2279188680,1,0,164,175,97,38,40
2280111664,1,0,164,176,98,39,38
2281164655,1,0,165,176,100,37,33
2282203793,1,0,165,177,97,38,35
2283115704,1,0,165,177,97,40,33
2284153651,1,0,164,175,99,41,37
2285197084,1,0,165,176,98,41,33
2286121700,1,0,165,176,100,37,33
2287164668,1,0,165,176,100,38,42
2288193656,1,0,164,177,100,40,35
2289139755,1,0,165,177,95,37,44
2290163060,1,0,164,177,97,40,32
2291198815,1,0,164,175,100,39,33
2292128142,1,0,164,175,97,38,31
2293173035,1,0,165,176,100,38,31
2294115652,1,0,165,177,100,37,51
2295140530,1,0,165,176,100,39,31
2296175696,1,0,165,176,97,38,38
2297122722,1,0,164,175,100,39,37
2298142823,1,0,165,176,98,35,37
2299183655,1,0,165,176,97,40,31
2300208665,1,0,165,177,96,39,34
2301131661,1,0,164,176,96,38,42
2302193656,1,0,164,175,100,35,43
2303223659,1,0,164,176,100,41,39
2304138963,1,0,164,176,97,34,37
2305181653,1,0,165,177,100,36,41
2306224656,1,0,165,177,96,41,38
2307140686,1,0,164,175,100,38,37
2308200652,1,0,164,175,96,38,31
2309227656,1,0,164,176,100,38,33
2310138658,1,0,164,176,100,37,33
2311186746,1,0,164,177,97,38,49
2312127694,1,0,165,177,96,38,34
2313142195,1,0,164,176,100,39,35
2314186761,1,0,164,174,100,40,37
2315117719,1,0,165,176,96,37,33
2316161659,1,0,164,175,97,38,36
2317190655,1,0,164,176,100,37,33
2318130679,1,0,164,176,100,39,38
2319164892,1,0,164,176,100,34,36
2320209269,1,0,164,176,97,43,41
2321135747,1,0,164,177,96,38,44
2322156323,1,0,165,176,99,40,47
2323204747,1,0,165,177,99,38,41
2324133660,1,0,164,178,100,38,45
2325155663,1,0,164,175,96,37,33
2326197688,1,0,164,175,97,41,37
2327160664,1,0,164,175,100,39,45
2328166770,1,0,165,177,100,36,44
2329206738,1,0,165,177,97,37,51
2330131661,1,0,164,176,100,39,43
2331166770,1,0,164,176,96,36,34
2332211662,1,0,164,176,100,40,39
2333130658,1,0,164,176,100,34,32
2334171691,1,0,165,177,100,38,50
2335114664,1,0,164,176,100,38,34
2336136881,1,0,164,175,97,38,36
2337178657,1,0,164,176,100,41,37
2338120661,1,0,164,176,97,37,40
2339165709,1,0,165,176,100,41,46
2340186806,1,0,165,177,100,41,39
2341234659,1,0,165,176,97,36,37
2342145748,1,0,164,176,98,38,38
2343175736,1,0,164,176,97,40,41
2344235562,1,0,164,176,100,40,37
2345139346,1,0,165,175,100,41,30
2346187391,1,0,164,177,97,38,37
2347225599,1,0,164,176,98,40,34
2348141662,1,0,164,175,100,36,33
2349178664,1,0,164,176,100,41,33
2350115691,1,0,164,176,100,39,51
2351149481,1,0,165,176,97,42,31
2352188066,1,0,164,177,100,36,30
2353115682,1,0,164,176,100,37,46
2354149328,1,0,164,176,96,41,45
2355186231,1,0,164,176,100,38,40
2356134388,1,0,164,176,100,34,35
2357161843,1,0,165,177,100,37,50
2358205656,1,0,165,176,97,41,34
2359138655,1,0,164,176,100,37,36
2360176369,1,0,164,176,99,39,39
2361204659,1,0,164,175,100,38,34
2362121666,1,0,164,175,100,37,48
2363174327,1,0,164,176,96,38,46
2364199255,1,0,164,176,94,36,34
2365130653,1,0,164,176,100,41,36
2366175655,1,0,164,176,100,40,37
2367203769,1,0,164,176,97,36,33
2368121660,1,0,164,176,100,40,35
2369174687,1,0,165,176,100,40,34
2370205673,1,0,165,175,100,36,30
2371123107,1,0,164,175,96,35,35
2372164706,1,0,164,176,100,41,35
2373223688,1,0,164,176,95,39,34
2374124661,1,0,165,175,100,42,32
2375167687,1,0,165,176,100,36,33
2376112929,1,0,165,176,100,40,40
2377149656,1,0,165,176,100,35,46
2378175696,1,0,165,176,97,42,38
2379109115,1,0,165,176,97,37,34
2380142658,1,0,165,176,100,41,43
2381193976,1,0,165,176,97,36,44
2382112815,1,0,164,176,99,39,32
2383135758,1,0,164,176,99,38,30
2384188593,1,0,165,176,98,40,31
2385116979,1,0,165,175,100,37,31
2386144669,1,0,165,175,100,40,33
2387185656,1,0,165,176,100,40,34
2388124667,1,0,165,176,97,38,34
2389143657,1,0,165,176,97,41,34
2390188704,1,0,165,176,98,35,36
2391128696,1,0,165,176,100,37,38
2392162701,1,0,165,176,96,38,35
2393194640,1,0,165,177,100,36,37
2394132788,1,0,165,176,100,43,37
2395157677,1,0,165,176,99,39,31
2396193800,1,0,165,176,98,40,39
2397136161,1,0,165,176,100,38,49
2398177173,1,0,165,176,100,34,35
2399204755,1,0,165,176,100,37,36
2400124666,1,0,165,176,96,38,37
2401174662,1,0,165,176,100,41,39
2402213658,1,0,164,176,97,38,48
2403116897,1,0,165,176,97,41,34
2404165682,1,0,165,177,100,38,37
2405220532,1,0,165,176,98,43,47
2406128663,1,0,165,176,100,39,33
2407169103,1,0,165,176,100,39,39
2408220672,1,0,165,176,100,33,31
2409132786,1,0,165,177,100,42,53
2410167239,1,0,165,177,98,38,33
2411228655,1,0,165,177,97,37,35
2412134663,1,0,165,177,100,37,35
2413168660,1,0,165,177,100,37,41
2414116132,1,0,165,177,100,34,38
2415156773,1,0,164,177,97,44,37
2416172662,1,0,165,177,100,41,37
2417115661,1,0,164,176,100,42,37
2418154661,1,0,164,176,97,40,38
2419198345,1,0,164,176,98,40,32
2420116798,1,0,164,176,96,40,30
2421149663,1,0,164,176,94,41,39
2422190900,1,0,164,176,98,38,33
2423119739,1,0,164,176,100,40,35
2424153690,1,0,164,176,97,40,36
2425189665,1,0,164,176,99,35,43
2426123659,1,0,165,176,100,37,31
