timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
283050526,283049447,1.400517e-10,8.7126355e-06,0.00021385222,0.00020170276,0.00044473092,0.00044423068,67129363,0,0.04285018,0.029268337,0.016630778,nan,0.009131997,0.0008197237,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
283250203,283249465,1.359346e-10,8.468514e-06,0.00020730178,0.00015145441,0.0002991246,0.00027188341,67129363,0,0.044495948,0.03031465,0.07062764,nan,0.008865833,0.0008499288,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
283450398,283449517,1.3246639e-10,8.3877985e-06,0.000249926,0.00017900109,0.00026801447,0.00025028136,67129363,0,0.04405382,0.03003466,0.023808569,nan,0.008957887,0.00076550455,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
283650414,283649563,1.3419338e-10,8.436383e-06,0.000248059,0.00015080144,0.00023327617,0.00022122379,67129363,0,0.043661963,0.029784814,0.028342335,nan,0.009222772,0.000104080864,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
283850504,283849648,1.4768434e-10,8.988503e-06,0.00025701176,0.00024150057,0.0003192844,0.00031359898,67129363,0,0.043231245,0.029511964,0.030269373,nan,0.009207608,0.000551915,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
284050791,284049661,1.4946964e-10,8.7475355e-06,0.00023669595,0.00026686167,0.00045487902,0.0004741382,67129363,0,0.042815354,0.029247712,0.00039826523,nan,0.0090997135,0.0009948196,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
284250710,284249708,1.3840157e-10,8.38464e-06,0.00022097985,0.00030886297,0.00056173786,0.00061836594,67129363,0,0.04245837,0.029018287,0.041660413,nan,0.008887732,0.0013823342,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
284450458,284449755,1.4076346e-10,8.576016e-06,0.00022121055,0.00020870045,0.00047681408,0.00059591356,67129363,0,0.044100422,0.030062066,0.016475936,nan,0.008824644,0.0014754273,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
284650747,284649803,1.4026162e-10,8.274125e-06,0.00020927667,0.00022907158,0.0005045456,0.0006569667,67129363,0,0.043691866,0.02980306,0.022801138,nan,0.008841229,0.0015361531,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
284850663,284849853,1.2861391e-10,8.083629e-06,0.00020725586,0.00022120083,0.0005537223,0.0007115807,67129363,0,0.04324879,0.029523207,0.017810151,nan,0.008962386,0.0015800117,0.0,0.0,0.0,0.0,3932170,3932170,3997730,396825,0,0,895,1,1,2,1,2,0,0,0,0,0,0,0
