timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
85727191,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
85746732,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
85809708,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
85939723,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
85980463,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86069731,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86219528,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86325698,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86430115,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86535639,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86557069,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86721972,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86825435,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86929553,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
86970519,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87120182,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87243895,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87263951,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87433875,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87536976,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87625818,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87729743,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87835226,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
87944483,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88031938,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88136967,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88180286,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88329776,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88370286,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88541319,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88629809,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88738597,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88842186,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
88884145,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89034100,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89137103,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89222205,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89326443,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89435611,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89541145,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89560930,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89717396,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89840510,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
89904340,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90030952,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90136145,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90241939,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90322422,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90428887,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90534391,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90556096,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90735239,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90831196,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90936408,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
90957441,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91104695,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91230256,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91291441,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91420284,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91526471,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91631323,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91717658,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91762632,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
91887705,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92036273,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92140330,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92225944,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92311887,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92420404,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92521451,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92627658,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92731389,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
92816455,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
