timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
85609524,85607076,3932170,7997.867,7.810417,nan,nan,nan,nan,46.862503,nan,nan,nan,46.862503,93.725006,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,305.0,149.0,178.0
85869058,85867117,3932170,7997.867,7.810417,46.862503,nan,nan,nan,46.862503,nan,nan,nan,46.862503,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,297.0,149.0,180.0
85870391,85869621,3932170,7997.867,7.810417,46.862503,nan,nan,nan,54.67292,70.34862,nan,nan,42.8677,69.57475,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,10.0,10.0,nan,nan,297.0,149.0,191.0
85902062,85899625,3932170,7997.867,7.810417,nan,nan,nan,nan,71.013176,nan,nan,nan,42.8677,69.57475,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,288.0,170.0,191.0
85968235,85964692,3932170,7997.867,7.810417,39.052086,nan,nan,nan,70.002304,117.15626,nan,nan,51.057735,63.202343,nan,nan,16.0,nan,nan,nan,37.0,10.0,nan,nan,17.0,10.0,nan,nan,320.0,192.0,190.0
86000853,85997136,3932170,7997.867,7.810417,46.862503,63.354816,85.25046,nan,69.39725,64.33352,140.53264,nan,53.801437,nan,nan,nan,16.0,16.0,10.0,nan,25.0,10.0,10.0,nan,16.0,nan,nan,nan,340.0,186.0,205.0
86061862,86060896,3932170,7997.867,7.810417,63.202343,nan,nan,nan,54.67292,179.63959,nan,nan,39.052086,109.34584,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,17.0,10.0,nan,nan,300.0,171.0,219.0
86095369,86093400,3932170,7997.867,7.810417,55.110516,70.639496,nan,nan,70.61548,39.052086,nan,nan,187.45001,nan,nan,nan,17.0,10.0,nan,nan,13.0,10.0,nan,nan,10.0,nan,nan,nan,345.0,195.0,243.0
86159380,86157159,3932170,7997.867,7.810417,54.660652,139.92337,nan,nan,54.635414,63.020126,164.07362,nan,54.67292,nan,nan,nan,17.0,10.0,nan,nan,20.0,20.0,10.0,nan,10.0,nan,nan,nan,378.0,216.0,308.0
86221935,86218416,3932170,7997.867,7.810417,34.787437,62.625114,87.77942,nan,62.94988,44.910053,69.33693,nan,39.052086,48.533737,125.630806,nan,26.0,17.0,10.0,nan,32.0,17.0,13.0,nan,16.0,10.0,10.0,nan,366.0,225.0,297.0
86255552,86253424,3932170,7997.867,7.810417,63.28903,nan,nan,nan,38.724495,70.56876,nan,nan,37.151814,nan,nan,nan,17.0,nan,nan,nan,20.0,17.0,nan,nan,52.0,nan,nan,nan,394.0,235.0,663.0
86317146,86315969,3932170,7997.867,7.810417,69.51079,85.03265,nan,nan,46.568962,61.66661,70.56876,nan,37.565132,55.521393,nan,nan,37.0,25.0,nan,nan,37.0,25.0,17.0,nan,52.0,16.0,nan,nan,465.0,263.0,842.0
86354005,86349690,3932170,7997.867,7.810417,85.09844,54.915737,70.293755,nan,54.4002,52.680073,63.90435,nan,38.454327,54.67292,nan,nan,58.0,52.0,49.0,nan,36.0,26.0,25.0,nan,20.0,16.0,nan,nan,533.0,269.0,530.0
86416717,86413448,3932170,7997.867,7.810417,48.243645,60.911724,78.117,nan,54.587975,47.997116,nan,nan,45.051468,54.67292,nan,nan,101.0,65.0,17.0,nan,100.0,20.0,nan,nan,10.0,10.0,nan,nan,542.0,290.0,413.0
86448411,86444706,3932170,7997.867,7.810417,54.80213,60.0842,93.12313,nan,54.919594,61.329113,nan,nan,45.051468,54.67292,nan,nan,170.0,37.0,18.0,nan,157.0,26.0,nan,nan,10.0,10.0,nan,nan,674.0,345.0,413.0
86511885,86509712,3932170,7997.867,7.810417,62.10388,67.84064,78.09796,nan,60.879967,49.261517,61.488884,140.58751,45.99102,35.457893,nan,nan,244.0,74.0,29.0,nan,200.0,50.0,13.0,10.0,16.0,10.0,nan,nan,962.0,577.0,332.0
