timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
280518813,-0.0031332504,6.715426e-05,0.0007207461,4998,0,-0.26522586,-0.28684318,-9.768902,4998,0
280523814,-0.0032330116,0.0012060696,0.0013228906,5001,0,-0.27098238,-0.28392613,-9.779696,5001,0
280528817,-0.004800203,0.0014585225,-0.0011466545,5003,0,-0.2510682,-0.26611298,-9.76508,5003,0
280533820,-0.003295496,0.00037884223,-0.00012055562,5003,0,-0.27730435,-0.28250155,-9.788936,5003,0
280538817,-0.004119182,0.00021994262,0.0004622539,4997,0,-0.26699317,-0.28981343,-9.791414,4997,0
280543821,-0.004041173,0.000813606,-0.00055566966,5004,0,-0.26585862,-0.28108776,-9.781715,5004,0
280548823,-0.0041285576,0.0013482289,-0.00027098355,5002,0,-0.26977918,-0.28684568,-9.784152,5002,0
280553825,-0.004733956,0.00023237486,-6.022559e-05,5002,0,-0.2812543,-0.29317275,-9.770041,5002,0
280558823,-0.0042491634,-0.0005269197,0.00097072683,4998,0,-0.27521732,-0.29297447,-9.751696,4998,0
280563826,-0.0039844424,0.0006224976,6.273139e-05,5003,0,-0.26921496,-0.30323815,-9.766844,5003,0
280568837,-0.0047669783,-0.00022335684,-0.0006670712,5011,0,-0.273568,-0.26065373,-9.775879,5011,0
280573874,-0.0034811173,-0.00032929986,-0.0011501511,5037,0,-0.25379142,-0.29009533,-9.763439,5037,0
280578829,-0.0030063456,-0.00044464902,-0.00041354922,4955,0,-0.26221853,-0.31112394,-9.773054,4955,0
280583871,-0.0043078335,0.0011472113,-0.00011690121,5042,0,-0.26444584,-0.28248623,-9.771569,5042,0
280588830,-0.0027027982,0.00046254232,0.0005710249,4959,0,-0.26257798,-0.26936287,-9.8046,4959,0
280593834,-0.0034941789,0.001277738,0.0005526813,5004,0,-0.22667441,-0.2687499,-9.790391,5004,0
280598833,-0.004112257,0.0016870782,0.00037035564,4999,0,-0.2500064,-0.29309464,-9.791554,4999,0
280603836,-0.0021830064,-9.643826e-05,0.00080280687,5003,0,-0.27397648,-0.26776022,-9.777665,5003,0
280608836,-0.0033804902,0.0012707238,-0.00044012096,5000,0,-0.2669667,-0.27786696,-9.777453,5000,0
280613835,-0.0039646486,0.0013321018,-0.0003768079,4999,0,-0.26450548,-0.25742072,-9.79104,4999,0
280618837,-0.0038812957,0.00049658975,0.001791103,5002,0,-0.26496,-0.24742992,-9.77757,5002,0
280623841,-0.0029354736,0.0010314377,-0.0003498126,5004,0,-0.26365694,-0.26673168,-9.7896385,5004,0
280628844,-0.0039584218,0.0005406321,0.00043417633,5003,0,-0.26633874,-0.29006237,-9.795817,5003,0
280633845,-0.004043028,0.00012722622,-0.00076891383,5001,0,-0.26096964,-0.27409032,-9.792426,5001,0
280638844,-0.004039003,-0.0006420229,0.0011719896,4999,0,-0.2706235,-0.2713131,-9.786778,4999,0
280643842,-0.003921115,-5.7476358e-05,-0.00027077683,4998,0,-0.26203167,-0.26510683,-9.775359,4998,0
280648847,-0.003902996,0.0013266101,-4.642182e-05,5005,0,-0.25594744,-0.29573694,-9.780698,5005,0
280653846,-0.004044367,0.00042547146,-0.0005993003,4999,0,-0.27356833,-0.2798527,-9.790297,4999,0
280658846,-0.0048471987,0.0005305592,0.00016589044,5000,0,-0.27036437,-0.29712424,-9.798081,5000,0
280663848,-0.005878906,-0.00014426273,0.0003511574,5002,0,-0.2535914,-0.25209147,-9.78694,5002,0
280668851,-0.0037394415,-0.0005307714,-0.00046895008,5003,0,-0.25159138,-0.2793627,-9.785842,5003,0
280673854,-0.003528633,0.00048413064,0.0012162165,5003,0,-0.27045843,-0.28287256,-9.76836,5003,0
280678851,-0.0051980303,0.000626963,1.0924975e-05,4997,0,-0.25674793,-0.30735582,-9.785474,4997,0
280683855,-0.005059716,-0.0005667352,-0.0008288229,5004,0,-0.23485285,-0.30118448,-9.771528,5004,0
280688879,-0.0045849183,0.0013994757,0.0008812557,5024,0,-0.25446087,-0.27550542,-9.767675,5024,0
280693860,-0.004656307,0.0013604963,0.002022391,4981,0,-0.24956079,-0.28017744,-9.760941,4981,0
280698863,-0.00465413,-0.0002248814,0.0010577854,5003,0,-0.26971623,-0.27556008,-9.776404,5003,0
280703858,-0.0035765166,0.00022840871,-0.002534101,4995,0,-0.2770325,-0.28141847,-9.774835,4995,0
280708861,-0.0045920983,0.0002849335,-0.0006390928,5003,0,-0.24828786,-0.29232514,-9.773664,5003,0
280713859,-0.0039454517,0.001356733,-0.0014453856,4998,0,-0.28316694,-0.29541492,-9.751263,4998,0
280718864,-0.0047463216,-0.00066365255,-0.000429518,5005,0,-0.2658167,-0.29739466,-9.788181,5005,0
280723861,-0.0037431384,-0.00062956836,9.183223e-05,4997,0,-0.24497592,-0.28993857,-9.787549,4997,0
280728863,-0.00424975,6.5525e-06,-0.00058804324,5002,0,-0.25303546,-0.2780897,-9.79709,5002,0
280733874,-0.0052709733,-0.00018915907,-0.0008847342,5011,0,-0.2685072,-0.27979708,-9.7661295,5011,0
280738870,-0.005022059,0.0017267305,0.0005586447,4996,0,-0.26330784,-0.28693604,-9.792782,4996,0
