timestamp,saturation_status
564064522,1533
564086398,1533
565076603,1533
566077860,1533
567077227,1533
568069029,1533
569083723,1533
570072405,1533
571078361,1533
572072961,1533
573084934,1333
574072533,1
575070185,1
576070208,1
577080558,1
578072899,1
579081313,1
580076851,1
581072213,1
582063779,1
583067487,1
584077411,1
585081837,1
586079187,1
587067960,1
588069593,1
589078001,1
590084731,1
591075062,1
592068820,1
593082830,1533
594073133,1533
595073440,1533
596075253,1533
597085580,1533
598071568,1533
599069775,1533
