timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
85726752,85726752,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
85746286,85746286,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
86239310,86239310,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
86721484,86721484,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
87243394,87243394,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
87729235,87729235,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
88220834,88220834,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
88738110,88738110,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
89221769,89221769,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
89730532,89730532,39,0,0,0,1500,1497,1065,1500,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
90241378,90241378,39,0,0,0,1501,1497,1065,1500,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
90734781,90734781,39,0,0,0,1500,1496,1065,1500,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
91229795,91229795,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
91717137,91717137,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
92225462,92225462,39,0,0,0,1500,1497,1065,1500,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
92730957,92730957,39,0,0,0,1502,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
93240583,93240583,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
93723005,93723005,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
94236159,94236159,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
94724532,94724532,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
95227734,95227734,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
95730454,95730454,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
96239399,96239399,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
96724908,96724908,39,0,0,0,1501,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
97226861,97226861,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
97736702,97736702,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
98235366,98235366,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
98728180,98728180,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
99229759,99229759,39,0,0,0,1500,1496,1065,1500,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
99739842,99739842,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
100226915,100226915,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
100739013,100739013,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
101226908,101226908,39,0,0,0,1501,1496,1065,1500,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
101728658,101728658,39,0,0,0,1500,1496,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
102237497,102237497,39,0,0,0,1500,1497,1065,1498,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
102727580,102727580,39,0,0,0,1500,1497,1065,1499,1065,1067,1065,1067,1065,1065,1065,1933,1514,1514,1514,1514,998,998,18,0,0,4
