timestamp,main_state_changes,main_state
85705125,2,7
86211702,2,7
86715741,2,7
87218935,2,7
87723718,2,7
88228703,2,7
88734218,2,7
89244890,2,7
89755766,2,7
90265709,2,7
90765893,2,7
91266762,2,7
91769764,2,7
92278729,2,7
92787933,2,7
93288991,2,7
93790853,2,7
94299748,2,7
94800858,2,7
95304835,2,7
95805865,2,7
96313742,2,7
96826424,2,7
97336536,2,7
97846821,2,7
98347049,2,7
98858776,2,7
99360194,2,7
99870089,2,7
100371735,2,7
100873991,2,7
101381802,2,7
101886712,2,7
102396711,2,7
102906849,2,7
103414867,2,7
103924705,2,7
104426705,2,7
104926974,2,7
105436871,2,7
105941194,2,7
106451706,2,7
106959802,2,7
107463765,2,7
107972725,2,7
108481703,2,7
108981830,2,7
109491752,2,7
109991766,2,7
110492346,2,7
110993707,2,7
111494829,2,7
111999056,2,7
112501266,2,7
113004831,2,7
113509700,2,7
114010091,2,7
114511744,2,7
115018771,2,7
115529775,2,7
116039810,2,7
116540039,2,7
117052071,2,7
117564055,2,7
118064775,2,7
118569912,2,7
119070830,2,7
119573130,2,7
120083726,2,7
120591960,2,7
121092410,2,7
121594776,2,7
122105829,2,7
122616065,2,7
123127170,2,7
123627743,2,7
124127997,2,7
124630897,2,7
125134731,2,7
125645907,2,7
126152170,2,7
126653381,2,7
127161702,2,7
127661804,2,7
128164945,2,7
128673714,2,7
129175042,2,7
129675964,2,7
130185704,2,7
130687702,2,7
131193790,2,7
131696773,2,7
132201713,2,7
132710934,2,7
133218699,2,7
133725077,2,7
134234702,2,7
134745745,2,7
135248913,2,7
135753864,2,7
136259205,2,7
136766735,2,7
137268704,2,7
137772576,2,7
138272765,2,7
138773718,2,7
139273850,2,7
139775698,2,7
140276931,2,7
140788028,2,7
141288335,2,7
141798738,2,7
142303082,2,7
142807124,2,7
143309755,2,7
143817778,2,7
144326715,2,7
144826925,2,7
145336720,2,7
145845713,2,7
146347979,2,7
146858903,2,7
147369708,2,7
147875824,2,7
148377070,2,7
148887708,2,7
149398459,2,7
149899699,2,7
150409938,2,7
150911041,2,7
151411699,2,7
151912707,2,7
152416725,2,7
152925871,2,7
153429415,2,7
153930818,2,7
154437827,2,7
154938767,2,7
155446160,2,7
155957035,2,7
156461039,2,7
156962778,2,7
157467314,2,7
157976738,2,7
158478724,2,7
158986059,2,7
159487709,2,7
159990098,2,7
160500905,2,7
161011018,2,7
161511769,2,7
162013068,2,7
162523181,2,7
163023803,2,7
163529737,2,7
164041266,2,7
164541258,2,7
165042321,2,7
165543757,2,7
166052724,2,7
166556727,2,7
167056973,2,7
167565773,2,7
168069700,2,7
168579899,3,11
169090847,3,11
169558701,3,11
170062924,3,11
170568702,3,11
171069549,3,11
171579722,3,11
172080956,3,11
172580992,3,11
173088821,3,11
173594078,3,11
173605015,3,11
174109160,3,11
