timestamp,safety_switch_available,safety_off,override_available,override_enabled
111310195,1,1,0,0
112328911,1,1,0,0
113338081,1,1,0,0
114351274,1,1,0,0
115358918,1,1,0,0
116369231,1,1,0,0
117379608,1,1,0,0
118383759,1,1,0,0
119400358,1,1,0,0
120409486,1,1,0,0
121421121,1,1,0,0
122434468,1,1,0,0
123444760,1,1,0,0
124462346,1,1,0,0
125476666,1,1,0,0
126491414,1,1,0,0
127506445,1,1,0,0
128520181,1,1,0,0
129525591,1,1,0,0
130537712,1,1,0,0
131548851,1,1,0,0
132551768,1,1,0,0
133564734,1,1,0,0
134572554,1,1,0,0
135581644,1,1,0,0
136587028,1,1,0,0
137606683,1,1,0,0
138620656,1,1,0,0
139626982,1,1,0,0
140647382,1,1,0,0
141665357,1,1,0,0
142675729,1,1,0,0
143676423,1,1,0,0
144696651,1,1,0,0
145708974,1,1,0,0
146721217,1,1,0,0
147739786,1,1,0,0
148750333,1,1,0,0
149762240,1,1,0,0
150775489,1,1,0,0
151785801,1,1,0,0
152788621,1,1,0,0
153803857,1,1,0,0
154814403,1,1,0,0
155823387,1,1,0,0
156830552,1,1,0,0
157839205,1,1,0,0
158851384,1,1,0,0
159866504,1,1,0,0
160872926,1,1,0,0
161880818,1,1,0,0
162888666,1,1,0,0
163908037,1,1,0,0
164914477,1,1,0,0
165933586,1,1,0,0
166941845,1,1,0,0
167952206,1,1,0,0
168968862,1,1,0,0
169979400,1,1,0,0
170995514,1,1,0,0
171999137,1,1,0,0
173001466,1,1,0,0
174013021,1,1,0,0
175017127,1,1,0,0
176026246,1,1,0,0
177032825,1,1,0,0
178038213,1,1,0,0
179039926,1,1,0,0
180047714,1,1,0,0
181062559,1,1,0,0
182078543,1,1,0,0
