timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
280111537,280109965,3932170,7997.867,7.810417,nan,nan,nan,nan,101.53542,nan,nan,nan,46.862503,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,295.0,176.0,192.0
280352974,280350025,3932170,7997.867,7.810417,54.67292,133.44122,nan,nan,125.28507,nan,nan,nan,46.862503,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,329.0,146.0,192.0
280381167,280380033,3932170,7997.867,7.810417,45.77089,40.1437,132.72223,nan,125.28507,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,nan,nan,nan,nan,293.0,146.0,168.0
280416270,280413790,3932170,7997.867,7.810417,32.333282,54.67292,nan,nan,140.53264,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,309.0,163.0,175.0
280451342,280447546,3932170,7997.867,7.810417,46.862503,35.403023,nan,nan,nan,nan,nan,nan,46.862503,78.87739,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,17.0,10.0,nan,nan,310.0,164.0,219.0
280482286,280478806,3932170,7997.867,7.810417,53.801437,147.67892,nan,nan,nan,nan,nan,nan,164.01877,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,315.0,156.0,175.0
280545829,280542568,3932170,7997.867,7.810417,47.733986,nan,nan,nan,156.20834,179.61569,nan,nan,40.720097,60.530888,70.293755,nan,16.0,nan,nan,nan,10.0,10.0,nan,nan,17.0,17.0,16.0,nan,348.0,147.0,217.0
280578112,280575076,3932170,7997.867,7.810417,46.862503,163.9639,nan,nan,55.391926,164.01877,nan,nan,54.67292,93.725006,nan,nan,16.0,10.0,nan,nan,10.0,10.0,nan,nan,16.0,10.0,nan,nan,328.0,152.0,193.0
280642074,280638844,3932170,7997.867,7.810417,124.30254,nan,nan,nan,nan,nan,nan,nan,164.01877,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,320.0,143.0,159.0
280705033,280701356,3932170,7997.867,7.810417,171.16504,nan,nan,nan,39.052086,nan,nan,nan,46.862503,125.02154,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,326.0,152.0,187.0
