timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
280050475,280048598,4325386,0.002977009,0.004208014,-0.00053386245,0.34906584,1.8390777e-09,1.8415235e-09,3.3316667e-09,4259850,-0.004230633,0.11204317,-0.021788718,0.4,1.5058276e-05,1.5058966e-05,5.0265116e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
280328594,280328231,4325386,0.002947893,0.0041667474,-0.0005202686,0.34906584,1.8266884e-09,1.8291083e-09,3.2999032e-09,4259850,-0.004189941,0.110965505,-0.0215151,0.4,1.4913441e-05,1.4914123e-05,4.9781916e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
281046077,281045474,4325386,0.0029697672,0.004201257,-0.0005202264,0.34906584,1.8380358e-09,1.8405127e-09,3.3297092e-09,4259850,-0.0042270124,0.11194729,-0.021786602,0.4,1.5045391e-05,1.5046078e-05,5.02221e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
281208351,281207723,4325386,0.0029373413,0.004156715,-0.00051484216,0.34906584,1.8230069e-09,1.8254505e-09,3.292345e-09,4259850,-0.0041823336,0.11076402,-0.021601792,0.4,1.4886363e-05,1.4887043e-05,4.9691616e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
281298697,281298011,4325386,0.002962555,0.0041938475,-0.0005172899,0.34906584,1.8354095e-09,1.837887e-09,3.3222287e-09,4259850,-0.0042197136,0.11175398,-0.021845222,0.4,1.501941e-05,1.5020097e-05,5.0135377e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
282218866,282218305,4325386,0.0029248325,0.004151173,-0.00050396635,0.34906584,1.8159533e-09,1.818428e-09,3.2882421e-09,4259850,-0.004176223,0.1106022,-0.021895852,0.4,1.4864614e-05,1.4865293e-05,4.961866e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
282400922,282398464,4325386,0.0029500327,0.004188642,-0.00050323864,0.34906584,1.8335684e-09,1.8360664e-09,3.3185488e-09,4259850,-0.0042135133,0.111589774,-0.022111805,0.4,1.4997342e-05,1.4998028e-05,5.0061894e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
282990414,282989252,4325386,0.0029195198,0.0041492195,-0.00048732047,0.34906584,1.8162076e-09,1.8186794e-09,3.2858696e-09,4259850,-0.0041729175,0.11051465,-0.021885762,0.4,1.4852848e-05,1.4853527e-05,4.957956e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
283125812,283124713,4325386,0.0029480301,0.004190327,-0.00049490226,0.34906584,1.8314862e-09,1.8339846e-09,3.3175171e-09,4259850,-0.004214278,0.11161003,-0.022091465,0.4,1.5000064e-05,1.500075e-05,5.00708e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
284906579,284906094,4325386,0.002922175,0.004151302,-0.0004882815,0.34906584,1.8203592e-09,1.8228254e-09,3.2924747e-09,4259850,-0.0041812058,0.11073415,-0.021398969,0.4,1.4882348e-05,1.4883029e-05,4.9678124e-06,396825,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
