timestamp,safety_switch_available,safety_off,override_available,override_enabled
563771593,1,1,0,0
564780919,1,1,0,0
565784958,1,1,0,0
566795336,1,1,0,0
567812117,1,1,0,0
568826995,1,1,0,0
569843552,1,1,0,0
570846647,1,1,0,0
571860490,1,1,0,0
572873307,1,1,0,0
573883626,1,1,0,0
574895282,1,1,0,0
575915532,1,1,0,0
576928645,1,1,0,0
577944931,1,1,0,0
578951509,1,1,0,0
579952345,1,1,0,0
580963549,1,1,0,0
581980311,1,1,0,0
582983634,1,1,0,0
583991874,1,1,0,0
584994880,1,1,0,0
586012559,1,1,0,0
587024177,1,1,0,0
588027487,1,1,0,0
589032573,1,1,0,0
590040157,1,1,0,0
591053243,1,1,0,0
592065808,1,1,0,0
593081111,1,1,0,0
594094197,1,1,0,0
595112269,1,1,0,0
596115884,1,1,0,0
597123721,1,1,0,0
598132744,1,1,0,0
