timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
280250963,63.95508,62152.652,0,38,13945,65536,0,3,239
281254108,117.86133,117.37142,0,38,8251,65536,0,3,239
282254340,159.81152,79.73007,0,38,6259,65536,0,3,239
283255321,200.11133,66.58421,0,38,5986,65536,0,3,239
284256337,236.90527,59.131664,0,38,9270,65536,0,3,239
285257386,276.94238,55.306046,0,38,9096,65536,0,3,239
286258314,325.8672,54.23545,0,38,61,65536,0,3,239
287259314,357.1455,50.952503,0,38,9336,65536,0,3,239
288260331,406.0498,50.690346,0,38,61,65536,0,3,239
289262151,446.3955,49.532265,0,38,302,65536,0,3,239
290262345,487.5547,48.695034,0,38,241,65536,0,3,239
291263279,526.834,47.835964,0,38,241,65536,0,3,239
292264307,565.749,47.089348,0,38,191,65536,0,3,239
293265290,606.74414,46.617558,0,38,531,65536,0,3,239
294266408,648.0498,46.234867,0,38,531,65536,0,3,239
295267299,690.38086,45.97217,0,38,241,65536,0,3,239
296268379,730.1533,45.582035,0,38,341,65536,0,3,239
297269315,768.0,45.125027,0,38,3083,65536,0,3,239
298270279,811.499,45.032375,0,38,374,65536,0,3,239
299271565,851.4492,44.762154,0,38,394,65536,0,3,239
300272284,891.53613,44.527046,0,38,444,65536,0,3,239
301273326,931.4375,44.304817,0,38,444,65536,0,3,239
302275398,970.9873,44.084763,0,38,444,65536,0,3,239
303275645,1010.8887,43.9026,0,38,540,65536,0,3,239
304276404,1050.4385,43.72005,0,38,540,65536,0,3,239
305277277,1088.0,43.47245,0,38,2816,65536,0,3,239
306278279,1129.7041,43.40284,0,38,490,65536,0,3,239
307279299,1169.2051,43.256847,0,38,660,65536,0,3,239
308280312,1208.9824,43.13115,0,38,907,65536,0,3,239
309281733,1248.8838,43.017788,0,38,837,65536,0,3,239
310282330,1288.2676,42.895927,0,38,760,65536,0,3,239
311283307,1327.749,42.784554,0,38,590,65536,0,3,239
312284355,1367.5332,42.689495,0,38,590,65536,0,3,239
313285346,1407.1318,42.59465,0,38,540,65536,0,3,239
314286706,1446.9355,42.510952,0,38,640,65536,0,3,239
315287324,1486.4854,42.425686,0,38,760,65536,0,3,239
316288922,1526.3184,42.351864,0,38,640,65536,0,3,239
317289306,1565.8193,42.27446,0,38,810,65536,0,3,239
318290283,1605.8379,42.21407,0,38,723,65536,0,3,239
319291425,1644.9668,42.13381,0,38,984,65536,0,3,239
320292286,1684.917,42.078373,0,38,934,65536,0,3,239
321293541,1724.5352,42.017143,0,38,984,65536,0,3,239
322294810,1764.4854,41.966717,0,38,934,65536,0,3,239
323295312,1803.8691,41.906223,0,38,1154,65536,0,3,239
324296372,1844.9053,41.885456,0,38,1083,65536,0,3,239
325297303,1887.2344,41.894444,0,38,1083,65536,0,3,239
326298320,1928.5088,41.880054,0,38,849,65536,0,3,239
327299310,1968.9844,41.84932,0,38,776,65536,0,3,239
328300276,2010.9082,41.850025,0,39,1040,65536,0,3,239
329302653,2052.4102,41.840904,0,39,1049,65536,0,3,239
330303208,2092.5293,41.806046,0,39,1049,65536,0,3,239
331303542,2132.913,41.77791,0,39,1360,65536,0,3,239
332304320,2173.1035,41.74679,0,39,1360,65536,0,3,239
333305280,2214.3223,41.73608,0,39,696,65536,0,3,239
