timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
438232374,0,0,1,0,1,0,1,1,0,1,1,1,1,0
438733727,0,0,1,0,1,0,1,1,0,1,1,1,1,0
439238957,0,0,1,0,1,0,1,1,0,1,1,1,1,0
439744987,0,0,1,0,1,0,1,1,0,1,1,1,1,0
440249930,0,0,1,0,1,0,1,1,0,1,1,1,1,0
440752167,0,0,1,0,1,0,1,1,0,1,1,1,1,0
441252779,0,0,1,0,1,0,1,1,0,1,1,1,1,0
441753713,0,0,1,0,1,0,1,1,0,1,1,1,1,0
442258689,0,0,1,0,1,0,1,1,0,1,1,1,1,0
442763079,0,0,1,0,1,0,1,1,0,1,1,1,1,0
443270985,0,0,1,0,1,0,1,1,0,1,1,1,1,0
443776755,0,0,1,0,1,0,1,1,0,1,1,1,1,0
444286942,0,0,1,0,1,0,1,1,0,1,1,1,1,0
444796726,0,0,1,0,1,0,1,1,0,1,1,1,1,0
445297007,0,0,1,0,1,0,1,1,0,1,1,1,1,0
445799056,0,0,1,0,1,0,1,1,0,1,1,1,1,0
446305722,0,0,1,0,1,0,1,1,0,1,1,1,1,0
446605722,0,0,1,0,1,0,1,1,0,1,1,1,1,0
447107860,0,0,1,0,1,0,1,1,0,1,1,1,1,0
447618829,0,0,1,0,1,0,1,1,0,1,1,1,1,0
448120996,0,0,1,0,1,0,1,1,0,1,1,1,1,0
448621723,0,0,1,0,1,0,1,1,0,1,1,1,1,0
449097479,1,0,1,0,1,0,1,1,0,1,1,1,1,0
449119176,1,0,1,0,0,1,1,1,1,1,1,1,1,0
449621754,1,0,1,0,0,1,1,1,1,1,1,1,1,0
450125351,1,0,1,0,0,1,1,1,1,1,1,1,1,0
450633039,1,0,1,0,0,1,1,1,1,1,1,1,1,0
451135832,1,0,1,0,0,1,1,1,1,1,1,1,1,0
