timestamp,position,velocity,acceleration,attitude,body_rate
2179741074,1,1,1,0,0
2179767014,1,1,1,0,0
2179841816,1,1,1,0,0
2179941858,1,1,1,0,0
2180041249,1,1,1,0,0
2180141606,1,1,1,0,0
2180240965,1,1,1,0,0
2180340975,1,1,1,0,0
2180443530,1,1,1,0,0
2180542130,1,1,1,0,0
2180641767,1,1,1,0,0
2180741223,1,1,1,0,0
2180841041,1,1,1,0,0
2180941783,1,1,1,0,0
2181042027,1,1,1,0,0
2181141731,1,1,1,0,0
2181242005,1,1,1,0,0
2181341905,1,1,1,0,0
2181441179,1,1,1,0,0
2181541369,1,1,1,0,0
2181641588,1,1,1,0,0
2181741462,1,1,1,0,0
2181841277,1,1,1,0,0
2181940981,1,1,1,0,0
2182042398,1,1,1,0,0
2182140944,1,1,1,0,0
2182242167,1,1,1,0,0
2182340988,1,1,1,0,0
2182441481,1,1,1,0,0
2182541974,1,1,1,0,0
2182641488,1,1,1,0,0
2182740850,1,1,1,0,0
2182843429,1,1,1,0,0
2182941981,1,1,1,0,0
2183041361,1,1,1,0,0
2183141283,1,1,1,0,0
2183241355,1,1,1,0,0
2183341475,1,1,1,0,0
2183441866,1,1,1,0,0
2183541710,1,1,1,0,0
2183565849,1,1,1,0,0
2183805141,1,1,1,0,0
2183841331,1,1,1,0,0
2183941297,1,1,1,0,0
2184041318,1,1,1,0,0
2184141503,1,1,1,0,0
2184241565,1,1,1,0,0
2184341478,1,1,1,0,0
2184440384,1,1,1,0,0
2184542089,1,1,1,0,0
2184641561,1,1,1,0,0
2184740537,1,1,1,0,0
2184843765,1,1,1,0,0
2184942150,1,1,1,0,0
2185042163,1,1,1,0,0
2185142211,1,1,1,0,0
2185240572,1,1,1,0,0
2185342614,1,1,1,0,0
2185440639,1,1,1,0,0
2185540708,1,1,1,0,0
2185639745,1,1,1,0,0
2185740615,1,1,1,0,0
2185842029,1,1,1,0,0
2185943640,1,1,1,0,0
2186040161,1,1,1,0,0
2186141067,1,1,1,0,0
2186243036,1,1,1,0,0
2186341038,1,1,1,0,0
2186442344,1,1,1,0,0
2186542476,1,1,1,0,0
2186641239,1,1,1,0,0
2186741109,1,1,1,0,0
2186841577,1,1,1,0,0
2186943194,1,1,1,0,0
2187040932,1,1,1,0,0
2187141232,1,1,1,0,0
2187242891,1,1,1,0,0
2187340813,1,1,1,0,0
2187441530,1,1,1,0,0
2187543718,1,1,1,0,0
2187641539,1,1,1,0,0
2187743903,1,1,1,0,0
2187841320,1,1,1,0,0
2187941606,1,1,1,0,0
2188044448,1,1,1,0,0
2188141207,1,1,1,0,0
2188243708,1,1,1,0,0
2188340928,1,1,1,0,0
2188441034,1,1,1,0,0
2188543846,1,1,1,0,0
2188641352,1,1,1,0,0
2188744159,1,1,1,0,0
2188840636,1,1,1,0,0
2188941998,1,1,1,0,0
2189044719,1,1,1,0,0
2189141375,1,1,1,0,0
2189242562,1,1,1,0,0
2189344371,1,1,1,0,0
2189441330,1,1,1,0,0
2189542344,1,1,1,0,0
2189640897,1,1,1,0,0
2189741622,1,1,1,0,0
2189841280,1,1,1,0,0
2189941935,1,1,1,0,0
2190044534,1,1,1,0,0
2190142154,1,1,1,0,0
2190244739,1,1,1,0,0
2190340516,1,1,1,0,0
2190441578,1,1,1,0,0
2190541951,1,1,1,0,0
2190641973,1,1,1,0,0
2190744854,1,1,1,0,0
2190840816,1,1,1,0,0
