timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
280249296,-0.20248336,0.17907098,-0.0012078688,0.0,0.0,-0.001
280254296,-0.20248005,0.17905052,-0.0011719486,0.0,0.0,-0.001
280269226,-0.20246959,0.17905225,-0.0011682692,0.0,0.0,-0.001
280289296,-0.20252617,0.17903611,-0.0011866825,0.0,0.0,-0.001
280309324,-0.20247425,0.17907228,-0.0011463852,0.0,0.0,-0.001
280329323,-0.20250122,0.1790272,-0.001178901,0.0,0.0,-0.001
280349250,-0.20245826,0.17900693,-0.0011858984,0.0,0.0,-0.001
280369316,-0.20248583,0.17904021,-0.0011889909,0.0,0.0,-0.001
280389321,-0.20247419,0.17913713,-0.0012060364,0.0,0.0,-0.001
280409259,-0.20252478,0.1791086,-0.0011837764,0.0,0.0,-0.001
280429313,-0.20253673,0.17914352,-0.0012070787,0.0,0.0,-0.001
280449277,-0.20254752,0.17914076,-0.0011788687,0.0,0.0,-0.001
280469351,-0.20252068,0.17917068,-0.0011998345,0.0,0.0,-0.001
280489407,-0.20257308,0.17905903,-0.0011915269,0.0,0.0,-0.001
280509285,-0.2026388,0.17906812,-0.0011988286,0.0,0.0,-0.001
280529285,-0.20272943,0.17906904,-0.001198594,0.0,0.0,-0.001
280549408,-0.20279033,0.17904446,-0.0011846181,0.0,0.0,-0.001
280569304,-0.20277742,0.17910562,-0.0011827244,0.0,0.0,-0.001
280589314,-0.2029064,0.17914166,-0.0012064817,0.0,0.0,-0.001
280609314,-0.20304032,0.17907208,-0.0012147687,0.0,0.0,-0.001
280629413,-0.20312555,0.17902751,-0.0012182575,0.0,0.0,-0.001
280649323,-0.20317103,0.17906635,-0.0012111015,0.0,0.0,-0.001
280669322,-0.2031351,0.17912059,-0.0012102347,0.0,0.0,-0.001
280689409,-0.20309855,0.17912127,-0.0012113135,0.0,0.0,-0.001
280709396,-0.20309526,0.17913184,-0.0011647701,0.0,0.0,-0.001
280729328,-0.20311755,0.17918909,-0.0011993733,0.0,0.0,-0.001
280749406,-0.20301545,0.17916575,-0.0011601232,0.0,0.0,-0.001
280769401,-0.20299102,0.17905916,-0.0011918057,0.0,0.0,-0.001
280789412,-0.20297721,0.17914116,-0.00121785,0.0,0.0,-0.001
280809410,-0.20294869,0.17915532,-0.0011907312,0.0,0.0,-0.001
280829405,-0.20300242,0.17920545,-0.0012033952,0.0,0.0,-0.001
280849411,-0.20302652,0.1791595,-0.0012040649,0.0,0.0,-0.001
280869446,-0.20309225,0.17915182,-0.0012067744,0.0,0.0,-0.001
280889460,-0.20304859,0.17915556,-0.0012074686,0.0,0.0,-0.001
280909370,-0.20300011,0.17914473,-0.001198906,0.0,0.0,-0.001
280929428,-0.20304503,0.17913488,-0.0012014068,0.0,0.0,-0.001
280949520,-0.20300925,0.17914112,-0.0012217734,0.0,0.0,-0.001
280969398,-0.20302007,0.17904383,-0.0012053357,0.0,0.0,-0.001
280989392,-0.20297077,0.17901999,-0.0011753859,0.0,0.0,-0.001
281009517,-0.20301862,0.17896482,-0.0011783615,0.0,0.0,-0.001
281029409,-0.20298079,0.17892964,-0.0011925339,0.0,0.0,-0.001
281049416,-0.20306447,0.17894407,-0.0011672567,0.0,0.0,-0.001
281069485,-0.20308828,0.17893918,-0.0011713466,0.0,0.0,-0.001
281089548,-0.20320885,0.17894062,-0.0011812797,0.0,0.0,-0.001
281109435,-0.20320207,0.17896877,-0.0011956844,0.0,0.0,-0.001
281129452,-0.20323072,0.17889598,-0.0011992496,0.0,0.0,-0.001
281149473,-0.2032837,0.17892614,-0.0011704116,0.0,0.0,-0.001
281169499,-0.20332205,0.17879246,-0.0011367211,0.0,0.0,-0.001
281189447,-0.20339543,0.17881986,-0.0011696134,0.0,0.0,-0.001
