timestamp,saturation_status
280232098,1533
280252086,1533
281233044,1533
282234818,1533
283239543,1533
284246244,1533
285238653,1533
286229277,1533
287232542,1533
288237219,1533
289248177,1533
290239982,1533
291236961,1469
292232658,1
293248473,1
294253105,1
295240350,1
296247620,1
297244829,1
298246935,1
299246702,1
300242422,1
301239460,1
302236695,1
303247923,1
304231199,1
305239946,1
306240269,1
307247545,1
308236739,1
309250954,1
310234466,1
311252235,1
312243488,1
313238111,1
314239797,1
315245265,1
316241423,1
317236813,1
318241974,1
319250548,1
320237510,1
321248004,1
322231391,1
323244412,1
324243572,1
325244114,1
326239249,1
327252583,1533
328229536,1533
329248931,1533
330233375,1533
331235242,1533
332235135,1533
333247751,1533
