timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
111364344,3932170,3932170,4259850,0,0,0.032188218,0.032188185,0.0,0.0,3932170,3932170,4325386,0,0,0.003126267,0.003126267,0.0,0.0,1,1,0,0,1,1,0,0
111369353,3932170,3932170,4259850,0,0,0.031544883,0.031544827,0.0,0.0,3932170,3932170,4325386,0,0,0.0029959264,0.0029959264,0.0,0.0,1,1,0,0,1,1,0,0
111564474,3932170,3932170,4259850,0,0,0.03458175,0.03458164,0.0,0.0,3932170,3932170,4325386,0,0,0.0024371012,0.0024371014,0.0,0.0,1,1,0,0,1,1,0,0
111764492,3932170,3932170,4259850,0,0,0.029563764,0.029563716,0.0,0.0,3932170,3932170,4325386,0,0,0.0031152826,0.0031152826,0.0,0.0,1,1,0,0,1,1,0,0
111969613,3932170,3932170,4259850,0,0,0.027211748,0.02721169,0.0,0.0,3932170,3932170,4325386,0,0,0.0023068278,0.0023068278,0.0,0.0,1,1,0,0,1,1,0,0
112164692,3932170,3932170,4259850,0,0,0.033179805,0.03317976,0.0,0.0,3932170,3932170,4325386,0,0,0.0029749991,0.0029749991,0.0,0.0,1,1,0,0,1,1,0,0
112364671,3932170,3932170,4259850,0,0,0.034180664,0.034180608,0.0,0.0,3932170,3932170,4325386,0,0,0.0021363364,0.0021363364,0.0,0.0,1,1,0,0,1,1,0,0
112564752,3932170,3932170,4259850,0,0,0.03140138,0.031401336,0.0,0.0,3932170,3932170,4325386,0,0,0.0026215313,0.0026215313,0.0,0.0,1,1,0,0,1,1,0,0
112764886,3932170,3932170,4259850,0,0,0.03507876,0.035078745,0.0,0.0,3932170,3932170,4325386,0,0,0.0020827765,0.0020827765,0.0,0.0,1,1,0,0,1,1,0,0
112964904,3932170,3932170,4259850,0,0,0.033103842,0.033103894,0.0,0.0,3932170,3932170,4325386,0,0,0.0021400193,0.0021400193,0.0,0.0,1,1,0,0,1,1,0,0
