timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
440201081,440200648,-0.6619602,-0.021445751,-0.003020109,-0.74922615,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440251142,440250662,-0.6619595,-0.021439545,-0.003016553,-0.74922687,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440301158,440300681,-0.6619663,-0.02143764,-0.0030238684,-0.7492209,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440351148,440350692,-0.66196924,-0.021433901,-0.0030102376,-0.74921846,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440401183,440400707,-0.6619695,-0.021424223,-0.003014448,-0.7492185,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440451197,440450721,-0.6619769,-0.021431603,-0.0030176265,-0.7492117,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440501178,440500742,-0.66198057,-0.021432104,-0.0030213438,-0.74920845,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440551243,440550751,-0.6619872,-0.02143856,-0.0030169622,-0.74920243,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440601337,440600766,-0.66199803,-0.021433335,-0.0030139138,-0.7491931,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440646318,440645779,-0.6619903,-0.02143731,-0.0030192684,-0.7491998,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440701236,440700797,-0.661978,-0.021442577,-0.0030164754,-0.7492104,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440751294,440750862,-0.6619697,-0.021442473,-0.0030083954,-0.74921775,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440796306,440795828,-0.6619684,-0.021436814,-0.0030105736,-0.7492191,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440851338,440850840,-0.6619535,-0.021437028,-0.0030039363,-0.74923235,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440901289,440900855,-0.6619392,-0.021441808,-0.0030127629,-0.74924475,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440951314,440950872,-0.6619282,-0.02143891,-0.0030123321,-0.74925464,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
440996314,440995885,-0.6619157,-0.021438112,-0.0030142164,-0.7492656,0.99999976,6.146241e-10,-4.7206412e-11,-0.00082296086,2
