timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
564079407,0.0,0.0,1.557525,0.0,0.7117833,0.0,0.0,0.70239913,0.0,0.0,-0.001,0,0,0,0,0
564089261,0.0,0.0,1.5575281,0.0,0.71178216,0.0,0.0,0.7024004,0.0,0.0,-0.001,0,0,0,0,0
564129366,0.0,0.0,1.5575324,0.0,0.71178067,0.0,0.0,0.7024019,0.0,0.0,-0.001,0,0,0,0,0
564179375,0.0,0.0,1.5575588,0.0,0.7117715,0.0,0.0,0.70241106,0.0,0.0,-0.001,0,0,0,0,0
564229399,0.0,0.0,1.557591,0.0,0.71176016,0.0,0.0,0.7024227,0.0,0.0,-0.001,0,0,0,0,0
564279524,0.0,0.0,1.5576265,0.0,0.7117477,0.0,0.0,0.7024352,0.0,0.0,-0.001,0,0,0,0,0
564329239,0.0,0.0,1.5576309,0.0,0.7117461,0.0,0.0,0.70243686,0.0,0.0,-0.001,0,0,0,0,0
564379541,0.0,0.0,1.5576553,0.0,0.7117376,0.0,0.0,0.7024455,0.0,0.0,-0.001,0,0,0,0,0
564429506,0.0,0.0,1.5576494,0.0,0.71173966,0.0,0.0,0.7024433,0.0,0.0,-0.001,0,0,0,0,0
564479734,0.0,0.0,1.5576831,0.0,0.71172774,0.0,0.0,0.70245546,0.0,0.0,-0.001,0,0,0,0,0
564529477,0.0,0.0,1.5577009,0.0,0.71172154,0.0,0.0,0.7024617,0.0,0.0,-0.001,0,0,0,0,0
564579611,0.0,0.0,1.5576948,0.0,0.7117236,0.0,0.0,0.7024596,0.0,0.0,-0.001,0,0,0,0,0
564629543,0.0,0.0,1.5577115,0.0,0.7117178,0.0,0.0,0.70246553,0.0,0.0,-0.001,0,0,0,0,0
564679668,0.0,0.0,1.5577264,0.0,0.7117126,0.0,0.0,0.7024707,0.0,0.0,-0.001,0,0,0,0,0
564729543,0.0,0.0,1.5577288,0.0,0.71171176,0.0,0.0,0.7024716,0.0,0.0,-0.001,0,0,0,0,0
564779689,0.0,0.0,1.5576969,0.0,0.7117229,0.0,0.0,0.70246035,0.0,0.0,-0.001,0,0,0,0,0
564829590,0.0,0.0,1.5577112,0.0,0.71171784,0.0,0.0,0.7024655,0.0,0.0,-0.001,0,0,0,0,0
564879470,0.0,0.0,1.5577049,0.0,0.7117201,0.0,0.0,0.7024632,0.0,0.0,-0.001,0,0,0,0,0
564929688,0.0,0.0,1.5576903,0.0,0.71172523,0.0,0.0,0.70245796,0.0,0.0,-0.001,0,0,0,0,0
564979894,0.0,0.0,1.55769,0.0,0.7117253,0.0,0.0,0.7024579,0.0,0.0,-0.001,0,0,0,0,0
565029530,0.0,0.0,1.5577209,0.0,0.7117145,0.0,0.0,0.7024689,0.0,0.0,-0.001,0,0,0,0,0
565079585,0.0,0.0,1.5577214,0.0,0.7117143,0.0,0.0,0.70246905,0.0,0.0,-0.001,0,0,0,0,0
565129669,0.0,0.0,1.5577545,0.0,0.7117027,0.0,0.0,0.70248085,0.0,0.0,-0.001,0,0,0,0,0
565179670,0.0,0.0,1.5577767,0.0,0.7116949,0.0,0.0,0.7024887,0.0,0.0,-0.001,0,0,0,0,0
565229838,0.0,0.0,1.5577966,0.0,0.71168786,0.0,0.0,0.7024959,0.0,0.0,-0.001,0,0,0,0,0
565279721,0.0,0.0,1.5578309,0.0,0.7116758,0.0,0.0,0.70250803,0.0,0.0,-0.001,0,0,0,0,0
565329638,0.0,0.0,1.5578475,0.0,0.71167004,0.0,0.0,0.70251393,0.0,0.0,-0.001,0,0,0,0,0
565379743,0.0,0.0,1.5578561,0.0,0.71166706,0.0,0.0,0.702517,0.0,0.0,-0.001,0,0,0,0,0
565429685,0.0,0.0,1.5578797,0.0,0.7116587,0.0,0.0,0.70252544,0.0,0.0,-0.001,0,0,0,0,0
565479957,0.0,0.0,1.5578935,0.0,0.7116539,0.0,0.0,0.7025303,0.0,0.0,-0.001,0,0,0,0,0
565529740,0.0,0.0,1.5578942,0.0,0.71165365,0.0,0.0,0.7025305,0.0,0.0,-0.001,0,0,0,0,0
565579940,0.0,0.0,1.557906,0.0,0.7116494,0.0,0.0,0.7025348,0.0,0.0,-0.001,0,0,0,0,0
565629748,0.0,0.0,1.5578929,0.0,0.71165407,0.0,0.0,0.70253015,0.0,0.0,-0.001,0,0,0,0,0
565679877,0.0,0.0,1.5579048,0.0,0.71164984,0.0,0.0,0.7025344,0.0,0.0,-0.001,0,0,0,0,0
565730156,0.0,0.0,1.5579119,0.0,0.71164745,0.0,0.0,0.7025368,0.0,0.0,-0.001,0,0,0,0,0
565779886,0.0,0.0,1.5579021,0.0,0.71165085,0.0,0.0,0.70253336,0.0,0.0,-0.001,0,0,0,0,0
565829828,0.0,0.0,1.5578929,0.0,0.71165407,0.0,0.0,0.70253015,0.0,0.0,-0.001,0,0,0,0,0
565880003,0.0,0.0,1.5578846,0.0,0.711657,0.0,0.0,0.70252717,0.0,0.0,-0.001,0,0,0,0,0
565929779,0.0,0.0,1.5578861,0.0,0.71165645,0.0,0.0,0.70252764,0.0,0.0,-0.001,0,0,0,0,0
565980301,0.0,0.0,1.5578825,0.0,0.71165776,0.0,0.0,0.70252633,0.0,0.0,-0.001,0,0,0,0,0
566030160,0.0,0.0,1.5578861,0.0,0.71165645,0.0,0.0,0.70252764,0.0,0.0,-0.001,0,0,0,0,0
566079920,0.0,0.0,1.5578946,0.0,0.7116535,0.0,0.0,0.7025307,0.0,0.0,-0.001,0,0,0,0,0
566130036,0.0,0.0,1.5579213,0.0,0.7116441,0.0,0.0,0.7025402,0.0,0.0,-0.001,0,0,0,0,0
566180081,0.0,0.0,1.5579284,0.0,0.71164155,0.0,0.0,0.7025427,0.0,0.0,-0.001,0,0,0,0,0
566230218,0.0,0.0,1.5579432,0.0,0.71163636,0.0,0.0,0.7025481,0.0,0.0,-0.001,0,0,0,0,0
566280164,0.0,0.0,1.5579345,0.0,0.71163946,0.0,0.0,0.7025449,0.0,0.0,-0.001,0,0,0,0,0
566329960,0.0,0.0,1.5579308,0.0,0.7116407,0.0,0.0,0.7025436,0.0,0.0,-0.001,0,0,0,0,0
566380010,0.0,0.0,1.5579067,0.0,0.7116492,0.0,0.0,0.7025351,0.0,0.0,-0.001,0,0,0,0,0
566430149,0.0,0.0,1.557877,0.0,0.71165967,0.0,0.0,0.70252436,0.0,0.0,-0.001,0,0,0,0,0
566480247,0.0,0.0,1.557855,0.0,0.71166736,0.0,0.0,0.7025166,0.0,0.0,-0.001,0,0,0,0,0
566530001,0.0,0.0,1.5578367,0.0,0.7116738,0.0,0.0,0.70251006,0.0,0.0,-0.001,0,0,0,0,0
566580213,0.0,0.0,1.5578203,0.0,0.7116796,0.0,0.0,0.7025042,0.0,0.0,-0.001,0,0,0,0,0
566629948,0.0,0.0,1.5577904,0.0,0.71169007,0.0,0.0,0.7024936,0.0,0.0,-0.001,0,0,0,0,0
566680159,0.0,0.0,1.5577585,0.0,0.7117013,0.0,0.0,0.7024822,0.0,0.0,-0.001,0,0,0,0,0
566730372,0.0,0.0,1.5577484,0.0,0.7117048,0.0,0.0,0.7024787,0.0,0.0,-0.001,0,0,0,0,0
566780308,0.0,0.0,1.5577449,0.0,0.71170604,0.0,0.0,0.7024774,0.0,0.0,-0.001,0,0,0,0,0
566830134,0.0,0.0,1.5577391,0.0,0.71170807,0.0,0.0,0.7024753,0.0,0.0,-0.001,0,0,0,0,0
566880285,0.0,0.0,1.5577317,0.0,0.7117107,0.0,0.0,0.70247275,0.0,0.0,-0.001,0,0,0,0,0
566930114,0.0,0.0,1.557733,0.0,0.7117103,0.0,0.0,0.70247316,0.0,0.0,-0.001,0,0,0,0,0
566980595,0.0,0.0,1.5577551,0.0,0.71170247,0.0,0.0,0.7024811,0.0,0.0,-0.001,0,0,0,0,0
567030547,0.0,0.0,1.5577492,0.0,0.71170455,0.0,0.0,0.70247895,0.0,0.0,-0.001,0,0,0,0,0
567080262,0.0,0.0,1.5577393,0.0,0.71170807,0.0,0.0,0.7024753,0.0,0.0,-0.001,0,0,0,0,0
567130288,0.0,0.0,1.5577223,0.0,0.711714,0.0,0.0,0.70246935,0.0,0.0,-0.001,0,0,0,0,0
567180424,0.0,0.0,1.5577174,0.0,0.7117157,0.0,0.0,0.7024676,0.0,0.0,-0.001,0,0,0,0,0
567230443,0.0,0.0,1.5577168,0.0,0.71171594,0.0,0.0,0.7024674,0.0,0.0,-0.001,0,0,0,0,0
567280391,0.0,0.0,1.5577127,0.0,0.71171737,0.0,0.0,0.70246595,0.0,0.0,-0.001,0,0,0,0,0
567330377,0.0,0.0,1.5577106,0.0,0.71171814,0.0,0.0,0.7024652,0.0,0.0,-0.001,0,0,0,0,0
567380363,0.0,0.0,1.5577086,0.0,0.7117188,0.0,0.0,0.70246446,0.0,0.0,-0.001,0,0,0,0,0
567430444,0.0,0.0,1.5576986,0.0,0.7117223,0.0,0.0,0.70246094,0.0,0.0,-0.001,0,0,0,0,0
567480789,0.0,0.0,1.5576934,0.0,0.71172416,0.0,0.0,0.70245904,0.0,0.0,-0.001,0,0,0,0,0
567530352,0.0,0.0,1.5576893,0.0,0.7117256,0.0,0.0,0.7024576,0.0,0.0,-0.001,0,0,0,0,0
567580501,0.0,0.0,1.5577041,0.0,0.7117204,0.0,0.0,0.70246285,0.0,0.0,-0.001,0,0,0,0,0
567630405,0.0,0.0,1.5577058,0.0,0.7117198,0.0,0.0,0.70246345,0.0,0.0,-0.001,0,0,0,0,0
567680525,0.0,0.0,1.5576819,0.0,0.71172816,0.0,0.0,0.7024551,0.0,0.0,-0.001,0,0,0,0,0
567730726,0.0,0.0,1.557658,0.0,0.7117366,0.0,0.0,0.70244646,0.0,0.0,-0.001,0,0,0,0,0
567780507,0.0,0.0,1.5576398,0.0,0.711743,0.0,0.0,0.70243996,0.0,0.0,-0.001,0,0,0,0,0
567830385,0.0,0.0,1.5576267,0.0,0.7117476,0.0,0.0,0.7024353,0.0,0.0,-0.001,0,0,0,0,0
567880591,0.0,0.0,1.55764,0.0,0.71174294,0.0,0.0,0.70244,0.0,0.0,-0.001,0,0,0,0,0
567930399,0.0,0.0,1.5576392,0.0,0.7117432,0.0,0.0,0.7024398,0.0,0.0,-0.001,0,0,0,0,0
567980790,0.0,0.0,1.5576127,0.0,0.71175253,0.0,0.0,0.7024303,0.0,0.0,-0.001,0,0,0,0,0
568030637,0.0,0.0,1.5576224,0.0,0.7117491,0.0,0.0,0.70243376,0.0,0.0,-0.001,0,0,0,0,0
568080487,0.0,0.0,1.557614,0.0,0.71175206,0.0,0.0,0.70243084,0.0,0.0,-0.001,0,0,0,0,0
568130480,0.0,0.0,1.5576091,0.0,0.7117538,0.0,0.0,0.70242906,0.0,0.0,-0.001,0,0,0,0,0
568180744,0.0,0.0,1.5575951,0.0,0.7117587,0.0,0.0,0.70242405,0.0,0.0,-0.001,0,0,0,0,0
568230793,0.0,0.0,1.5575986,0.0,0.7117575,0.0,0.0,0.7024253,0.0,0.0,-0.001,0,0,0,0,0
568280714,0.0,0.0,1.5575708,0.0,0.7117672,0.0,0.0,0.7024154,0.0,0.0,-0.001,0,0,0,0,0
568330801,0.0,0.0,1.5575649,0.0,0.7117693,0.0,0.0,0.7024134,0.0,0.0,-0.001,0,0,0,0,0
568380732,0.0,0.0,1.5575403,0.0,0.7117779,0.0,0.0,0.7024046,0.0,0.0,-0.001,0,0,0,0,0
568430783,0.0,0.0,1.5575187,0.0,0.71178555,0.0,0.0,0.7023968,0.0,0.0,-0.001,0,0,0,0,0
568481095,0.0,0.0,1.5574983,0.0,0.71179265,0.0,0.0,0.70238966,0.0,0.0,-0.001,0,0,0,0,0
568530679,0.0,0.0,1.5574769,0.0,0.7118002,0.0,0.0,0.702382,0.0,0.0,-0.001,0,0,0,0,0
568580879,0.0,0.0,1.5574484,0.0,0.71181023,0.0,0.0,0.7023719,0.0,0.0,-0.001,0,0,0,0,0
568630761,0.0,0.0,1.5574197,0.0,0.7118203,0.0,0.0,0.70236164,0.0,0.0,-0.001,0,0,0,0,0
568680705,0.0,0.0,1.5574337,0.0,0.71181536,0.0,0.0,0.70236665,0.0,0.0,-0.001,0,0,0,0,0
568731101,0.0,0.0,1.5574411,0.0,0.71181273,0.0,0.0,0.7023693,0.0,0.0,-0.001,0,0,0,0,0
568780881,0.0,0.0,1.5574684,0.0,0.7118032,0.0,0.0,0.7023789,0.0,0.0,-0.001,0,0,0,0,0
568830761,0.0,0.0,1.5575148,0.0,0.71178687,0.0,0.0,0.7023956,0.0,0.0,-0.001,0,0,0,0,0
568880974,0.0,0.0,1.5575323,0.0,0.7117808,0.0,0.0,0.70240164,0.0,0.0,-0.001,0,0,0,0,0
568930876,0.0,0.0,1.557562,0.0,0.7117703,0.0,0.0,0.7024123,0.0,0.0,-0.001,0,0,0,0,0
568981251,0.0,0.0,1.5575628,0.0,0.71177006,0.0,0.0,0.70241255,0.0,0.0,-0.001,0,0,0,0,0
569030855,0.0,0.0,1.5576022,0.0,0.7117562,0.0,0.0,0.70242655,0.0,0.0,-0.001,0,0,0,0,0
569080915,0.0,0.0,1.5576382,0.0,0.7117436,0.0,0.0,0.70243937,0.0,0.0,-0.001,0,0,0,0,0
569130894,0.0,0.0,1.557643,0.0,0.7117418,0.0,0.0,0.7024412,0.0,0.0,-0.001,0,0,0,0,0
569181010,0.0,0.0,1.5576518,0.0,0.7117388,0.0,0.0,0.7024442,0.0,0.0,-0.001,0,0,0,0,0
569231070,0.0,0.0,1.5576553,0.0,0.7117376,0.0,0.0,0.7024455,0.0,0.0,-0.001,0,0,0,0,0
569281012,0.0,0.0,1.5576653,0.0,0.71173406,0.0,0.0,0.702449,0.0,0.0,-0.001,0,0,0,0,0
569331061,0.0,0.0,1.557666,0.0,0.71173376,0.0,0.0,0.7024493,0.0,0.0,-0.001,0,0,0,0,0
569380992,0.0,0.0,1.5576633,0.0,0.7117347,0.0,0.0,0.7024484,0.0,0.0,-0.001,0,0,0,0,0
569430861,0.0,0.0,1.5576724,0.0,0.7117315,0.0,0.0,0.70245165,0.0,0.0,-0.001,0,0,0,0,0
569481405,0.0,0.0,1.5576808,0.0,0.7117286,0.0,0.0,0.70245457,0.0,0.0,-0.001,0,0,0,0,0
569530977,0.0,0.0,1.557678,0.0,0.7117296,0.0,0.0,0.7024536,0.0,0.0,-0.001,0,0,0,0,0
569580982,0.0,0.0,1.5576682,0.0,0.71173304,0.0,0.0,0.70245016,0.0,0.0,-0.001,0,0,0,0,0
569631157,0.0,0.0,1.5576587,0.0,0.7117364,0.0,0.0,0.7024467,0.0,0.0,-0.001,0,0,0,0,0
569681065,0.0,0.0,1.5576906,0.0,0.7117252,0.0,0.0,0.7024581,0.0,0.0,-0.001,0,0,0,0,0
569731430,0.0,0.0,1.5577137,0.0,0.711717,0.0,0.0,0.70246637,0.0,0.0,-0.001,0,0,0,0,0
569781227,0.0,0.0,1.5577253,0.0,0.71171296,0.0,0.0,0.7024704,0.0,0.0,-0.001,0,0,0,0,0
569831086,0.0,0.0,1.5577433,0.0,0.71170664,0.0,0.0,0.7024768,0.0,0.0,-0.001,0,0,0,0,0
