timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
565579678,565578800,0,nan,nan,0.46824032,0.015394664,-0.20145005,0.07670811,0.07319929,-1.3995703,-0.0057794796,0.0011793306,-0.0003519402,-0.0012885967,-0.00045844243,-0.00027825517,-0.026062105,0.013683516,-0.018179107,0.008269587,1.557906,-0.0016459217,nan,0.100138165,0.04341605,0.029639324,0.06545818,0.04252252,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
566079653,566078960,0,nan,nan,0.46895692,0.016081065,-0.20195325,0.07670811,0.07319929,-1.3995703,-0.005089896,0.0029722971,-0.0010751312,-0.0018073125,-0.00045844243,-0.00027825517,-0.026062105,-0.011024308,-0.01715413,-0.0050237924,1.5578946,-0.0016459217,nan,0.100367986,0.043379765,0.029619008,0.06535394,0.04246806,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
566579992,566579121,0,nan,nan,0.46919066,0.017346444,-0.20255212,0.07670811,0.07319929,-1.3995703,-0.004999104,0.0043787286,-0.00148178,-0.0018414747,-0.00045844243,-0.00027825517,-0.026062105,0.0010395657,-0.005866486,-0.005008894,1.5578203,-0.0016459217,nan,0.100644864,0.043448295,0.029660674,0.06543729,0.042514455,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
567080057,567079283,0,nan,nan,0.46857336,0.018282998,-0.20251994,0.07670811,0.07319929,-1.3995703,-0.0067861523,0.0053681005,-0.00072271086,-0.00060804567,-0.00045844243,-0.00027825517,-0.026062105,-0.007814292,0.008018638,0.0101367,1.5577393,-0.0016459217,nan,0.10059408,0.0433247,0.029587375,0.065254055,0.042412728,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
567580239,567579444,0,nan,nan,0.46784067,0.01811937,-0.20244606,0.07670811,0.07319929,-1.3995703,-0.0080623245,0.0038299307,-0.0009910438,-0.0005772291,-0.00045844243,-0.00027825517,-0.026062105,-0.024529938,-0.006466489,-0.0004835716,1.5577041,-0.0016459217,nan,0.1004983,0.043396212,0.029628402,0.06538338,0.04248471,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
568080283,568079605,0,nan,nan,0.46668887,0.017152382,-0.20245385,0.07670811,0.07319929,-1.3995703,-0.010200487,0.0021434284,-0.0014537983,-0.0008829245,-0.00045844243,-0.00027825517,-0.026062105,-0.009184016,0.0025383832,-0.0046717036,1.557614,-0.0016459217,nan,0.10048541,0.04348816,0.02968583,0.06546581,0.04253379,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
568580676,568579769,0,nan,nan,0.4659894,0.015485972,-0.20232125,0.07670811,0.07319929,-1.3995703,-0.009038213,-0.0007226632,-0.00041444035,0.00027457683,-0.00045844243,-0.00027825517,-0.026062105,0.0068645924,0.011451173,-0.005329806,1.5574484,-0.0016459217,nan,0.100334205,0.043433882,0.029655488,0.06536199,0.042475548,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
569080592,569079929,0,nan,nan,0.46634796,0.014137686,-0.20180479,0.07670811,0.07319929,-1.3995703,-0.009384809,-0.0013006539,0.00028028598,0.0009892996,-0.00045844243,-0.00027825517,-0.026062105,-0.022579236,0.0010875115,-0.0036622032,1.5576382,-0.0016459217,nan,0.10005348,0.043455154,0.02966744,0.06541226,0.042503785,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
569580777,569580090,0,nan,nan,0.4662391,0.014039184,-0.20142075,0.07670811,0.07319929,-1.3995703,-0.009667061,7.055291e-05,0.00024256858,0.0007581795,-0.00045844243,-0.00027825517,-0.026062105,0.02302442,0.00054265594,-0.0014197044,1.5576682,-0.0016459217,nan,0.1,0.043466378,0.029674327,0.06542572,0.042511605,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
570081177,570080253,0,nan,nan,0.46637797,0.014537511,-0.2011514,0.07670811,0.07319929,-1.3995703,-0.00829067,-7.940688e-05,0.0012811304,0.0015132361,-0.00045844243,-0.00027825517,-0.026062105,-0.0039591347,-0.01648356,0.0036617708,1.5578245,-0.0016459217,nan,0.1,0.0434742,0.029680954,0.06540316,0.042500425,inf,inf,inf,inf,1,1,1,1,2,1,1,1,2,0,0,1,0
