timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
2090553576,2090553279,-0.1987728,-0.34786606,-9.802687
2090558580,2090558277,-0.18379343,-0.34847826,-9.798058
2090603604,2090603299,-0.18814945,-0.35608852,-9.793577
2090653671,2090653316,-0.19688447,-0.3414158,-9.792783
2090703645,2090703340,-0.20003136,-0.3599154,-9.793623
2090753677,2090753364,-0.18946388,-0.33484006,-9.79591
2090803696,2090803396,-0.18732575,-0.3563813,-9.79499
2090853764,2090853413,-0.18251935,-0.33935222,-9.793872
2090903740,2090903438,-0.20231591,-0.35161933,-9.794847
2090953775,2090953462,-0.18313085,-0.34071547,-9.779612
2091003785,2091003487,-0.18252625,-0.3489087,-9.792788
2091053857,2091053513,-0.18561241,-0.34781396,-9.7776575
2091103832,2091103537,-0.18156339,-0.35889748,-9.790469
2091153915,2091153559,-0.18113594,-0.34322506,-9.804422
2091203934,2091203584,-0.19359592,-0.34442157,-9.801054
2091253972,2091253609,-0.19677554,-0.36789504,-9.793788
2091303934,2091303636,-0.18174107,-0.3296918,-9.81169
2091354000,2091353658,-0.20629223,-0.3134483,-9.794536
2091404008,2091403679,-0.20863634,-0.36447194,-9.810454
2091454000,2091453707,-0.1580402,-0.3851341,-9.792193
2091504015,2091503729,-0.18653569,-0.302847,-9.797333
2091554042,2091553759,-0.19480486,-0.32977217,-9.811078
2091604108,2091603776,-0.19604985,-0.3962466,-9.798567
2091654081,2091653801,-0.18032998,-0.36150745,-9.782568
2091704109,2091703825,-0.18653202,-0.31010616,-9.796458
2091754138,2091753851,-0.18828537,-0.36159545,-9.785088
2091804164,2091803884,-0.18317486,-0.40507126,-9.805049
2091854185,2091853897,-0.19033374,-0.32492742,-9.798597
2091904204,2091903923,-0.20445578,-0.3192997,-9.789619
2091954280,2091953946,-0.19233298,-0.3607244,-9.793063
2092004267,2092003972,-0.20262364,-0.35062787,-9.802289
2092054325,2092053994,-0.17370313,-0.33500597,-9.796332
2092104301,2092104019,-0.18824092,-0.35024372,-9.797408
2092154394,2092154044,-0.19655827,-0.34962648,-9.79551
2092204352,2092204068,-0.19456346,-0.346426,-9.794889
2092254423,2092254091,-0.19066441,-0.3427694,-9.786187
2092304398,2092304116,-0.18177113,-0.3513682,-9.798471
2092354481,2092354172,-0.20317,-0.35567352,-9.802952
2092404458,2092404165,-0.19507147,-0.35206217,-9.809831
2092454476,2092454188,-0.1987063,-0.34129283,-9.786064
2092499494,2092499210,-0.19294387,-0.3472978,-9.786771
2092554526,2092554238,-0.19284809,-0.34966856,-9.803031
2092604550,2092604262,-0.20180994,-0.33891964,-9.79033
2092654570,2092654285,-0.19663371,-0.3460688,-9.796603
2092704696,2092704321,-0.20402627,-0.33893076,-9.793
2092754617,2092754334,-0.19302014,-0.350379,-9.810044
2092804691,2092804358,-0.20400147,-0.3497026,-9.790913
2092849720,2092849380,-0.1793609,-0.34465683,-9.797929
2092904761,2092904408,-0.19867599,-0.34222418,-9.8116045
2092954721,2092954432,-0.18629152,-0.35263756,-9.814135
2093004748,2093004456,-0.1859203,-0.3432794,-9.787112
2093054760,2093054479,-0.18618007,-0.34569785,-9.803925
2093104861,2093104552,-0.18237308,-0.35378182,-9.802747
2093154810,2093154528,-0.1822237,-0.3385605,-9.792992
2093199834,2093199549,-0.18362904,-0.32997352,-9.787766
2093254921,2093254577,-0.19762442,-0.33561638,-9.796886
2093304945,2093304605,-0.18011074,-0.34472597,-9.78171
2093354916,2093354625,-0.19284193,-0.35395938,-9.803174
2093404985,2093404651,-0.19724359,-0.3528383,-9.796002
2093455003,2093454673,-0.17017077,-0.34073037,-9.808435
