timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
326588945,1,0,1,0,1,0,1,1,0,1,1,1,1,0
327093051,1,0,1,0,1,0,1,1,0,1,1,1,1,0
327596614,1,0,1,0,1,0,1,1,0,1,1,1,1,0
328103834,1,0,1,0,1,0,1,1,0,1,1,1,1,0
328606692,1,0,1,0,1,0,1,1,0,1,1,1,1,0
328618014,0,0,1,0,1,0,1,1,0,1,1,1,1,0
329119723,0,0,1,0,1,0,1,1,0,1,1,1,1,0
329622728,0,0,1,0,1,0,1,1,0,1,1,1,1,0
330126012,0,0,1,0,1,0,1,1,0,1,1,1,1,0
330632312,0,0,1,0,1,0,1,1,0,1,1,1,1,0
331144059,0,0,1,0,1,0,1,1,0,1,1,1,1,0
331649818,0,0,1,0,1,0,1,1,0,1,1,1,1,0
332151799,0,0,1,0,1,0,1,1,0,1,1,1,1,0
332655917,0,0,1,0,1,0,1,1,0,1,1,1,1,0
333157734,0,0,1,0,1,0,1,1,0,1,1,1,1,0
