timestamp,safety_switch_available,safety_off,override_available,override_enabled
279410789,1,1,0,0
280420909,1,1,0,0
281422405,1,1,0,0
282422653,1,1,0,0
283423019,1,1,0,0
284433338,1,1,0,0
285448455,1,1,0,0
286463572,1,1,0,0
287470197,1,1,0,0
288486902,1,1,0,0
289497106,1,1,0,0
290514641,1,1,0,0
291529815,1,1,0,0
292530070,1,1,0,0
293544087,1,1,0,0
294553985,1,1,0,0
295572189,1,1,0,0
296587442,1,1,0,0
297606333,1,1,0,0
298623069,1,1,0,0
299626917,1,1,0,0
300643847,1,1,0,0
301663645,1,1,0,0
302675862,1,1,0,0
303681652,1,1,0,0
304696432,1,1,0,0
305703416,1,1,0,0
306705313,1,1,0,0
307724582,1,1,0,0
308741944,1,1,0,0
309749424,1,1,0,0
310758434,1,1,0,0
311778805,1,1,0,0
312791511,1,1,0,0
313791700,1,1,0,0
314804444,1,1,0,0
315820142,1,1,0,0
316827514,1,1,0,0
317831877,1,1,0,0
318844505,1,1,0,0
319860290,1,1,0,0
320862218,1,1,0,0
321868776,1,1,0,0
322886444,1,1,0,0
323899270,1,1,0,0
324918282,1,1,0,0
325937219,1,1,0,0
326958767,1,1,0,0
327967794,1,1,0,0
328967976,1,1,0,0
329978371,1,1,0,0
330999768,1,1,0,0
332013580,1,1,0,0
333034130,1,1,0,0
